document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
102,Who is the Chief Financial Officer of DIGIRAD CORPORATION?,Jeffry R. Keyes,2,0,0
102,Who is the President of DIGIRAD CORPORATION?,Jeffry R. Keyes,2,0,0
102,"Who is the Authorized Signatory of WELLS FARGO BANK, NATIONAL ASSOCIATION?",Kathy R. Plisko,2,0,0
116,Who is the Chief Financial Officer of MORGAN STANLEY DIRECT LENDING FUND?,Venugopal Rathi,2,0,0
116,Who is the COO of Morgan Stanley Direct Lending Fund?,Orit Mizrachi,2,0,0
116,Who is the CFO of Morgan Stanley Direct Lending Fund?,Venu Rathi,2,0,0
116,Who is the Managing Director of CIBC BANK USA?,Nicholas Jordan,2,0,0
117,"Who is the Chief Financial Officer of COLUMBIA SPORTSWEAR COMPANY,?",Jim A. Swanson,2,0,0
117,"Who is the Executive Vice President of COLUMBIA SPORTSWEAR COMPANY,?",Jim A. Swanson,2,0,0
117,"Who is the Executive Director of JPMORGAN CHASE BANK, N.A.?",Lynn Braun,2,0,0
117,Who is the Vice President of ROYAL BANK OF CANADA?,Kirsten Jakobsen,2,0,0
103,"Who is the Authorized Signatory of Angelo, Gordon %26 Co., L.P.?",Gavin Baiera,2,0,0
103,Who is the Manager of CLAIRE%C2%92S LUXEMBOURG S.A R.L.?,Paul A. Barker,2,0,0
103,Who is the Associate Counsel of CORTLAND CAPITAL MARKET SERVICES LLC?,Matthew Trybula,2,0,0
16,Who is the Senior Managing Directo of CRYSTAL FINANCIAL LLC?,Christopher A. Arnold,2,0,0
16,Who is the Senior Managing Director of CRYSTAL FINANCIAL LLC?,Christopher A. Arnold,2,0,0
16,Who is the Chief Executive Officer of STANDARD DIVERSIFIED OPPORTUNITIES INC.?,Ian W. Estus,2,0,0
16,Who is the President of STANDARD DIVERSIFIED OPPORTUNITIES INC.?,Ian W. Estus,2,0,0
14,"Who is the Authorized Person of AG ENERGY FUNDING, LLC?",Todd Dittmann,2,0,0
14,"Who is the Chief Financial Officer of PACIFIC DRILLING S.A.,?",James Harris,2,0,0
28,"Who is the Chief Executive Officer of COLLEGIUM PHARMACEUTICAL, INC.?",Joseph Ciaffoni,2,0,0
28,"Who is the President of COLLEGIUM PHARMACEUTICAL, INC.?",Joseph Ciaffoni,2,0,0
28,Who is the CEO of BIOPHARMA CREDIT INVESTMENTS V %28MASTER%29 LP?,Pedro Gonzalez de Cosio,2,0,0
28,Who is the Managing Member of BIOPHARMA CREDIT INVESTMENTS V %28MASTER%29 LP?,Pedro Gonzalez de Cosio,2,0,0
28,Who is the CEO of Pharmakon Advisors LP?,Pedro Gonzalez de Cosio,2,0,0
28,Who is the Managing Member of Pharmakon Advisors LP?,Pedro Gonzalez de Cosio,2,0,0
28,Who is the CEO of PHARMAKON ADVISORS LP?,Pedro Gonzalez de Cosio,2,0,0
28,Who is the Managing Member of PHARMAKON ADVISORS LP?,Pedro Gonzalez de Cosio,2,0,0
129,"Who is the Authorized Officer of JPMORGAN CHASE BANK, N.A.?",Elizabeth A. Jordan,2,0,0
129,Who is the Chief Financial Officer of GHM Acquisition Corp.?,Jeffrey Glajch,2,0,0
129,Who is the Secretary of GHM Acquisition Corp.?,Jeffrey Glajch,2,0,0
115,"Who is the Senior Vice President of BANK OF AMERICA, N.A.?",Adam Rose,2,0,0
115,"Who is the Chief Legal Officer of HORIZON DISTRIBUTORS, INC.?",Jennifer M. Neil,2,0,0
115,"Who is the Secretary of HORIZON DISTRIBUTORS, INC.?",Jennifer M. Neil,2,0,0
115,"Who is the Vice President of HORIZON DISTRIBUTORS, INC.?",Jennifer M. Neil,2,0,0
115,Who is the Assistant Secretary of POOL CORPORATION?,Melanie Housey Hart,2,0,0
115,Who is the Chief Accounting Officer of POOL CORPORATION?,Melanie Housey Hart,2,0,0
115,Who is the President of POOL CORPORATION?,Melanie Housey Hart,2,0,0
115,Who is the Treasurer of POOL CORPORATION?,Melanie Housey Hart,2,0,0
115,Who is the Chief Legal Officer of POOL CORPORATION?,Jennifer M. Neil,2,0,0
115,Who is the Vice President of POOL CORPORATION?,Jennifer M. Neil,2,0,0
101,"Who is the CEO of FOUNDATION HEALTHCARE, INC.?",Stanton M. Nelson,2,0,0
101,Who is the Corporate Healthcare Banking %C2%96 Manager of LEGACYTEXAS BANK?,Spencer Sockwell,2,0,0
101,"Who is the Senior Vice President of TEXAS CAPITAL BANK, NATIONAL ASSOCIATION?",Deborah T. Purvin,2,0,0
100,"Who is the Senior Vice President of CITIZENS BANK, NATIONAL ASSOCIATION?",Darran Wee,2,0,0
100,Who is the Vice President of COMERICA BANK?,Mark Strzynski,2,0,0
100,"Who is the SVP, Global Relationship Manager of HSBC BANK USA?",Christopher M. Ames,2,0,0
100,Who is the Vice President of SUNTRUST BANK?,Min Park,2,0,0
100,Who is the Managing Director of BANK OF THE WEST?,Lee Merkle-Raymond,2,0,0
100,Who is the Senior Vice President of BBVA COMPASS?,Tyler J. Mei,2,0,0
100,Who is the Managing Director of EAST WEST BANK?,Alexis Coyle,2,0,0
100,Who is the Relationship Manager of FIFTH THIRD BANK?,Thomas Avery,2,0,0
100,Who is the Executive Director of JPMORGAN CHASE BANK?,Marshall Trenckmann,2,0,0
100,Who is the Director of MUFG UNION BANK?,Teuta Ghilaga,2,0,0
100,"Who is the Chief Financial Officer of OMNICELL, INC.?",Peter Kuipers,2,0,0
100,"Who is the Executive Vice President of OMNICELL, INC.?",Peter Kuipers,2,0,0
100,"Who is the VP%2FRelationship Manager of WELLS FARGO BANK, NATIONAL ASSOCIATION?",Ray Aguilar,2,0,0
100,"Who is the Vice President%2FRelationship Manager of WELLS FARGO BANK, NATIONAL ASSOCIATION?",Ray Aguilar,2,0,0
100,"Who is the Chief Legal and Administrative Officer of Omnicell, Inc.?",Dan Johnston,2,0,0
100,"Who is the Vice President of Omnicell, Inc.?",Dan Johnston,2,0,0
100,Who is the Esq. of Latham %26 Watkins LLP?,Sony Ben-Moshe,2,0,0
114,"Who is the Authorized Signatory of Apollo Capital Management GP, LLC?",Maurice Amsellem,2,0,0
114,Who is the Chief Financial Officer of SALESLINK MEXICO HOLDING CORP.?,Peter Feret,2,0,0
128,"Who is the Senior Vice President of Bank of America, N.A.?",Timothy G. Holsapple,2,0,0
128,"Who is the Chief Financial Officer of F5 NETWORKS, INC.?",Frank Pelzer,2,0,0
128,Who is the Authorized Signatory of Royal Bank of Canada?,Nicholas Heslip,2,0,0
128,Who is the Market Manager of Barclays Bank PLC?,Leni Preciado,2,0,0
29,"Who is the Chief Financial Officer of Paychex, Inc.?",Efrain Rivera,2,0,0
15,"Who is the CEO of 2477 DEERFIELD DRIVE, LLC,?",Shawn Matthews,2,0,0
39,"Who is the Chief%09 %09 %09%09 %09%09 %09Finance Officer of NORTH JACKSON SPECIALTY STEEL,LLC?",Ross C. Wilkin,2,0,0
39,"Who is the Treasurer of NORTH JACKSON SPECIALTY STEEL,LLC?",Ross C. Wilkin,2,0,0
