document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
60,"What are the roles and subroles that Bank of Montreal holds in the agreement that are not held by BofA Securities, Inc. or Citibank, N.A.?",documentation agent and managing agent,1,3,1
60,"What are the roles and subroles that Bank of Montreal holds in the agreement that are not held by BofA Securities, Inc. or JPMorgan Chase Bank, N.A.?",documentation agent and managing agent,1,3,1
60,"What are the roles and subroles that Bank of Montreal holds in the agreement that are not held by BofA Securities, Inc. or MUFG Bank, Ltd.?",documentation agent and managing agent,1,3,1
60,"What are the roles and subroles that Bank of Montreal holds in the agreement that are not held by BofA Securities, Inc. or PNC Capital Markets LLC?",documentation agent and managing agent,1,3,1
60,"What are the roles and subroles that Bank of Montreal holds in the agreement that are not held by BofA Securities, Inc. or Wells Fargo Securities LLC?",documentation agent and managing agent,1,3,1
60,"What are the roles and subroles that Bank of Montreal holds in the agreement that are not held by Citibank, N.A. or JPMorgan Chase Bank, N.A.?",documentation agent and managing agent,1,3,1
60,"What are the roles and subroles that Bank of Montreal holds in the agreement that are not held by Citibank, N.A. or MUFG Bank, Ltd.?",documentation agent and managing agent,1,3,1
60,"What are the roles and subroles that Bank of Montreal holds in the agreement that are not held by Citibank, N.A. or PNC Capital Markets LLC?",documentation agent and managing agent,1,3,1
60,"What are the roles and subroles that Bank of Montreal holds in the agreement that are not held by Citibank, N.A. or Wells Fargo Securities LLC?",documentation agent and managing agent,1,3,1
60,"What are the roles and subroles that Bank of Montreal holds in the agreement that are not held by Fifth Third Bank, National Association or Goldman Sachs Bank USA?","joint book manager, joint book runner, joint bookrunner, joint bookrunners, joint lead arranger, lead arranger, and lead bookrunner",1,3,1
60,"What are the roles and subroles that Bank of Montreal holds in the agreement that are not held by Fifth Third Bank, National Association or PNC Bank, National Association?","joint book manager, joint book runner, joint bookrunner, joint bookrunners, joint lead arranger, lead arranger, and lead bookrunner",1,3,1
60,"What are the roles and subroles that Bank of Montreal holds in the agreement that are not held by Fifth Third Bank, National Association or PNC Capital Markets LLC?",lead arranger and lead bookrunner,1,3,1
60,"What are the roles and subroles that Bank of Montreal holds in the agreement that are not held by Fifth Third Bank, National Association or TD Bank, N.A.?","joint book manager, joint book runner, joint bookrunner, joint bookrunners, joint lead arranger, lead arranger, and lead bookrunner",1,3,1
