document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
102,What is the position held by both Adam Finerman and Katherine Bell?,Esq.,1,1,0
117,What is the position held by both Chris Burns and Dawn Mace Moore?,Senior Vice President,1,1,0
117,What is the position held by both Chris Burns and Michael Snook?,Senior Vice President,1,1,0
117,What is the position held by both Dawn Mace Moore and Michael Snook?,Senior Vice President,1,1,0
103,What is the position held by both Scott Huckins and Stephen Sernett?,Director,1,1,0
103,What is the position held by both Scott Huckins and Stuart Brown?,Director,1,1,0
103,What is the position held by both Stephen Sernett and Stuart Brown?,Director,1,1,0
115,What is the position held by both Melanie Housey Hart and Jennifer M. Neil?,Secretary,1,1,0
100,What is the position held by both Mark Strzynski and Min Park?,Vice President,1,1,0
100,What is the position held by both Mark Strzynski and Dan Johnston?,Vice President,1,1,0
100,What is the position held by both Min Park and Dan Johnston?,Vice President,1,1,0
100,What is the position held by both Tyler J. Mei and Darran Wee?,Senior Vice President,1,1,0
100,What is the position held by both Alexis Coyle and Lee Merkle-Raymond?,Managing Director,1,1,0
128,What is the position held by both Derek Jensen and Ryan Zimmerman?,Vice President,1,1,0
128,What is the position held by both Gill Skala and Leni Preciado?,Director,1,1,0
128,What is the position held by both Gill Skala and Mario De Luca?,Director,1,1,0
128,What is the position held by both Leni Preciado and Mario De Luca?,Director,1,1,0
15,What is the position held by both Jared Randall and Racquel A.C. Small?,Executive Director,1,1,0
11,What is the position held by both Carolyn Kee and John J. Tus?,Vice President,1,1,0
11,What is the position held by both Carolyn Kee and Virginia Cosenza?,Vice President,1,1,0
11,What is the position held by both Craig Malloy and Mukesh Singh?,Director,1,1,0
11,What is the position held by both John J. Tus and Virginia Cosenza?,Vice President,1,1,0
110,What is the position held by both Alan Dawson and Alia Qaddumi?,Director,1,1,0
110,What is the position held by both Alan Dawson and Brendan Heneghan?,Director,1,1,0
110,What is the position held by both Alan Dawson and David L. Berger?,Director,1,1,0
110,What is the position held by both Alan Dawson and Kenneth Chin?,Director,1,1,0
110,What is the position held by both Alan Dawson and Sydney G. Dennis?,Director,1,1,0
110,What is the position held by both Alia Qaddumi and Brendan Heneghan?,Director,1,1,0
110,What is the position held by both Alia Qaddumi and David L. Berger?,Director,1,1,0
110,What is the position held by both Alia Qaddumi and Kenneth Chin?,Director,1,1,0
110,What is the position held by both Alia Qaddumi and Sydney G. Dennis?,Director,1,1,0
110,What is the position held by both Annie Dorval and Donna DeMagistris?,Authorized Signatory,1,1,0
110,What is the position held by both Annie Dorval and Jason S. York?,Authorized Signatory,1,1,0
