document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
28,What companies are the lender and agent but not the collateral agent in the agreement?,akin gump strauss hauer and feld llp and pharmakon advisors lp,1,3,1
110,What companies are the arrangers and bookrunners but not the agent in the agreement?,"jpmorgan chase bank na, the bank of tokyo mitsubishi ufj ltd, and wells fargo securities llc",1,3,1
38,What companies are the arranger and bookrunners but not the lender in the agreement?,"citigroup global markets inc, jp morgan securities llc, merrill lynch pierce fenner and smith incorporated, and wells fargo securities llc",1,3,1
38,What companies are the arranger and bookrunners but not the co documentation agents in the agreement?,"citigroup global markets inc, jp morgan securities llc, merrill lynch pierce fenner and smith incorporated, and wells fargo securities llc",1,3,1
38,What companies are the lender and co documentation agents but not the syndication agent in the agreement?,"bank of america na, citibank na, mizuho bank ltd, and the bank of tokyo mitsubishi ufj ltd",1,3,1
38,What companies are the lender and co documentation agents but not the administrative agent in the agreement?,"bank of america na, citibank na, mizuho bank ltd, and the bank of tokyo mitsubishi ufj ltd",1,3,1
107,What companies are the arrangers and bookrunners but not the barclays capital agents in the agreement?,"barclays capital, citigroup global markets inc, and wells fargo foothill inc",1,3,1
107,What companies are the arrangers and bookrunners but not the joint bookrunner in the agreement?,"barclays capital, citigroup global markets inc, jp morgan securities inc, and wells fargo foothill inc",1,3,1
107,What companies are the arrangers and bookrunners but not the administrative agent in the agreement?,"barclays capital, citigroup global markets inc, and jp morgan securities inc",1,3,1
106,What companies are the lenders and borrowers but not the borrower in the agreement?,"black mountain cogeninc, blue ridge generation llc, casco bay energy company llc, dynegy equipment llc, dynegy kendall energy llc, dynegy marketing and trade llc, dynegy morro bay llc, dynegy moss landing llc, dynegy oakland llc, dynegy power generation inc, dynegy south bay llc, ontelaunee power operating company llc, sithe energiesinc, sithe independence llc, and sithe independence power partners lp",1,3,1
106,What companies are the lenders and borrowers but not the subordinated borrowers in the agreement?,"black mountain cogeninc, blue ridge generation llc, casco bay energy company llc, dynegy equipment llc, dynegy kendall energy llc, dynegy marketing and trade llc, dynegy morro bay llc, dynegy moss landing llc, dynegy oakland llc, dynegy power generation inc, dynegy south bay llc, ontelaunee power operating company llc, sithe energiesinc, sithe independence llc, and sithe independence power partners lp",1,3,1
106,What companies are the arranger and bookrunners but not the lender in the agreement?,"citigroup global marketsinc, deutsche bank securities inc, and rbc capital markets",1,3,1
106,What companies are the arranger and bookrunner but not the lender in the agreement?,"citigroup global marketsinc, deutsche bank securities inc, and rbc capital markets",1,3,1
106,What companies are the arranger and arrangers but not the lender in the agreement?,deutsche bank securities inc and rbc capital markets,1,3,1
106,What companies are the bookrunners and bookrunner but not the arrangers in the agreement?,citigroup global marketsinc and ubs securities llc,1,3,1
106,What companies are the bookrunners and bookrunner but not the lender in the agreement?,"citigroup global marketsinc, deutsche bank securities inc, rbc capital markets, and ubs securities llc",1,3,1
106,What companies are the bookrunners and bookrunner but not the joint lead arrangers in the agreement?,"barclays bank plc, citigroup global marketsinc, deutsche bank securities inc, goldman sachs bank usa, and rbc capital markets",1,3,1
106,What companies are the bookrunners and bookrunner but not the joint lead arranger in the agreement?,"barclays bank plc, citigroup global marketsinc, deutsche bank securities inc, goldman sachs bank usa, and rbc capital markets",1,3,1
106,What companies are the bookrunners and arrangers but not the lender in the agreement?,deutsche bank securities inc and rbc capital markets,1,3,1
106,What companies are the bookrunners and arrangers but not the joint lead arrangers in the agreement?,"barclays bank plc, deutsche bank securities inc, goldman sachs bank usa, and rbc capital markets",1,3,1
106,What companies are the bookrunners and arrangers but not the joint lead arranger in the agreement?,"barclays bank plc, deutsche bank securities inc, goldman sachs bank usa, and rbc capital markets",1,3,1
