document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
102,Who is both the chief financial officer and president of the company which is the borrowers in the agreement?,jeffry r keyes,3,1,0
117,Who is both the chief financial officer and executive vice president of the company which is the borrower in the agreement?,jim a swanson,3,1,0
16,Who is both the senior managing directo and senior managing director of the company which is the term lender in the agreement?,christopher a arnold,3,1,0
16,Who is both the chief executive officer and president of the company which is the borrower in the agreement?,ian w estus,3,1,0
28,Who is both the chief executive officer and president of the company which is the additional credit party in the agreement?,joseph ciaffoni,3,1,0
28,Who is both the ceo and managing member of the company which is the lender in the agreement?,pedro gonzalez de cosio,3,1,0
28,Who is both the chief executive officer and president of the company which is the borrower in the agreement?,joseph ciaffoni,3,1,0
129,Who is both the chief financial officer and secretary of the company which is the borrower in the agreement?,jeffrey glajch,3,1,0
100,Who is both the chief legal and administrative officer and vice president of the company which is the borrower in the agreement?,dan johnston,3,1,0
100,Who is both the chief financial officer and executive vice president of the company which is the borrower in the agreement?,peter kuipers,3,1,0
11,Who is both the treasurer and vice president of the company which is the borrower in the agreement?,john j tus,3,1,0
138,Who is both the chief financial officer and secretary of the company which is the borrower in the agreement?,adeel khan,3,1,0
139,Who is both the authorized signatory and vice president of the company which is the lender in the agreement?,michael king,3,1,0
10,Who is both the chief financial officer and treasuruer of the company which is the borrower in the agreement?,terence f sullivan,3,1,0
12,Who is both the global treasurer and senior vice president of the company which is the borrower in the agreement?,aidan clare,3,1,0
106,Who is both the chief financial officer and executive vice president of the company which is the intermediate holdings in the agreement?,clint c freeland,3,1,0
106,Who is both the director and vice president of the company which is the lender in the agreement?,kirkwood roland,3,1,0
13,Who is both the chief financial officer and executive vice president of the company which is the borrower in the agreement?,tracy d jackson,3,1,0
60,Who is both the senior vice president and treasurer of the company which is the holdings in the agreement?,marc h crown,3,1,0
149,Who is both the executive vice president and secretary of the company which is the borrower in the agreement?,seth burroughs,3,1,0
49,Who is both the chief executive and chief executive officer of the company which is the guarantors in the agreement?,michael buckley,3,1,0
49,Who is both the chief executive and chief executive officer of the company which is the borrowers in the agreement?,michael buckley,3,1,0
49,Who is both the chief executive and chief executive officer of the company which is the administrative borrower in the agreement?,michael buckley,3,1,0
61,Who is both the treasurer and vice president taxand treasury of the company which is the borrower in the agreement?,brian l shytle,3,1,0
88,Who is both the chief financial officer and president of the company which is the liability company in the agreement?,r scott turicchi,3,1,0
162,Who is both the corporate secretary and president of the company which is the guarantor in the agreement?,mark d andrews,3,1,0
62,Who is both the chief financial officer and senior vice president of the company which is the borrower in the agreement?,gretchen l holloway,3,1,0
72,Who is both the treasurer and vice president of the company which is the initial borrower in the agreement?,craig a douglas,3,1,0
66,Who is both the director and svp of the company which is the lender in the agreement?,ronnie glenn,3,1,0
66,Who is both the cfo and treasurer of the company which is the borrower in the agreement?,brian m bonnell,3,1,0
99,Who is both the chief manager and president of the company which is the guarantor in the agreement?,nick flanagan,3,1,0
99,Who is both the president and treasurer of the company which is the guarantor in the agreement?,doug couvillion,3,1,0
67,Who is both the ceo and managing member of the company which is the lender in the agreement?,pedro gonzalez de cosio,3,1,0
67,Who is both the ceo and managing member of the company which is the collateral agent in the agreement?,pedro gonzalez de cosio,3,1,0
71,Who is both the chief financial officer and senior executive vice president of the company which is the borrower in the agreement?,paul m todd,3,1,0
170,Who is both the treasurer and vice president of the company which is the borrower in the agreement?,richard lautch,3,1,0
58,Who is both the chief executive officer and president of the company which is the borrower in the agreement?,dennis m lanfear,3,1,0
58,Who is both the chief executive officer and president of the company which is the guarantors in the agreement?,dennis m lanfear,3,1,0
41,Who is both the general counsel and senior vice president of the company which is the borrower in the agreement?,martin h dodd,3,1,0
55,Who is both the chief and executive vice president of the company which is the borrower in the agreement?,j larry sorsby,3,1,0
55,Who is both the chief and executive vice president of the company which is the holdings in the agreement?,j larry sorsby,3,1,0
69,Who is both the chief executive officer and manager of the company which is the parent guarantor in the agreement?,michael shustek,3,1,0
82,Who is both the treasurer and vice president of the company which is the borrower in the agreement?,david c francisco,3,1,0
168,Who is both the treasurer and vice president of the company which is the borrower in the agreement?,robert t paternostro,3,1,0
140,Who is both the authorized signatory and director of the company which is the borrower in the agreement?,demetrios tserpelis,3,1,0
140,Who is both the authorized signatory and director of the company which is the intermediateco in the agreement?,demetrios tserpelis,3,1,0
6,Who is both the deputy branch manager and vice president of the company which is the lender in the agreement?,ying chen,3,1,0
54,Who is both the managing director and senior vice president of the company which is the borrower in the agreement?,jonathan olsen,3,1,0
56,Who is both the executive vice president general counsel and secretary of the company which is the borrower in the agreement?,paul m robinson,3,1,0
42,Who is both the chief financial officer and senior vice president of the company which is the guarantor in the agreement?,michael j bufano,3,1,0
42,Who is both the chief financial officer and senior vice president of the company which is the borrower in the agreement?,michael j bufano,3,1,0
143,Who is both the chief financial officer and president of the company which is the guarantors in the agreement?,michael j skipworth,3,1,0
143,Who is both the chief financial officer and president of the company which is the borrower in the agreement?,michael j skipworth,3,1,0
142,Who is both the controller and principal financial officer of the company which is the borrower in the agreement?,nathaniel a brown,3,1,0
142,Who is both the corporate secretary and vice president law of the company which is the guarantor in the agreement?,christine r johnston,3,1,0
142,Who is both the treasurer and vice president finance of the company which is the guarantor in the agreement?,joel e hunter,3,1,0
80,Who is both the chief financial officer and executive vice president of the company which is the borrower in the agreement?,michael e mcdevitt,3,1,0
1,Who is both the treasurer and vice president of the company which is the borrower in the agreement?,mark constant,3,1,0
90,Who is both the treasurer and vice president of the company which is the holding companies in the agreement?,william c whitaker,3,1,0
90,Who is both the treasurer and vice president of the company which is the borrower in the agreement?,william c whitaker,3,1,0
84,Who is both the general manager and vp of the company which is the lender in the agreement?,li hua huang,3,1,0
91,Who is both the chief executive officer and president of the company which is the borrower in the agreement?,ray singleton,3,1,0
46,Who is both the chief executive officer and manager of the company which is the guarantors in the agreement?,james pinto,3,1,0
52,Who is both the treasurer and vice president of tax of the company which is the borrower in the agreement?,charles r conradi,3,1,0
2,Who is both the chief financial officer and executive vice president of the company which is the borrower in the agreement?,navdeep gupta,3,1,0
151,Who is both the treasurer and vice president tax and treasury of the company which is the borrowers in the agreement?,anthony h smith,3,1,0
87,Who is both the treasurer and vice president of the company which is the guarantor in the agreement?,douglas b bingham,3,1,0
87,Who is both the chief financial officer and senior vice president of the company which is the borrower in the agreement?,ronald d ford,3,1,0
86,Who is both the cfo and executive vice president of the company which is the guarantors in the agreement?,chris power,3,1,0
86,Who is both the cfo and executive vice president of the company which is the borrower in the agreement?,chris power,3,1,0
51,Who is both the treasurer and vice president finance of the company which is the borrower in the agreement?,zamir rauf,3,1,0
