document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
17,What is the role in the agreement of the company associated with 10 south dearborn street 49thfloor chicago il 60603?,holding,2,0,0
117,What is the role in the agreement of the company associated with 14375 nw science park drive portland or 97229?,borrower,2,0,0
103,What is the role in the agreement of the company associated with 245 park avenue 26th floor new york new york 10167?,administrative agent,2,0,0
103,What is the role in the agreement of the company associated with 3 sw 129th avenue suite 400 pembroke pines fl 33027?,borrowers,2,0,0
28,What is the role in the agreement of the company associated with 3000 two logan square philadelphia pa 19103?,borrower,2,0,0
28,What is the role in the agreement of the company associated with cayman corporate centre 27 hospital road george town grand cayman ky1 9008?,lender,2,0,0
28,What is the role in the agreement of the company associated with 100 technology center drive suite 300 stoughton ma 02072?,borrower,2,0,0
129,What is the role in the agreement of the company associated with 20 florence avenue batavia new york 14020?,borrower,2,0,0
100,What is the role in the agreement of the company associated with 590 e middlefield road mountain view ca 94043 4008?,borrower,2,0,0
29,What is the role in the agreement of the company associated with delaware?,guarantors,2,0,0
29,What is the role in the agreement of the company associated with 53 state street boston massachusetts 02109?,borrower,2,0,0
29,What is the role in the agreement of the company associated with florida?,guarantors,2,0,0
29,What is the role in the agreement of the company associated with colorado?,guarantors,2,0,0
15,What is the role in the agreement of the company associated with 110 east 59th street new york new york 1002?,borrower,2,0,0
15,What is the role in the agreement of the company associated with 1285 avenue of the americas new york new york 10019?,lender,2,0,0
39,What is the role in the agreement of the company associated with 830 brigham road dunkirk ny 14048?,borrower,2,0,0
39,What is the role in the agreement of the company associated with 2058 south bailey road north jackson oh 44541?,borrower,2,0,0
39,What is the role in the agreement of the company associated with 121 caldwell street titusville pa 16354?,borrower,2,0,0
39,What is the role in the agreement of the company associated with 600 mayer street bridgeville pa 15017?,borrower,2,0,0
105,What is the role in the agreement of the company associated with unit 1501 2 15 f sino plaza 255 gloucester road causeway bay hong kong?,lender,2,0,0
105,What is the role in the agreement of the company associated with 45 west 36th street 7th floor new york ny 10018?,borrower,2,0,0
10,What is the role in the agreement of the company associated with 4900 tiedeman road 4th floor brooklyn oh 44144?,borrower,2,0,0
12,What is the role in the agreement of the company associated with 108 wilmot road deerfield il 60015?,borrower,2,0,0
107,What is the role in the agreement of the company associated with netherlands?,guarantor,2,0,0
107,What is the role in the agreement of the company associated with luxembourg?,guarantor,2,0,0
107,What is the role in the agreement of the company associated with france?,guarantor,2,0,0
107,What is the role in the agreement of the company associated with united kingdom?,guarantor,2,0,0
107,What is the role in the agreement of the company associated with england?,guarantor,2,0,0
107,What is the role in the agreement of the company associated with wales?,guarantor,2,0,0
113,What is the role in the agreement of the company associated with 9000 southside blvd bldg 100 transaction processing fl9 100 04 24 jacksonville fl 32256?,lender,2,0,0
113,What is the role in the agreement of the company associated with prins bernhardplein 200 1097 jb amsterdam the netherlands?,borrowers,2,0,0
113,What is the role in the agreement of the company associated with one technology way indianapolis indiana 42268 usa?,borrowers,2,0,0
112,What is the role in the agreement of the company associated with 60 acorn park drive cambridge ma 02140?,borrower,2,0,0
106,What is the role in the agreement of the company associated with california?,counsel,2,0,0
106,What is the role in the agreement of the company associated with maine?,counsel,2,0,0
106,What is the role in the agreement of the company associated with pennsylvania?,counsel,2,0,0
106,What is the role in the agreement of the company associated with illinois?,counsel,2,0,0
60,What is the role in the agreement of the company associated with 11951 freedom drive reston va 20190?,borrower,2,0,0
74,What is the role in the agreement of the company associated with 100 northern avenue boston ma 02110?,legal counsel,2,0,0
74,What is the role in the agreement of the company associated with 7900 tysons one place suite1450 mclean va 22102?,borrower,2,0,0
161,What is the role in the agreement of the company associated with c o modiv advisors llc 120 newport center drive newport beach ca 92660?,borrower,2,0,0
161,What is the role in the agreement of the company associated with 1200 abernathy road ne suite 1550 atlanta georgia 30328?,lenders,2,0,0
161,What is the role in the agreement of the company associated with 2390 east camelback road ste 220 phoenix arizona 85016?,lenders,2,0,0
49,What is the role in the agreement of the company associated with 225 w washington street suite2100 chicagoillinois 60606?,agent,2,0,0
49,What is the role in the agreement of the company associated with 200 clarendon street 51st floor boston massachusetts 02116?,agent,2,0,0
75,What is the role in the agreement of the company associated with 20 crosby drive bedford ma 01730?,borrower,2,0,0
75,What is the role in the agreement of the company associated with 10 south dearborn street chicagoillinois 60603?,administrative agent,2,0,0
63,What is the role in the agreement of the company associated with one south dearborn chicago illinois 60603?,legal counsel,2,0,0
63,What is the role in the agreement of the company associated with 1947 briarfield boulevard maumee oh 43537 attention brian a valentine?,borrower,2,0,0
88,What is the role in the agreement of the company associated with 6922 hollywood blvd suite 500 los angeles ca 90028?,liability company,2,0,0
162,What is the role in the agreement of the company associated with 515 west greens road suite 1200 houston texas 77067 attention general counsel?,borrower,2,0,0
62,What is the role in the agreement of the company associated with 222 bay street 15 floor toronto on m5k 1a2?,lender,2,0,0
62,What is the role in the agreement of the company associated with 27175 energy way novi mi 48377?,borrower,2,0,0
8,What is the role in the agreement of the company associated with 600 la terraza blvd escondido california 92025?,borrower,2,0,0
72,What is the role in the agreement of the company associated with building 3 1615 brett road new castle de 19720?,administrative agent,2,0,0
72,What is the role in the agreement of the company associated with 1000 stanley drive new britain connecticut 06053?,initial borrower,2,0,0
66,What is the role in the agreement of the company associated with 951 calle amanecer san clemente california 92673?,borrower,2,0,0
99,What is the role in the agreement of the company associated with 305 hartman drive po box 787 lebanon tennessee 37088 0787?,borrower,2,0,0
98,What is the role in the agreement of the company associated with one south dearborn chicago il 60603?,borrower,2,0,0
98,What is the role in the agreement of the company associated with 14 crosby drive bedford ma 01730?,borrower,2,0,0
98,What is the role in the agreement of the company associated with 851 west cypress creek road fort lauderdale florida 33309?,borrower,2,0,0
