document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
100,What is the position held by dan johnston but not by mark strzynski or min park?,chief legal and administrative officer,1,3,0
61,What is the position held by jim cahow but not by liz cheng or maria riaz?,director,1,3,0
61,What is the position held by jim cahow but not by liz cheng or marko lukin?,director,1,3,0
61,What is the position held by jim cahow but not by maria riaz or marko lukin?,director,1,3,0
82,What is the position held by david c francisco but not by david m crane or jennifer hwang?,treasurer,1,3,0
82,What is the position held by david c francisco but not by david m crane or vanessa a kurbatskiy?,treasurer,1,3,0
82,What is the position held by david c francisco but not by david m crane or john l healy?,treasurer,1,3,0
82,What is the position held by david c francisco but not by jennifer hwang or vanessa a kurbatskiy?,treasurer,1,3,0
82,What is the position held by david c francisco but not by jennifer hwang or john l healy?,treasurer,1,3,0
82,What is the position held by david c francisco but not by vanessa a kurbatskiy or john l healy?,treasurer,1,3,0
57,What is the position held by chuck b kyrish but not by henry pennell or kara p van duzee?,treasurer,1,3,0
57,What is the position held by chuck b kyrish but not by henry pennell or katherine l hurley?,treasurer,1,3,0
57,What is the position held by chuck b kyrish but not by henry pennell or lauren steiner?,treasurer,1,3,0
57,What is the position held by chuck b kyrish but not by henry pennell or michael vondriska?,treasurer,1,3,0
57,What is the position held by chuck b kyrish but not by henry pennell or robert sullivan?,treasurer,1,3,0
57,What is the position held by chuck b kyrish but not by henry pennell or virginia cosenza?,treasurer,1,3,0
57,What is the position held by chuck b kyrish but not by henry pennell or alysha salinger?,treasurer,1,3,0
57,What is the position held by chuck b kyrish but not by kara p van duzee or katherine l hurley?,treasurer,1,3,0
57,What is the position held by chuck b kyrish but not by kara p van duzee or lauren steiner?,treasurer,1,3,0
57,What is the position held by chuck b kyrish but not by kara p van duzee or michael vondriska?,treasurer,1,3,0
57,What is the position held by chuck b kyrish but not by kara p van duzee or robert sullivan?,treasurer,1,3,0
57,What is the position held by chuck b kyrish but not by kara p van duzee or virginia cosenza?,treasurer,1,3,0
57,What is the position held by chuck b kyrish but not by kara p van duzee or alysha salinger?,treasurer,1,3,0
57,What is the position held by chuck b kyrish but not by katherine l hurley or lauren steiner?,treasurer,1,3,0
57,What is the position held by chuck b kyrish but not by katherine l hurley or michael vondriska?,treasurer,1,3,0
57,What is the position held by chuck b kyrish but not by katherine l hurley or robert sullivan?,treasurer,1,3,0
57,What is the position held by chuck b kyrish but not by katherine l hurley or virginia cosenza?,treasurer,1,3,0
57,What is the position held by chuck b kyrish but not by katherine l hurley or alysha salinger?,treasurer,1,3,0
57,What is the position held by chuck b kyrish but not by lauren steiner or michael vondriska?,treasurer,1,3,0
57,What is the position held by chuck b kyrish but not by lauren steiner or robert sullivan?,treasurer,1,3,0
57,What is the position held by chuck b kyrish but not by lauren steiner or virginia cosenza?,treasurer,1,3,0
57,What is the position held by chuck b kyrish but not by lauren steiner or alysha salinger?,treasurer,1,3,0
57,What is the position held by chuck b kyrish but not by michael vondriska or robert sullivan?,treasurer,1,3,0
57,What is the position held by chuck b kyrish but not by michael vondriska or virginia cosenza?,treasurer,1,3,0
57,What is the position held by chuck b kyrish but not by michael vondriska or alysha salinger?,treasurer,1,3,0
57,What is the position held by chuck b kyrish but not by robert sullivan or virginia cosenza?,treasurer,1,3,0
57,What is the position held by chuck b kyrish but not by robert sullivan or alysha salinger?,treasurer,1,3,0
57,What is the position held by chuck b kyrish but not by virginia cosenza or alysha salinger?,treasurer,1,3,0
84,What is the position held by alexander wu but not by chwan ming ho or edward chen?,svp,1,3,0
84,What is the position held by alexander wu but not by chwan ming ho or li hua huang?,svp,1,3,0
84,What is the position held by alexander wu but not by edward chen or li hua huang?,svp,1,3,0
123,What is the position held by john b ellis but not by lisa huang or shaun hawley?,treasurer,1,3,0
35,What is the position held by john p rielly but not by kelton glasscock or sophia love?,chief financial officer,1,3,0
35,What is the position held by john p rielly but not by kelton glasscock or timothy b goodell?,chief financial officer,1,3,0
35,What is the position held by john p rielly but not by sophia love or timothy b goodell?,chief financial officer,1,3,0
121,What is the position held by angela chen but not by jane chang or murtuza ziauddin?,dgm,1,3,0
121,What is the position held by kefel xu but not by kitty sin or paul hultgren?,branch manager,1,3,0
31,What is the position held by haiyong yang but not by kurban h merchant or maureen maroney?,branch manager,1,3,0
31,What is the position held by haiyong yang but not by kurban h merchant or oscar d cortez?,branch manager,1,3,0
31,What is the position held by haiyong yang but not by maureen maroney or oscar d cortez?,branch manager,1,3,0
