question,answer
What medications treat a disease which is caused by campylobacter and shigella?,"aminoglycoside,azithromycin,ceftriaxone,ciprofloxacin,doxycycline,erythromycin,fidaxomicin,levofloxacin,metronidazole,moxifloxacin,trimethoprim,vancomycin"
What medications treat a disease which is caused by campylobacter and escherichia coli?,"aminoglycoside,azithromycin,ceftriaxone,ciprofloxacin,doxycycline,erythromycin,fidaxomicin,levofloxacin,metronidazole,moxifloxacin,trimethoprim,vancomycin"
What medications treat a disease which is caused by campylobacter and bartonella?,"aminoglycoside,azithromycin,ceftriaxone,ciprofloxacin,doxycycline,erythromycin"
What medications treat a disease which is caused by campylobacter and salmonella?,"aminoglycoside,azithromycin,ceftriaxone,ciprofloxacin,doxycycline,erythromycin,fidaxomicin,levofloxacin,metronidazole,moxifloxacin,trimethoprim,vancomycin"
What medications treat a disease which is caused by shigella and campylobacter?,"aminoglycoside,azithromycin,ceftriaxone,ciprofloxacin,doxycycline,erythromycin,fidaxomicin,levofloxacin,metronidazole,moxifloxacin,trimethoprim,vancomycin"
What medications treat a disease which is caused by shigella and escherichia coli?,"aminoglycoside,azithromycin,ceftriaxone,ciprofloxacin,doxycycline,erythromycin,fidaxomicin,levofloxacin,metronidazole,moxifloxacin,trimethoprim,vancomycin"
What medications treat a disease which is caused by shigella and bartonella?,"aminoglycoside,azithromycin,ceftriaxone,ciprofloxacin,doxycycline,erythromycin"
What medications treat a disease which is caused by shigella and salmonella?,"aminoglycoside,azithromycin,ceftriaxone,ciprofloxacin,doxycycline,erythromycin,fidaxomicin,levofloxacin,metronidazole,moxifloxacin,trimethoprim,vancomycin"
What medications treat a disease which is caused by escherichia coli and campylobacter?,"aminoglycoside,azithromycin,ceftriaxone,ciprofloxacin,doxycycline,erythromycin,fidaxomicin,levofloxacin,metronidazole,moxifloxacin,trimethoprim,vancomycin"
What medications treat a disease which is caused by escherichia coli and shigella?,"aminoglycoside,azithromycin,ceftriaxone,ciprofloxacin,doxycycline,erythromycin,fidaxomicin,levofloxacin,metronidazole,moxifloxacin,trimethoprim,vancomycin"
What medications treat a disease which is caused by escherichia coli and bartonella?,"aminoglycoside,azithromycin,ceftriaxone,ciprofloxacin,doxycycline,erythromycin"
What medications treat a disease which is caused by escherichia coli and salmonella?,"aminoglycoside,azithromycin,ceftriaxone,ciprofloxacin,doxycycline,erythromycin,fidaxomicin,levofloxacin,metronidazole,moxifloxacin,trimethoprim,vancomycin"
What medications treat a disease which is caused by bartonella and campylobacter?,"aminoglycoside,azithromycin,ceftriaxone,ciprofloxacin,doxycycline,erythromycin"
What medications treat a disease which is caused by bartonella and shigella?,"aminoglycoside,azithromycin,ceftriaxone,ciprofloxacin,doxycycline,erythromycin"
What medications treat a disease which is caused by bartonella and escherichia coli?,"aminoglycoside,azithromycin,ceftriaxone,ciprofloxacin,doxycycline,erythromycin"
What medications treat a disease which is caused by bartonella and salmonella?,"aminoglycoside,azithromycin,ceftriaxone,ciprofloxacin,doxycycline,erythromycin"
What medications treat a disease which is caused by salmonella and campylobacter?,"aminoglycoside,azithromycin,ceftriaxone,ciprofloxacin,doxycycline,erythromycin,fidaxomicin,levofloxacin,metronidazole,moxifloxacin,trimethoprim,vancomycin"
What medications treat a disease which is caused by salmonella and shigella?,"aminoglycoside,azithromycin,ceftriaxone,ciprofloxacin,doxycycline,erythromycin,fidaxomicin,levofloxacin,metronidazole,moxifloxacin,trimethoprim,vancomycin"
What medications treat a disease which is caused by salmonella and escherichia coli?,"aminoglycoside,azithromycin,ceftriaxone,ciprofloxacin,doxycycline,erythromycin,fidaxomicin,levofloxacin,metronidazole,moxifloxacin,trimethoprim,vancomycin"
What medications treat a disease which is caused by salmonella and bartonella?,"aminoglycoside,azithromycin,ceftriaxone,ciprofloxacin,doxycycline,erythromycin"
