Unnamed: 0,document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension,llm_response,f1_score,edit_distance,cosine_similarity
58,60,"what is the role and subrole that bank of montreal and fifth third bank, national association share in the agreement that is not held by jpmorgan chase bank, n.a.",documentation agent,1,3,0,"Bank of Montreal is a Documentation Agent and Fifth Third Bank, National Association is a Senior Managing Agent, roles not held by JPMorgan Chase Bank, N.A.",0.17391304347826084,0.1258278145695364,0.2687916679291217
59,60,"what is the role and subrole that bank of montreal and fifth third bank, national association share in the agreement that is not held by mufg bank, ltd.",documentation agent,1,3,0,Not found,0.0,0.21052631578947367,0.0
60,60,"what is the role and subrole that bank of montreal and fifth third bank, national association share in the agreement that is not held by pnc capital markets llc",documentation agent,1,3,0,"Bank of Montreal: Documentation Agents, Senior Managing Agents
Fifth Third Bank, National Association: Senior Managing Agents
PNC Capital Markets LLC: Joint Lead Arrangers and Joint Bookrunners

Senior Managing Agents",0.09090909090909091,0.08878504672897192,0.05487366688819072
61,60,"what is the role and subrole that bank of montreal and fifth third bank, national association share in the agreement that is not held by wells fargo securities llc",documentation agent,1,3,0,"Bank of Montreal is a documentation agent and Fifth Third Bank, National Association is a senior managing agent. Wells Fargo Securities, LLC is a joint lead arranger and joint bookrunner.",0.16666666666666669,0.10382513661202186,0.24315309915386518
62,60,"what is the role and subrole that bank of montreal and goldman sachs bank usa share in the agreement that is not held by jpmorgan chase bank, n.a.",documentation agent,1,3,0,Not found,0.0,0.21052631578947367,0.0
63,60,"what is the role and subrole that bank of montreal and goldman sachs bank usa share in the agreement that is not held by mufg bank, ltd.",documentation agent,1,3,0,"Bank of Montreal: Documentation Agents, Senior Managing Agents
Goldman Sachs Bank USA: Senior Managing Agents
MUFG Bank, LTD.: Syndication Agent
Not found",0.2222222222222222,0.1258278145695364,0.16539439585841767
64,60,what is the role and subrole that bank of montreal and goldman sachs bank usa share in the agreement that is not held by pnc capital markets llc,documentation agent,1,3,0,Not found,0.0,0.21052631578947367,0.0
65,60,what is the role and subrole that bank of montreal and goldman sachs bank usa share in the agreement that is not held by wells fargo securities llc,documentation agent,1,3,0,Not found,0.0,0.21052631578947367,0.0
66,60,"what is the role and subrole that bank of montreal and pnc bank, national association share in the agreement that is not held by pnc capital markets llc",documentation agent,1,3,0,Not found,0.0,0.21052631578947367,0.0
67,60,"what is the role and subrole that bank of montreal and pnc bank, national association share in the agreement that is not held by wells fargo securities llc",documentation agent,1,3,0,Not found,0.0,0.21052631578947367,0.0
