question,answer
What diseases are treated by doxycycline and moxifloxacin?,"bacillary angiomatosis,bacteremia,cat scratch disease,endocarditis,osteomyelitis,peliosis hepatis"
What diseases are treated by doxycycline and clarithromycin?,"bacillary angiomatosis,bacteremia,cat scratch disease,endocarditis,osteomyelitis,peliosis hepatis"
What diseases are treated by doxycycline and ceftriaxone?,"bacillary angiomatosis,bacteremia,cat scratch disease,endocarditis,osteomyelitis,peliosis hepatis"
What diseases are treated by doxycycline and levofloxacin?,"bacillary angiomatosis,bacteremia,cat scratch disease,endocarditis,osteomyelitis,peliosis hepatis"
What diseases are treated by doxycycline and vancomycin?,"bacillary angiomatosis,bacteremia,cat scratch disease,endocarditis,osteomyelitis,peliosis hepatis"
What diseases are treated by doxycycline and rifampin?,"bacillary angiomatosis,bacteremia,cat scratch disease,endocarditis,osteomyelitis,peliosis hepatis"
What diseases are treated by doxycycline and trimethoprim?,"bacillary angiomatosis,bacteremia,cat scratch disease,endocarditis,osteomyelitis,peliosis hepatis"
What diseases are treated by doxycycline and metronidazole?,"bacillary angiomatosis,bacteremia,cat scratch disease,endocarditis,osteomyelitis,peliosis hepatis"
What diseases are treated by doxycycline and aminoglycoside?,"bacillary angiomatosis,bacteremia,cat scratch disease,endocarditis,osteomyelitis,peliosis hepatis"
What diseases are treated by doxycycline and ciprofloxacin?,"bacillary angiomatosis,bacteremia,cat scratch disease,endocarditis,osteomyelitis,peliosis hepatis"
What diseases are treated by doxycycline and erythromycin?,"bacillary angiomatosis,bacteremia,cat scratch disease,endocarditis,osteomyelitis,peliosis hepatis"
What diseases are treated by doxycycline and azithromycin?,"bacillary angiomatosis,bacteremia,cat scratch disease,endocarditis,osteomyelitis,peliosis hepatis"
What diseases are treated by doxycycline and gentamicin?,"bacillary angiomatosis,bacteremia,cat scratch disease,endocarditis,osteomyelitis,peliosis hepatis"
What diseases are treated by doxycycline and fidaxomicin?,"bacillary angiomatosis,bacteremia,cat scratch disease,endocarditis,osteomyelitis,peliosis hepatis"
What diseases are treated by ceftriaxone and moxifloxacin?,"bacteremia,diarrheal disease,gastroenteritis,salmonellosis,shigellosis"
What diseases are treated by ceftriaxone and clarithromycin?,"bacteremia,diarrheal disease,gastroenteritis,salmonellosis,shigellosis"
What diseases are treated by ceftriaxone and doxycycline?,"bacteremia,diarrheal disease,gastroenteritis,salmonellosis,shigellosis"
What diseases are treated by ceftriaxone and levofloxacin?,"bacteremia,diarrheal disease,gastroenteritis,salmonellosis,shigellosis"
What diseases are treated by ceftriaxone and vancomycin?,"bacteremia,diarrheal disease,gastroenteritis,salmonellosis,shigellosis"
What diseases are treated by ceftriaxone and rifampin?,"bacteremia,diarrheal disease,gastroenteritis,salmonellosis,shigellosis"
What diseases are treated by ceftriaxone and trimethoprim?,"bacteremia,diarrheal disease,gastroenteritis,salmonellosis,shigellosis"
What diseases are treated by ceftriaxone and metronidazole?,"bacteremia,diarrheal disease,gastroenteritis,salmonellosis,shigellosis"
What diseases are treated by ceftriaxone and aminoglycoside?,"bacteremia,diarrheal disease,gastroenteritis,salmonellosis,shigellosis"
What diseases are treated by ceftriaxone and ciprofloxacin?,"bacteremia,diarrheal disease,gastroenteritis,salmonellosis,shigellosis"
What diseases are treated by ceftriaxone and erythromycin?,"bacteremia,diarrheal disease,gastroenteritis,salmonellosis,shigellosis"
What diseases are treated by ceftriaxone and azithromycin?,"bacteremia,diarrheal disease,gastroenteritis,salmonellosis,shigellosis"
What diseases are treated by ceftriaxone and gentamicin?,"bacteremia,diarrheal disease,gastroenteritis,salmonellosis,shigellosis"
What diseases are treated by ceftriaxone and fidaxomicin?,"bacteremia,diarrheal disease,gastroenteritis,salmonellosis,shigellosis"
What diseases are treated by levofloxacin and moxifloxacin?,"campylobacteriosis,gastroenteritis,shigellosis"
