document_number,f1_score,edit_distance,cosine_similarity,llm_as_a_judge,num_questions
9,0.7042410714285714,0.3213334690961627,0.6942203586382045,4.0,32
17,0.474094655106007,0.5603762486727797,0.45345832792674595,3.5925925925925926,27
25,0.75,0.15047178559836788,0.7516812054930259,4.5,14
43,0.18181818181818182,0.08181818181818182,0.18181818181818182,4.181818181818182,11
45,0.9035409035409036,0.1549381868131868,0.904111343744599,4.75,20
47,0.546589259796807,0.19230228254823942,0.5391041285232101,4.132075471698113,53
51,0.9114436885865458,0.23083105074272509,0.9186715924695253,4.857142857142857,21
60,0.8117784992784993,0.22505466595785958,0.7925353891963236,3.8863636363636362,44
65,0.5493506493506494,0.41268615764204536,0.5454342958710087,3.1785714285714284,28
66,0.7642857142857143,0.24168167777194144,0.7446468089383174,3.75,40
