document_number,question,answer,num_hops,num_set_operations,multiple_answers,llm_response
1,What is the position of Alexandra M. Knights?,Authorized Signatory,1,0,0,Authorized Signatory
1,In what organization does Alexandra M. Knights work?,"BANK OF AMERICA, N.A.",1,0,0,"BANK OF AMERICA, N.A."
1,In what organization does Mark Constant work?,"FRANKLIN RESOURCES, INC.",1,0,0,"FRANKLIN RESOURCES, INC."
1,"Who is the representative of BANK OF AMERICA, N.A.?",Alexandra M. Knights,1,0,0,Authorized Signatory
1,"Who is the representative of FRANKLIN RESOURCES, INC.?",Mark Constant,1,0,0,Vice President and Treasurer
1,"What is the role of FRANKLIN RESOURCES, INC. in the agreement?",Borrower,1,0,0,Borrower
1,What company is the lead arranger in the agreement?,"Bank of America, N.A.",1,0,0,"BANK OF AMERICA, N.A."
1,What company is the bookrunner in the agreement?,"Bank of America, N.A.",1,0,0,"BANK OF AMERICA, N.A."
1,What company is the Administrative Agent in the agreement?,"BANK OF AMERICA, N.A.",1,0,0,"BANK OF AMERICA, N.A."
1,What company is the Arranger in the agreement?,"BANK OF AMERICA, N.A.",1,0,0,"BANK OF AMERICA, N.A."
1,What company is the Bookrunner in the agreement?,"BANK OF AMERICA, N.A.",1,0,0,"BANK OF AMERICA, N.A."
1,What company is the Lender in the agreement?,"BANK OF AMERICA, N.A.",1,0,0,"BANK OF AMERICA, N.A."
1,What company is the Lenders in the agreement?,"BANK OF AMERICA, N.A.",1,0,0,"BANK OF AMERICA, N.A."
1,What company is the Borrower in the agreement?,"FRANKLIN RESOURCES, INC.",1,0,0,"FRANKLIN RESOURCES, INC."
5,What is the position of Andrew W. Hussion?,Vice President,1,0,0,Vice President
5,What is the position of Denise Smyth?,Senior Vice President,1,0,0,Senior Vice President
5,What is the position of Robert Masters?,Senior Vice President,1,0,0,Senior Vice President
5,In what organization does Andrew W. Hussion work?,WELLS FARGO BANK,1,0,0,"WELLS FARGO BANK, NATIONAL ASSOCIATION"
5,In what organization does Denise Smyth work?,PNC BANK,1,0,0,"PNC BANK, NATIONAL ASSOCIATION"
5,In what organization does Robert Masters work?,PNC BANK,1,0,0,ACADIA REALTY TRUST
5,In what organization does Roy E. Alexander work?,PNC BANK,1,0,0,"BANK OF AMERICA, N.A."
5,Who is the representative of WELLS FARGO BANK?,Andrew W. Hussion,1,0,0,"WELLS FARGO BANK, NATIONAL ASSOCIATION"
5,What is the role of ACADIA REALTY LIMITED PARTNERSHIP in the agreement?,SUBSIDIARIES Guarantors,1,0,0,Borrower
5,"What is the role of BANK OF AMERICA, N.A. in the agreement?",Administrative Agent,1,0,0,"Administrative Agent, L/C Issuer and Swing Line Lender"
5,What is the role of WELLS FARGO SECURITIES in the agreement?,Joint Lead Arrangers,1,0,0,"WELLS FARGO SECURITIES, LLC"
5,What is the role of WELLS FARGO BANK in the agreement?,Documentation Agents,1,0,0,"WELLS FARGO BANK, NATIONAL ASSOCIATION"
5,What company is the SUBSIDIARIES Guarantors in the agreement?,ACADIA REALTY LIMITED PARTNERSHIP,1,0,0,ACADIA REALTY LIMITED PARTNERSHIP
5,What company is the Administrative Agent in the agreement?,"BANK OF AMERICA, N.A.",1,0,0,"BANK OF AMERICA, N.A."
5,What company is the C Issuer in the agreement?,"BANK OF AMERICA, N.A.",1,0,0,"BANK OF AMERICA, N.A."
5,What company is the Lender in the agreement?,"BANK OF AMERICA, N.A.",1,0,0,"PNC BANK, NATIONAL ASSOCIATION"
5,What company is the Swing Line Lender in the agreement?,"BANK OF AMERICA, N.A.",1,0,0,"BANK OF AMERICA, N.A."
