document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
116,Who are the representatives of morgan stanley direct lending fund?,"orit mizrachi, venu rathi, venugopal rathi",1,0,1
100,Who are the representatives of omnicellinc?,"dan johnston, peter kuipers",1,0,1
15,Who are the representatives of ubs ag?,"jared randall, racquel ac small",1,0,1
110,Who are the representatives of bnp paribas?,"brendan heneghan, david l berger",1,0,1
110,Who are the representatives of ubs ag stamford branch?,"houssem daly, kenneth chin",1,0,1
104,Who are the representatives of convergys corporation?,"andre s valentine, david r wiedwald",1,0,1
139,Who are the representatives of crédit agricole corporate and investment bank?,"kestrina budina, tanya crossley",1,0,1
111,Who are the representatives of hsbc bank bermuda limited?,"louise twiss west, neville grant",1,0,1
10,Who are the representatives of royal bank of canada?,"alex figueroa, susan khokher",1,0,1
38,Who are the representatives of bnp paribas?,"ann rhoads, sriram chandrasekaran",1,0,1
38,Who are the representatives of credit agricole corporate and investment?,"dennis petito, michael willis",1,0,1
38,Who are the representatives of ubs ag?,"houssem daly, kenneth chin",1,0,1
38,Who are the representatives of dnb capital llc?,"jamie grubb, joe hykle",1,0,1
38,Who are the representatives of deutsche bank ag?,"ming k chu, ross levitsky",1,0,1
38,Who are the representatives of credit suisse ag?,"nupur kumar, stefan dickenmann",1,0,1
12,Who are the representatives of walgreens boots alliance inc?,"aidan clare, gráinne kelly, marco pagni, sara la berg",1,0,1
12,Who are the representatives of intesa sanpaolo spa new york branch?,"francesco di mario, lorenzo rodino",1,0,1
12,Who are the representatives of unicredit bank ag new york branch?,"luca balestra, thilo huber",1,0,1
113,Who are the representatives of hurco companies inc?,"michael doar, sonja k mcclelland",1,0,1
106,Who are the representatives of royal bank of canada?,"ann hurley, thomas casey",1,0,1
106,Who are the representatives of ubs ag stamford branch?,"joselin fernandes, lana gifas",1,0,1
60,Who are the representatives of bank of the west?,"caroline smith, harry yergey",1,0,1
74,Who are the representatives of credit suisse ag cayman islands branch?,"christopher day, karim rahimtoola",1,0,1
48,Who are the representatives of enbridge energy partners lp?,"jonathan rose, chris kaitson",1,0,1
148,Who are the representatives of bnp paribas?,"karim remtoula, p nicholas rogers",1,0,1
148,Who are the representatives of bank of america?,"liliana claar, mukesh singh",1,0,1
61,Who are the representatives of bank of america na?,"amanuel assefa, bridgett j manduk mowry",1,0,1
61,Who are the representatives of bnp paribas?,"gregory paul, liz cheng",1,0,1
61,Who are the representatives of deutsche bank ag new york branch?,"marko lukin, ming k chu",1,0,1
89,Who are the representatives of agiliti healthinc?,"james pekarek, lee neumann, matthew mccabe",1,0,1
66,Who are the representatives of dnb capital llc?,"bret douglas, kristie li",1,0,1
99,Who are the representatives of coöperatieve centrale raiffeisen boerenleenbank ba rabobank?,"adriaan weststrate, michael t harder",1,0,1
166,Who are the representatives of kotak mahindra bank limited?,"dipak gupta, rajeev mohan",1,0,1
166,Who are the representatives of standard chartered bank?,"james perkins, simon williams, valdeep singh",1,0,1
166,Who are the representatives of ing bank nv?,"lisa kwok, richard cox",1,0,1
166,Who are the representatives of icici bank uk plc?,"nishant kumar, vikashh mehta",1,0,1
166,Who are the representatives of axis bank limited?,"rachit bhatia, sandeep patnaik",1,0,1
166,Who are the representatives of novelis aluminium holding unlimited company?,"shannon curran, chirag shah",1,0,1
73,Who are the representatives of deutsche bank securities inc?,"benjamin souh, peter cucchiara",1,0,1
73,Who are the representatives of crédit industriel et commercial new york bank?,"clifford abramsky, marcus edward",1,0,1
73,Who are the representatives of bank of america?,"don b pinzon, marie f harrison",1,0,1
73,Who are the representatives of credit suisse securities usa llc?,"karim rahimtoola, vipul dhadda",1,0,1
9,Who are the representatives of credit suisse ag cayman islands branch?,"mikhail faybusovich, wei jen yuan",1,0,1
65,Who are the representatives of credit suisse ag cayman islands branch?,"andrew griffin, whitney gaston",1,0,1
65,Who are the representatives of deutsche bank ag new york branch?,"philip tancorra, yumi okabe",1,0,1
170,Who are the representatives of cooperatieve centrale raiffeisen boerenleenbank ba rabobank nederland new york branch?,"gillian dickson, matthew gregg",1,0,1
165,Who are the representatives of bank of america na?,"bridgett j manduk mowry, j casey cosgrove",1,0,1
165,Who are the representatives of conagra brands inc?,"colleen batcheler, johan nystedt",1,0,1
165,Who are the representatives of cooperatieve rabobank ua new york branch?,"pacella lehane, peter duncan",1,0,1
64,Who are the representatives of credit suisse ag cayman islands branch?,"doreen barr, komal shah",1,0,1
96,Who are the representatives of public service company of new mexico?,"terry horn, terry r horn",1,0,1
155,Who are the representatives of sahara holdings limited?,"michael pope, patrick foley",1,0,1
169,Who are the representatives of coöperatieve centrale raiffeisen boerenleenbank barabobank nederland new york branch?,"jeff bliss, timothy j devane",1,0,1
97,Who are the representatives of general electric capital corporation?,"dague retzlaff, diana pennington, jeffrey m muchmore",1,0,1
83,Who are the representatives of bnp paribas?,"charles de clapiers, todd rodgers",1,0,1
83,Who are the representatives of the bank of east asia ltd?,"danny leung, james hua",1,0,1
83,Who are the representatives of banco de credito e inversiones?,"ivan vera, juan segundo",1,0,1
83,Who are the representatives of standard chartered bank?,"johanna minaya, robert k reddington",1,0,1
83,Who are the representatives of western digital technologies inc?,"michael ray, tim leyden, timothy leyden",1,0,1
56,Who are the representatives of credit suisse ag cayman islands branch?,"d andrew maletta, judith smith",1,0,1
56,Who are the representatives of ubs ag stamford branch?,"darlene arias, kenneth chin",1,0,1
42,Who are the representatives of bank of america na?,"anthony luppino, kelly weaver",1,0,1
95,Who are the representatives of bank of america na?,"angela lau, yinghua zhang",1,0,1
142,Who are the representatives of canadian imperial bank of commerce new york branch?,"anar ramji, randy geislinger",1,0,1
142,Who are the representatives of transcanada pipelines limited?,"christine r johnston, joel e hunter",1,0,1
142,Who are the representatives of credit agricole corporate and investment bank?,"gordon yip, jeff ferrell",1,0,1
142,Who are the representatives of national bank of canada new york branch?,"john niedermier, mark williamson",1,0,1
142,Who are the representatives of deutsche bank ag new york branch?,"john s mcgill, ming k chu",1,0,1
142,Who are the representatives of columbia pipeline group inc?,"jon a dobson, nathaniel a brown",1,0,1
142,Who are the representatives of the bank of nova scotia?,"jonathan leach, michael linder",1,0,1
142,Who are the representatives of export development canada?,"martin eyok, raj acharya",1,0,1
142,Who are the representatives of credit suisse ag toronto branch?,"szymon ordys, tammy oldenburg",1,0,1
156,Who are the representatives of wells fargo bank national association?,"brian lane, patricia del busto",1,0,1
156,Who are the representatives of bnp paribas?,"christopher cassidy, guelay mese",1,0,1
156,Who are the representatives of deutsche bank ag new york branch?,"jessica lutrario, philip tancorra",1,0,1
94,Who are the representatives of natixis new york branch?,"edward t crook, j stéphane lautner",1,0,1
57,Who are the representatives of unicredit bank ag new york branch?,"betsy briggs, julien tizorin",1,0,1
57,Who are the representatives of commerzbank ag new york branch?,"john w deegan, robert sullivan",1,0,1
57,Who are the representatives of deutsche bank ag new york branch?,"ming k chu, virginia cosenza",1,0,1
47,Who are the representatives of dnb capital llc?,"kristie li, philip f kurpiewski",1,0,1
47,Who are the representatives of deutsche bank ag new york branch?,"ming k chu, virginia cosenza",1,0,1
90,Who are the representatives of deutsche bank ag new york branch?,"annie chung, ming k chu",1,0,1
90,Who are the representatives of ing bank nv?,"barry fehily, sean hassett",1,0,1
90,Who are the representatives of credit agricole corporate and investment bank?,"brad matthews, kaye ea",1,0,1
90,Who are the representatives of bnp paribas?,"michael pearce, todd grossnickle",1,0,1
84,Who are the representatives of credit agricole corporate and investment bank?,"amy trapp, tanya crossley",1,0,1
84,Who are the representatives of keybank national association?,"audrey pishnery, elsa obrien, laura conway",1,0,1
84,Who are the representatives of credit suisse ag?,"bill odaly, michael donofrio",1,0,1
84,Who are the representatives of ubs ag?,"joselin fernandes, lana gifas",1,0,1
84,Who are the representatives of health care reit inc?,"michael a crabtree, mrgeorgel chapman",1,0,1
84,Who are the representatives of deutsche bank ag?,"ming k chu, virginia cosenza",1,0,1
147,Who are the representatives of credit suisse ag?,"komal shah, whitney gaston",1,0,1
147,Who are the representatives of deutsche bank?,"michael strobel, philip tancorra",1,0,1
52,Who are the representatives of clorox company?,"charles r conradi, laura stein",1,0,1
