Unnamed: 0,document_number,question,answer,num_hops,num_set_operations,multiple_answers,llm_response
112,66,who is the authorized signer of the company which is the issuing lender but not the revolver in the agreement,james riley,3,2,0,"Citibank, N.A."
113,66,who is the authorized signer of the company which is the term loan a lender but not the revolver in the agreement,james riley,3,2,0,Citibank N.A.
114,66,who is the authorized signer of the company which is the swingline lender but not the revolver in the agreement,james riley,3,2,0,"Wells Fargo Bank, National Association"
164,47,who is the vice president of the company which is the lender but not the co syndication agents in the agreement,bremmer kneib,3,2,0,Deutsche Bank AG New York Branch
165,47,who is the director of the company which is the co syndication agents but not the bookrunners in the agreement,brian mcnany,3,2,0,Not found
166,47,who is the director of the company which is the lender but not the bookrunners in the agreement,brian mcnany,3,2,0,Not found
167,47,who is the director of the company which is the lender but not the co syndication agents in the agreement,brian mcnany,3,2,0,Not found
168,47,"who is the managing director of the company which is the lender but not the administrative agent, in the agreement",kirk tesch,3,2,0,Brian McNany
182,51,who is the vice president of the company which is the collateral agent but not the lead arrangers in the agreement,cody gunsch,3,2,0,"MUFG Union Bank, N.A."
183,51,who is the vice president of the company which is the collateral agent but not the bookrunners in the agreement,cody gunsch,3,2,0,"MUFG Union Bank, N.A."
184,51,who is the vice president of the company which is the collateral agent but not the lender in the agreement,cody gunsch,3,2,0,"MUFG Union Bank, N.A. is the collateral agent in the agreement. The vice president mentioned in the signature block for MUFG Union Bank, N.A. is Sonia N. Flores. 

Answer:
Sonia N. Flores"
185,51,who is the vice president of the company which is the administrative agent but not the lead arrangers in the agreement,cody gunsch,3,2,0,Zamir Rauf
186,51,who is the vice president of the company which is the administrative agent but not the bookrunners in the agreement,cody gunsch,3,2,0,Zamir Rauf
187,51,who is the vice president of the company which is the administrative agent but not the lender in the agreement,cody gunsch,3,2,0,Zamir Rauf
353,60,"what are the roles and subroles that bank of montreal and bofa securities, inc. share in the agreement that are not held by fifth third bank, national association","bookrunner, book manager, lead arranger",1,3,1,Joint Lead Arrangers and Joint Bookrunners
354,60,"what are the roles and subroles that bank of montreal and bofa securities, inc. share in the agreement that are not held by goldman sachs bank usa","bookrunner, book manager, lead arranger",1,3,1,"Bank of Montreal and BofA Securities, Inc. share the following roles and subroles in the agreement that are not held by Goldman Sachs Bank USA:

1. Joint Lead Arrangers and Joint Bookrunners
2. Documentation Agents"
355,60,"what are the roles and subroles that bank of montreal and bofa securities, inc. share in the agreement that are not held by pnc bank, national association","bookrunner, book manager, lead arranger",1,3,1,"Bank of Montreal and BofA Securities, Inc. share the following roles and subroles in the agreement that are not held by PNC Bank, National Association:

1. Joint Lead Arrangers and Joint Bookrunners

PNC Bank, National Association is listed as a Documentation Agent and does not hold the Joint Lead Arranger and Joint Bookrunner roles."
356,60,"what are the roles and subroles that bank of montreal and bofa securities, inc. share in the agreement that are not held by pnc capital markets llc","lead arranger, lead bookrunner",1,3,1,"Bank of Montreal and BofA Securities, Inc. share the following roles and subroles in the agreement that are not held by PNC Capital Markets LLC:

1. **Joint Lead Arrangers and Joint Bookrunners**  
   - Both Bank of Montreal and BofA Securities, Inc. are listed as Joint Lead Arrangers and Joint Bookrunners for the credit facilities established under the agreement.  
   - PNC Capital Markets LLC is also a Joint Lead Arranger and Joint Bookrunner, so this role is shared by all three entities.  

2. **Documentation Agents**  
   - Bank of Montreal is listed as a Documentation Agent.  
   - BofA Securities, Inc. is not explicitly listed as a Documentation Agent, but its affiliate, Bank of America, N.A., is a Documentation Agent.  
   - PNC Capital Markets LLC is not listed as a Documentation Agent, but its affiliate, PNC Bank, National Association, is a Documentation Agent.  

Thus, the key distinction is that **Bank of Montreal** (directly) and **Bank of America, N.A.** (affiliate of BofA Securities, Inc.) serve as **Documentation Agents**, while **PNC Capital Markets LLC** does not hold this role (though its affiliate, PNC Bank, National Association, does).  

In summary, the roles **not shared with PNC Capital Markets LLC** are:  
- **Bank of Montreal** as a **Documentation Agent**.  
- **Bank of America, N.A.** (affiliate of BofA Securities, Inc.) as a **Documentation Agent**.  

PNC Capital Markets LLC is only a **Joint Lead Arranger and Joint Bookrunner**, not a Documentation Agent."
