document_number,question,answer,num_hops,num_set_operations,multiple_answers,llm_response,f1_score,edit_distance,cosine_similarity,llm_as_a_judge
139,"who is the senior vice president but not chief financial officer, treasurer of the company where shivani agarwal is employed",jay a. brown,3,2,0,Shivani Agarwal,0.0,0.7333333333333333,0.0,1
139,who is the vice president but not authorized signatory of the company where eric ridgway is employed,michael king,3,2,0,Not found,0.0,0.9166666666666666,0.0,1
139,who is the vice president but not authorized signatory of the company where lennie blakeslee is employed,michael king,3,2,0,Not found,0.0,0.9166666666666666,0.0,1
139,who is the vice president but not authorized signatory of the company where michael vondriska is employed,michael king,3,2,0,Not found,0.0,0.9166666666666666,0.0,1
139,who is the vice president but not authorized signatory of the company where ronnie glenn is employed,michael king,3,2,0,Not found,0.0,0.9166666666666666,0.0,1
160,who is the authorized officer of the company which is the issuing bank but not the lead arrangers in the agreement,helen d. davis,3,2,0,Amanuel Assefa,0.0,0.9285714285714286,0.0,1
162,"who is the secretary but not chief compliance officer, general counsel, senior vice president of the company where michael j. niedermaier is employed",michael rasmuson,3,2,0,Michael J. Niedermaier,0.4,0.5714285714285714,0.33609692727625756,1
162,who is the secretary but not president of the company where michael rasmuson is employed,michael j. niedermaier,3,2,0,Michael Rasmuson,0.4,0.5714285714285714,0.33609692727625756,1
162,who is the secretary but not president of the company which is the guarantor in the agreement,michael j. niedermaier,3,2,0,Mark D. Andrews,0.0,0.7142857142857143,0.0,1
162,"who is the secretary but not chief compliance officer, general counsel, senior vice president of the company which is the guarantor in the agreement",michael rasmuson,3,2,0,Mark D. Andrews,0.0,0.8125,0.0,1
166,who is the head of loan syndications of the company which is the bookrunners but not the lead arrangers in the agreement,carl roberts,3,2,0,Carl Roberts,1.0,0.0,1.0000000000000002,5
166,who is the head of loan syndications of the company which is the lender but not the lead arrangers in the agreement,carl roberts,3,2,0,Carl Roberts,1.0,0.0,1.0000000000000002,5
166,who is the head of loan syndications of the company which is the lender but not the bookrunners in the agreement,carl roberts,3,2,0,Carl Roberts,1.0,0.0,1.0000000000000002,5
166,who is the assistant vice presiden of the company which is the lender but not the bookrunners in the agreement,mark pope,3,2,0,Mark Pope,1.0,0.0,1.0000000000000002,5
166,who is the svp credit administration of the company which is the lender but not the bookrunners in the agreement,r. srinivasa sekaran,3,2,0,R. Srinivasa Sekaran,1.0,0.0,1.0000000000000002,5
166,who is the general manager of the company which is the lender but not the bookrunners in the agreement,suguru hattori,3,2,0,Suguru Hattori,1.0,0.0,1.0000000000000002,5
166,who is the chief executive of the company which is the lender but not the lead arrangers in the agreement,rachit bhatia,3,2,0,Rachit Bhatia,1.0,0.0,1.0000000000000002,5
166,who is the head cbo of the company which is the lender but not the lead arrangers in the agreement,sandeep patnaik,3,2,0,Sandeep Patnaik,1.0,0.0,1.0000000000000002,5
166,who is the chief executive of the company which is the lender but not the bookrunners in the agreement,rachit bhatia,3,2,0,Rachit Bhatia,1.0,0.0,1.0000000000000002,5
166,who is the head cbo of the company which is the lender but not the bookrunners in the agreement,sandeep patnaik,3,2,0,Sandeep Patnaik,1.0,0.0,1.0000000000000002,5
166,who is the chief executive of the company which is the bookrunners but not the lead arrangers in the agreement,rachit bhatia,3,2,0,Rachit Bhatia,1.0,0.0,1.0000000000000002,5
166,who is the head cbo of the company which is the bookrunners but not the lead arrangers in the agreement,sandeep patnaik,3,2,0,Sandeep Patnaik,1.0,0.0,1.0000000000000002,5
166,who is the chief manager of the company which is the lender but not the lead arrangers in the agreement,sudip kumar ghatak,3,2,0,Sudip Kumar Ghatak,1.0,0.0,1.0000000000000002,5
166,who is the chief manager of the company which is the lender but not the bookrunners in the agreement,sudip kumar ghatak,3,2,0,Sudip Kumar Ghatak,1.0,0.0,1.0000000000000002,5
166,who is the chief manager of the company which is the bookrunners but not the lead arrangers in the agreement,sudip kumar ghatak,3,2,0,Not found,0.0,0.9444444444444444,0.0,1
165,who is the executive director of the company which is the lender but not the syndication agent in the agreement,tony young,3,2,0,Tony Young,1.0,0.0,1.0000000000000002,5
140,who is the director but not authorized signatory of the company where sean mckinley is employed,demetrios tserpelis,3,2,0,Sean McKinley,0.0,0.8421052631578947,0.0,1
140,who is the director but not authorized signatory of the company where tony traynor is employed,demetrios tserpelis,3,2,0,Tony Traynor,0.0,0.7894736842105263,0.0,1
155,who is the directors but not chief executive officer of the company where patrick foley is employed,michael pope,3,2,0,Patrick Foley,0.0,0.7692307692307693,0.0,1
155,"who is the directors but not chief financial officer, director, statutory director of the company where michael pope is employed",patrick foley,3,2,0,Not found,0.0,0.6923076923076923,0.0,1
169,who is the vice president of the company which is the lender but not the syndication agent in the agreement,jeff bliss,3,2,0,Not found,0.0,0.9,0.0,1
169,who is the executive director of the company which is the lender but not the syndication agent in the agreement,timothy j. devane,3,2,0,Not found,0.0,0.75,0.0,1
169,who is the vice president of the company which is the lender but not the documentation agent in the agreement,jeff bliss,3,2,0,Not found,0.0,0.9,0.0,1
169,who is the executive director of the company which is the lender but not the documentation agent in the agreement,timothy j. devane,3,2,0,Not found,0.0,0.75,0.0,1
169,who is the vice president of the company which is the lender but not the lead arranger in the agreement,jeff bliss,3,2,0,Not found,0.0,0.9,0.0,1
169,who is the executive director of the company which is the lender but not the lead arranger in the agreement,timothy j. devane,3,2,0,Not found,0.0,0.75,0.0,1
142,"who is the corporate secretary but not vice president, law of the company where jon a. dobson is employed",christine r. johnston,3,2,0,Jon A. Dobson,0.0,0.65,0.0,1
142,"who is the director, resources energy group of the company which is the lender but not the documentation agents in the agreement",jason lang,3,2,0,Not found,0.0,0.8,0.0,1
142,who is the executive director of the company which is the lender but not the administrative agent in the agreement,juan j. javellana,3,2,0,Not found,0.0,0.8125,0.0,1
156,"who is the director but not chief financial officer, executive vice president and chief financial officer of the company where guelay mese is employed",henk derksen,3,2,0,Guelay Mese,0.0,0.75,0.0,1
156,who is the executive director of the company which is the issuing bank but not the lende in the agreement,timothy lee,3,2,0,Not found,0.0,0.8181818181818182,0.0,1
147,who is the authorized signatory of the company which is the c issuer but not the lender in the agreement,thomas manning,3,2,0,Not found,0.0,0.7857142857142857,0.0,1
147,who is the managing director of the company which is the c issuer but not the lender in the agreement,raymond ventura,3,2,0,Not found,0.0,0.8,0.0,1
