document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
102,"Who are the Esq.s of the company associated with 695 Town Center Drive, 17th Floor Costa Mesa, CA 92626?","Adam Finerman, Katherine Bell",3,0,1
15,"Who are the Executive Directors of the company associated with 1285 Avenue of the AmericasNew York, New York 10019?","Jared Randall, Racquel A.C. Small",3,0,1
12,"Who are the Vice President, Global Treasurys of the company associated with 108 Wilmot RoadDeerfield, IL 60015?","Gr%C3%A1inne Kelly, John Devlin",3,0,1
89,"Who are the CFOs of the company associated with 6625 West 78th Street, Suite 300Minneapolis, MN 55439?","James Pekarek, Matthew McCabe",3,0,1
9,"Who are the Senior Vice Presidents of the company associated with 1011 Warrenville Road%09  %09  %09Suite 600%09  %09  %09Lisle, IL 60532?","Eric Searls, Jonathan M. Phillips, Mark E. Newman",3,0,1
9,"Who are the Senior Vice Presidents of the company associated with 500 Stanton Christiana Road, Ops 2, Floor 3%09  %09  %09Newark, Delaware 19713-2107?","Eric Searls, Jonathan M. Phillips, Mark E. Newman",3,0,1
41,"Who are the Senior Vice Presidents of the company associated with 100 Franklin StreetBoston, MA 02110?","Ann M. Meade, David Nussbaum, Deborah A. Colony, Marc J. Lubelczyk, Marina E. Grossi, Mitchell B. Feldman",3,0,1
83,"Who are the Vice Presidents of the company associated with 3355 Michelson DriveSuite 100Irvine, CA 92612?","Charles De Clapiers, Elizabeth Willi, Jeannette Lu, Johnetta Bush, Joseph Carrillo, Mark C. Skrzynski, Maureen P. Maroney, Rian DuBach, Richard J. Ameny Jr., Sandy Lee, Shibani Faehnle, Susan Takeda",3,0,1
54,"Who are the Managing Directors of the company associated with c%2Fo Blackstone Real Estate Advisors L.P., 345 Park Avenue, New York, New York 10154?","Chuckie Reddy, Jonathan Olsen",3,0,1
95,"Who are the Vice Presidents of the company associated with 100 N. Tryon StreetMail Code%3A NC1 -007-17-11Charlotte, NC 28255?","Angela Lau, Yinghua Zhang",3,0,1
95,"Who are the Vice Presidents of the company associated with 101 North Tryon StreetMail Code%3A NC1-001-04-39Charlotte, North Carolina 28255-0001?","Angela Lau, Yinghua Zhang",3,0,1
95,"Who are the Vice Presidents of the company associated with 1455 Market StreetMail Code%3A CA5-701-05-19San Francisco, California 94103-1399?","Angela Lau, Yinghua Zhang",3,0,1
156,"Who are the Its Authorized Signatorys of the company associated with 1800 Century Park East, Suite 1100 %09Los Angeles, CA 90067?","Brian Lane, Patricia Del Busto",3,0,1
156,Who are the Directors of the company associated with UK?,"Guelay Mese, Henk Derksen",3,0,1
84,"Who are the Vice Presidents of the company associated with 127 Public SquareCleveland, Ohio 44114-1306?","Bershunda J. Taylor, Christina P. Blackwell, John C. Rowland, Kirby R. Holman, Kristy Ahee, Laura Conway, Scott O%C2%92Connell",3,0,1
84,"Who are the Senior Vice Presidents of the company associated with 4500 Dorr StreetToledo, Ohio 43615-4040?","Brian Tuerff, James M. Armstrong, Michael A. Crabtree, Samuel A. Bluso",3,0,1
84,"Who are the Vice Presidents of the company associated with 4910 Tiedeman Rd.Mail Code%3A OH-01-51-0311Brooklyn, Ohio 44144?","Bershunda J. Taylor, Christina P. Blackwell, John C. Rowland, Kirby R. Holman, Kristy Ahee, Laura Conway, Scott O%C2%92Connell",3,0,1
52,"Who are the Managing Directors of the company associated with 301 South College St.Charlotte, NC 28288?","Barry Bergman, James Travagline",3,0,1
44,"Who are the Senior Vice Presidents of the company associated with NC1-026-06-03900 W. Trade St.Charlotte, NC 28255?","John M. Hall, Tiffany E. Gardner",3,0,1
44,"Who are the Senior Vice Presidents of the company associated with One Independence CenterMail Code%3A NC1-001-05-46Charlotte, NC 28255-0001?","John M. Hall, Tiffany E. Gardner",3,0,1
44,"Who are the Senior Vice Presidents of the company associated with PA6-580-02-301 Fleet WayScranton, PA 18507Attention%3A Alfonso Malave Jr.?","John M. Hall, Tiffany E. Gardner",3,0,1
79,"Who are the Directors of the company associated with 550 South Tryon Street, 6th FloorCharlotte, North Carolina 28202?","D. Bryan Gregory, Darlene Arias, Michael R Mellott",3,0,1
79,"Who are the Vice Presidents of the company associated with 1615 Brett Road, Ops IIINew Castle, DE 19720?","Casey Gehrig, Cheryl Snoor, Derek Chang, Helen H. Gateson, John C. Rowland, John R. Roach, Jr.",3,0,1
123,Who are the Authorized Signatorys of the company associated with Cayman Islands?,"Bill O%C2%92Daly, Julia Ivanova, Kelly Heimrich, Robert Ehudin",3,0,1
