document_number,f1_score,edit_distance,cosine_similarity,llm_as_a_judge,num_questions
9,0.46338383838383834,0.5166768416768417,0.44463857970762205,2.9285714285714284,42
17,0.823529411764706,0.9038461538461539,0.7060777744337089,5.0,2
25,0.6133333333333333,0.4454510259388308,0.6429094937430359,3.2,5
45,0.6818181818181818,0.2681818181818182,0.6818181818181819,3.727272727272727,22
47,0.4661518661518661,0.5105510455479029,0.4627155015100319,3.135135135135135,37
51,0.5567765567765568,0.4266618185735833,0.5377650558927143,3.0,13
57,0.4,0.6538461538461539,0.4494364165239822,3.0,21
60,0.300515636640268,0.7099261350056498,0.26074963127147566,2.284090909090909,88
61,0.4444444444444444,0.4902998236331569,0.44444444444444453,2.7777777777777777,9
65,0.11231884057971013,0.7839381769963155,0.11567297404939679,1.4130434782608696,46
66,0.35574525168717275,0.5830606351636409,0.3390614999468883,2.4050632911392404,79
82,0.48571428571428577,0.5816326530612245,0.4685528813637211,1.5714285714285714,7
84,0.4000000000000001,0.8571428571428571,0.4494364165239821,1.0,3
91,0.8222222222222222,0.27240948813982524,0.7769768415023048,5.0,5
106,0.5111111111111111,0.52,0.5264556138550427,3.1666666666666665,6
121,0.29166666666666663,0.6927884615384616,0.3222589845359849,1.75,4
135,0.32857142857142857,0.63507326007326,0.28018205013251785,2.3333333333333335,6
137,0.0,0.8276914142767801,0.0,1.0,5
139,0.4,0.5199999999999999,0.4000000000000001,2.6,5
140,0.21428571428571427,0.7452456140350877,0.21960485697338858,2.1666666666666665,6
142,0.26991869918699185,0.7036275896450562,0.2744185822231925,2.15,20
148,0.08451710544490454,0.8607839318737601,0.1940429687898088,1.9230769230769231,13
151,0.26153846153846155,0.6270479641131815,0.24405763011236598,2.0,5
153,0.16590809893977315,0.7580019856051751,0.1588848969110989,1.4615384615384615,13
156,0.53125,0.5312121629058888,0.484895137681145,3.125,8
160,0.7109788359788359,0.6983024009427014,0.6918885865303498,3.3333333333333335,6
161,0.923076923076923,0.5217391304347826,0.8917800317396427,4.0,1
162,0.5,0.39285714285714285,0.5000000000000001,3.0,2
164,0.714574898785425,0.6092228464419476,0.6823034583122063,3.6,5
165,0.9072415329768271,0.2085252840414688,0.8883241860484364,4.9,10
166,0.0,0.9380981408107284,0.0,1.0,2
169,0.3804347826086957,0.7834845735027223,0.38422382731937915,2.0,2
170,1.0,0.0,1.0000000000000002,5.0,1
