document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
117,What company is the Bookrunner but not the Borrower or Arranger in the agreement?,"BOFA SECURITIES, INC.",1,3,0
117,What company is the Bookrunner but not the Borrower or Administrative Agent in the agreement?,"BOFA SECURITIES, INC.",1,3,0
117,What company is the Bookrunner but not the Arranger or Administrative Agent in the agreement?,"BOFA SECURITIES, INC.",1,3,0
103,What company is the Agent but not the Lender or Borrower in the agreement?,CORTLAND CAPITAL MARKET SERVICES LLC,1,3,0
103,What company is the Agent but not the Lender or Guarantor in the agreement?,CORTLAND CAPITAL MARKET SERVICES LLC,1,3,0
103,What company is the Agent but not the Lender or Administrative Agent in the agreement?,CORTLAND CAPITAL MARKET SERVICES LLC,1,3,0
103,What company is the Agent but not the Lender or Borrowers in the agreement?,CORTLAND CAPITAL MARKET SERVICES LLC,1,3,0
103,What company is the Agent but not the Lender or Collateral Agent in the agreement?,CORTLAND CAPITAL MARKET SERVICES LLC,1,3,0
16,What company is the Lender but not the BORROWER or Term Agent in the agreement?,CRYSTAL FINANCIAL SPV LLC,1,3,0
101,What company is the LENDER but not the Runner or AGENT in the agreement?,LEGACYTEXAS BANK,1,3,0
101,What company is the LENDER but not the Runner or Agent in the agreement?,LEGACYTEXAS BANK,1,3,0
101,What company is the LENDER but not the Runner or L%2FC Issuer in the agreement?,LEGACYTEXAS BANK,1,3,0
101,What company is the LENDER but not the Runner or Arranger in the agreement?,LEGACYTEXAS BANK,1,3,0
101,What company is the LENDER but not the AGENT or Agent in the agreement?,LEGACYTEXAS BANK,1,3,0
101,What company is the LENDER but not the AGENT or L%2FC Issuer in the agreement?,LEGACYTEXAS BANK,1,3,0
101,What company is the LENDER but not the AGENT or Arranger in the agreement?,LEGACYTEXAS BANK,1,3,0
101,What company is the LENDER but not the Agent or L%2FC Issuer in the agreement?,LEGACYTEXAS BANK,1,3,0
101,What company is the LENDER but not the Agent or Arranger in the agreement?,LEGACYTEXAS BANK,1,3,0
101,What company is the LENDER but not the L%2FC Issuer or Arranger in the agreement?,LEGACYTEXAS BANK,1,3,0
29,What company is the Agent but not the Issuing Bank or Lender in the agreement?,"PNC Bank, National Association",1,3,0
29,What company is the Agent but not the administrative agent or agent in the agreement?,"PNC BANK, NATIONAL ASSOCIATION",1,3,0
29,What company is the Agent but not the administrative agent or administrative borrower in the agreement?,"PNC BANK, NATIONAL ASSOCIATION",1,3,0
29,What company is the Agent but not the agent or administrative borrower in the agreement?,"PNC BANK, NATIONAL ASSOCIATION",1,3,0
110,What company is the Arrangers but not the Bookrunners or Agent in the agreement?,BARCLAYS BANK PLC,1,3,0
138,What company is the Agent but not the Administrative Agent or Lender in the agreement?,"U.S. BANK, NATIONAL ASSOCIATION",1,3,0
138,What company is the Agent but not the Administrative Agent or Joint Lead Arrangers in the agreement?,"U.S. BANK, NATIONAL ASSOCIATION",1,3,0
138,What company is the Agent but not the Administrative Agent or Borrower in the agreement?,"U.S. BANK, NATIONAL ASSOCIATION",1,3,0
138,What company is the Agent but not the Administrative Agent or BORROWER in the agreement?,"U.S. BANK, NATIONAL ASSOCIATION",1,3,0
138,What company is the Agent but not the Administrative Agent or GUARANTORS in the agreement?,"U.S. BANK, NATIONAL ASSOCIATION",1,3,0
