Unnamed: 0,document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension,llm_response,multiple_answers,sum_values,f1_score,edit_distance,cosine_similarity,llm_as_a_judge
391,138,"who is the chief financial officer and secretary of rexford industrial realty, l.p.",adeel khan,2,1,0.0,"Adeel Khan is the Chief Financial Officer and Secretary of Rexford Industrial Realty, L.P.",0,3,0.25,0.8850574712643678,0.27894254532582513,1
0,139,what is the position held by michael king but not by michael vondriska or ronnie glenn,authorized signatory,1,3,0.0,"Michael King holds the position of Authorized Signatory, but Michael Vondriska and Ronnie Glenn do not hold that position.",0,4,0.21052631578947367,0.8333333333333334,0.21446694426009769,1
1,139,what is the position held by michael king but not by savo bozic or sheldon pinto,vice president,1,3,0.0,"Michael King holds the position of Authorized Signatory, but Savo Bozic and Sheldon Pinto do not hold that position.",0,4,0.0,0.8859649122807017,0.0,1
2,106,what is the position held by kirkwood roland but not by lana gifas or marcus m. tarkington,vice president,1,3,0.0,"Kirkwood Roland holds the position of Director & Vice President, which is not held by Lana Gifas or Marcus M. Tarkington.",0,4,0.17391304347826084,0.8813559322033898,0.23708718378440122,1
3,106,what is the position held by kirkwood roland but not by michael getz or vanessa a. kurbatskiy,director,1,3,0.0,"Kirkwood Roland holds the position of Director & Vice President, which is not held by Michael Getz or Vanessa A. Kurbatskiy.",0,4,0.0909090909090909,0.9338842975206612,0.1653943958584177,5
4,160,what is the position held by robert g. shaw but not by joseph siri or martin corrigan,managing director,1,3,0.0,Chief Financial Officer,0,4,0.0,0.782608695652174,0.0,1
5,61,what is the position held by jim cahow but not by liz cheng or marko lukin,director,1,3,0.0,"Jim Cahow holds the position of Director and Vice President, but this position is not held by Liz Cheng or Marko Lukin.",0,4,0.0909090909090909,0.9316239316239316,0.14675344736144216,5
7,82,what is the position held by david c. francisco but not by david m. crane or jennifer hwang,treasurer,1,3,0.0,"David C. Francisco holds the position of Vice President and Treasurer, but neither David M. Crane nor Jennifer Hwang hold the position of Vice President and Treasurer.",0,4,0.1,0.9447852760736196,0.22779207236839466,5
8,82,what is the position held by david c. francisco but not by david m. crane or john l. healy,treasurer,1,3,0.0,"David C. Francisco holds the position of Vice President and Treasurer, but neither David M. Crane nor John L. Healy hold the position of Vice President and Treasurer.",0,4,0.09523809523809523,0.9440993788819876,0.22779207236839466,5
9,82,what is the position held by david c. francisco but not by david m. crane or vanessa a. kurbatskiy,treasurer,1,3,0.0,"David C. Francisco holds the position of Vice President and Treasurer, but neither David M. Crane nor Vanessa A. Kurbatskiy hold the position of Vice President and Treasurer.",0,4,0.09523809523809523,0.9467455621301775,0.22779207236839466,5
