document_number,f1_score,edit_distance,cosine_similarity,llm_as_a_judge,num_questions
47,0.4166666666666667,0.586231884057971,0.43010699912007927,2.3333333333333335,3
60,0.1305578611244756,0.8571889671856116,0.09333682688237747,1.3380281690140845,71
61,0.0,0.8220779220779221,0.0,1.0,5
83,0.375,0.925,0.3750000000000001,2.5,8
84,0.0,0.9512820512820512,0.0,1.0,5
107,0.2024210357543691,0.7510582200813712,0.1917353432969362,2.0,6
121,0.0,0.817674772338085,0.06569729210330907,1.3,10
135,0.0,0.8114583333333334,0.0,1.0,12
139,0.0,0.8787878787878787,0.0,1.0,5
145,0.08380952380952382,0.7265499688724504,0.4524652655110611,2.8,5
153,0.0,0.9252336448598131,0.0,1.0,1
166,0.7333333333333333,0.22826210826210827,0.7333333333333335,3.933333333333333,15
