document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
17,What companies are the grantor but not the borrower and pledgor in the agreement?,"constellation dco albany power holdings llc, exelon avsr holding llc, solgen holding llc",1,3,1
110,What companies are the arrangers but not the bookrunners and agent in the agreement?,"barclays bank plc, merrill lynch pierce fenner and smith incorporated",1,3,1
138,What companies are the lender but not the agent and joint bookrunners in the agreement?,"capital one national association, pnc bank national association",1,3,1
111,What companies are the lender but not the administrative agent and co syndication agent in the agreement?,"barclays bank plc, hsbc bank bermuda limited, jpmorgan chase bank na, national australia bank limited, the bank of nova scotia",1,3,1
111,What companies are the lender but not the administrative agent and agent in the agreement?,"barclays bank plc, hsbc bank bermuda limited, jpmorgan chase bank na, national australia bank limited, the bank of nova scotia",1,3,1
38,What companies are the bookrunners but not the co documentation agents and lender in the agreement?,"citigroup global markets inc, jp morgan securities llc, merrill lynch pierce fenner and smith incorporated, wells fargo securities llc",1,3,1
38,What companies are the arranger but not the co documentation agents and lender in the agreement?,"citigroup global markets inc, jp morgan securities llc, merrill lynch pierce fenner and smith incorporated, wells fargo securities llc",1,3,1
112,What companies are the lender but not the administrative agent and bookrunners in the agreement?,"bank of america na, citizens bank na",1,3,1
106,What companies are the lenders but not the subordinated borrowers and borrower in the agreement?,"black mountain cogeninc, blue ridge generation llc, casco bay energy company llc, dynegy equipment llc, dynegy kendall energy llc, dynegy marketing and trade llc, dynegy morro bay llc, dynegy moss landing llc, dynegy oakland llc, dynegy power generation inc, dynegy south bay llc, ontelaunee power operating company llc, sithe energiesinc, sithe independence llc, sithe independence power partners lp",1,3,1
106,What companies are the bookrunner but not the arrangers and lender in the agreement?,"citigroup global marketsinc, ubs securities llc",1,3,1
106,What companies are the bookrunner but not the joint lead arrangers and joint lead arranger in the agreement?,"barclays bank plc, citigroup global marketsinc, deutsche bank securities inc, goldman sachs bank usa, rbc capital markets",1,3,1
106,What companies are the bookrunners but not the arrangers and lender in the agreement?,"citigroup global marketsinc, ubs securities llc",1,3,1
106,What companies are the bookrunners but not the joint lead arrangers and joint lead arranger in the agreement?,"barclays bank plc, citigroup global marketsinc, deutsche bank securities inc, goldman sachs bank usa, rbc capital markets",1,3,1
106,What companies are the lender but not the administrative agent and collateral trustee in the agreement?,"barclays bank plc, citibank na, deutsche bank trust company americas, goldman sachs bank usa, ubs ag stamford branch",1,3,1
161,What companies are the joint lead arrangers but not the co syndication agents and lender in the agreement?,"keybanc capital markets inc, truist securities inc",1,3,1
160,What companies are the joint lead arrangers but not the issuing bank and administrative agent in the agreement?,"bofa securities inc, morgan stanley senior funding inc",1,3,1
160,What companies are the joint bookrunners but not the issuing bank and administrative agent in the agreement?,"bofa securities inc, morgan stanley senior funding inc",1,3,1
77,What companies are the joint lead arrangers but not the co syndication agent and lender in the agreement?,"fenner and smith incorporated, jp morgan securities llc, suntrust robinson humphrey, wells fargo securities llc",1,3,1
77,What companies are the oint bookrunners but not the co syndication agent and lender in the agreement?,"fenner and smith incorporated, jp morgan securities llc, suntrust robinson humphrey, wells fargo securities llc",1,3,1
77,What companies are the lender but not the administrative agent and issuing bank in the agreement?,"bank of america, cadence bank, goldman sachs bank usa, hancock bank, mufg union bank, suntrust bank, us bank national association, wells fargo bank national association",1,3,1
76,What companies are the bookrunners but not the collateral agent and administrative agent in the agreement?,"deutsche bank securities inc, rbc capital markets, suntrust robinson humphrey inc, the bank of montreal, the bank of tokyo mitsubishi ufj ltd",1,3,1
76,What companies are the arrangers but not the collateral agent and administrative agent in the agreement?,"deutsche bank securities inc, rbc capital markets, suntrust robinson humphrey inc, the bank of montreal, the bank of tokyo mitsubishi ufj ltd",1,3,1
8,What companies are the arrangers but not the arranger and joint bookrunners in the agreement?,"fennerand smith incorporated, merrill lynch, pierce",1,3,1
8,What companies are the arrangers but not the arranger and joint bookrunner in the agreement?,"fennerand smith incorporated, merrill lynch, pierce",1,3,1
8,What companies are the arrangers but not the joint bookrunners and joint bookrunner in the agreement?,"fennerand smith incorporated, merrill lynch, pierce",1,3,1
99,What companies are the agent but not the bookrunners and arrangers in the agreement?,"bank of america na, regions bank, suntrust bank, the bank of tokyo mitsubishi ufj ltd, us bank national association, wells fargo bank national association",1,3,1
99,What companies are the agent but not the arrangers and joint bookrunners in the agreement?,"bank of america na, regions bank, suntrust bank, the bank of tokyo mitsubishi ufj ltd, us bank national association, wells fargo bank national association",1,3,1
99,What companies are the lender but not the administrative agent and bank in the agreement?,"avenue bank, bank of america, branch banking and trust company, coöperatieve centrale raiffeisen boerenleenbank ba rabobank, fifth third bank, first tennessee bank national association, greenstone farm credit services, pinnacle bank, pnc bank national association, regions bank, suntrust bank, synovus bank, the bank of tokyo mitsubishi ufj ltd, us bank national association",1,3,1
99,What companies are the lender but not the administrative agent and collateral agent in the agreement?,"avenue bank, bank of america, branch banking and trust company, coöperatieve centrale raiffeisen boerenleenbank ba rabobank, fifth third bank, first tennessee bank national association, greenstone farm credit services, pinnacle bank, pnc bank national association, regions bank, suntrust bank, synovus bank, the bank of tokyo mitsubishi ufj ltd, us bank national association",1,3,1
99,What companies are the lender but not the bank and collateral agent in the agreement?,"avenue bank, bank of america, branch banking and trust company, coöperatieve centrale raiffeisen boerenleenbank ba rabobank, fifth third bank, first tennessee bank national association, greenstone farm credit services, pinnacle bank, pnc bank national association, regions bank, suntrust bank, synovus bank, the bank of tokyo mitsubishi ufj ltd, us bank national association",1,3,1
166,What companies are the bookrunners but not the lender and lead arrangers in the agreement?,"citigroup global markets asia limited, ing bank nv singapore branch",1,3,1
166,What companies are the bookrunners but not the lender and collateral agent in the agreement?,"citigroup global markets asia limited, ing bank nv singapore branch",1,3,1
166,What companies are the bookrunners but not the lender and administrative agent in the agreement?,"citigroup global markets asia limited, ing bank nv singapore branch",1,3,1
166,What companies are the bookrunners but not the collateral agent and administrative agent in the agreement?,"australia and new zealand banking group limited, axis bank limited, bank of baroda, barclays bank plc, citigroup global markets asia limited, icici bank limited, ing bank nv singapore branch, kotak mahindra bank limited, state bank of india, the bank of tokyo mitsubishi ufj ltd",1,3,1
166,What companies are the lender but not the collateral agent and administrative agent in the agreement?,"australia and new zealand banking group limited, axis bank limited, bank of baroda, barclays bank plc, citibank na, icici bank limited, icici bank uk plc, ing bank nv, kotak mahindra bank limited, state bank of india, the bank of tokyo mitsubishi ufj ltd",1,3,1
73,What companies are the joint lead arrangers but not the administrative agent and swing line lender in the agreement?,"barclays bank plc, credit suisse securities usa llc, deutsche bank securities inc, suntrust robinson humphrey inc, wells fargo securities llc",1,3,1
73,What companies are the joint lead arrangers but not the administrative agent and collateral agent in the agreement?,"barclays bank plc, credit suisse securities usa llc, deutsche bank securities inc, suntrust robinson humphrey inc, wells fargo securities llc",1,3,1
73,What companies are the joint lead arrangers but not the administrative agent and l c issuer in the agreement?,"barclays bank plc, credit suisse securities usa llc, deutsche bank securities inc, suntrust robinson humphrey inc, wells fargo securities llc",1,3,1
73,What companies are the joint lead arrangers but not the swing line lender and collateral agent in the agreement?,"barclays bank plc, credit suisse securities usa llc, deutsche bank securities inc, suntrust robinson humphrey inc, wells fargo securities llc",1,3,1
73,What companies are the joint lead arrangers but not the swing line lender and l c issuer in the agreement?,"barclays bank plc, credit suisse securities usa llc, deutsche bank securities inc, suntrust robinson humphrey inc, wells fargo securities llc",1,3,1
73,What companies are the joint lead arrangers but not the collateral agent and l c issuer in the agreement?,"barclays bank plc, credit suisse securities usa llc, deutsche bank securities inc, suntrust robinson humphrey inc, wells fargo securities llc",1,3,1
73,What companies are the joint bookrunners but not the administrative agent and swing line lender in the agreement?,"barclays bank plc, credit suisse securities usa llc, deutsche bank securities inc, suntrust robinson humphrey inc, wells fargo securities llc",1,3,1
73,What companies are the joint bookrunners but not the administrative agent and collateral agent in the agreement?,"barclays bank plc, credit suisse securities usa llc, deutsche bank securities inc, suntrust robinson humphrey inc, wells fargo securities llc",1,3,1
73,What companies are the joint bookrunners but not the administrative agent and l c issuer in the agreement?,"barclays bank plc, credit suisse securities usa llc, deutsche bank securities inc, suntrust robinson humphrey inc, wells fargo securities llc",1,3,1
73,What companies are the joint bookrunners but not the swing line lender and collateral agent in the agreement?,"barclays bank plc, credit suisse securities usa llc, deutsche bank securities inc, suntrust robinson humphrey inc, wells fargo securities llc",1,3,1
73,What companies are the joint bookrunners but not the swing line lender and l c issuer in the agreement?,"barclays bank plc, credit suisse securities usa llc, deutsche bank securities inc, suntrust robinson humphrey inc, wells fargo securities llc",1,3,1
73,What companies are the joint bookrunners but not the collateral agent and l c issuer in the agreement?,"barclays bank plc, credit suisse securities usa llc, deutsche bank securities inc, suntrust robinson humphrey inc, wells fargo securities llc",1,3,1
9,What companies are the arrangers but not the lender and syndication agent in the agreement?,"jp morgan securities llc, rbs securities inc",1,3,1
9,What companies are the arrangers but not the lender and joint bookrunner in the agreement?,"jp morgan securities llc, rbs securities inc",1,3,1
9,What companies are the arrangers but not the syndication agent and joint bookrunner in the agreement?,"jp morgan securities llc, rbs securities inc",1,3,1
9,What companies are the arranger but not the lender and syndication agent in the agreement?,"jp morgan securities llc, rbs securities inc",1,3,1
9,What companies are the arranger but not the lender and joint bookrunner in the agreement?,"jp morgan securities llc, rbs securities inc",1,3,1
9,What companies are the arranger but not the syndication agent and joint bookrunner in the agreement?,"jp morgan securities llc, rbs securities inc",1,3,1
