Unnamed: 0,document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension,llm_response
0,17,"what is the role in the agreement of the company associated with exgen renewables iv, llc",borrower,2,0,0.0,Borrower
1,17,"what is the role in the agreement of the company associated with constellation dco albany power holdings, llc",grantor,2,0,0.0,Not found
2,17,"what is the role in the agreement of the company associated with exgen renewables iv holding, llc",holding,2,0,0.0,Holding
3,17,"what is the role in the agreement of the company associated with exelon avsr holding, llc",grantor,2,0,0.0,"Ladies and Gentlemen: Exelon AVSR Holding, LLC consents to the grant by the Grantor of a security interest in all of the Pledged Equity Interests constituting Collateral to the Collateral Agent and the terms of such grant set forth in the Pledge and Security Agreement, dated as of November 28, 2017, between ExGen Renewables IV, LLC, as Grantor and Wilmington Trust, National Association, as Collateral Agent (the “ Security Agreement ”; capitalized terms used herein are as defined in the Security Agreement)."
4,17,"what is the role in the agreement of the company associated with solgen holding, llc",grantor,2,0,0.0,guarantors
5,17,"what is the role in the agreement of the company associated with wilmington trust, national association","national associationagent, collateralwilmington trust",2,0,0.0,Collateral Agent and Depositary Bank
6,17,"what is the chief executive office office of exgen renewables holdings, llc","il 60603, 49th floorchicago, 10 south dearborn street",2,0,,"10 South Dearborn Street, 49 th Floor Chicago, IL 60603"
7,17,"what is the chief executive office office of exgen renewables iv holding, llc","il 60603, 49th floorchicago, 10 south dearborn street",2,0,,"10 South Dearborn Street, 49 th Floor Chicago, IL 60603"
886,60,what position does anthony galea hold,executive director,1,0,,Not found
887,60,what position does bernadette collins hold,senior vice president,1,0,,Not found
888,60,what position does caroline smith hold,assistant vice president,1,0,,Not found
889,60,what position does eric h. williams hold,senior vice president,1,0,,Not found
890,60,what position does greg strauss hold,director,1,0,,Not found
891,60,what position does harry yergey hold,managing director,1,0,,Not found
892,60,what position does jason rinne hold,director,1,0,,Not found
893,60,what position does joshua dearmon hold,senior vice president,1,0,,Not found
894,60,what position does laura dodd hold,vice president,1,0,,Vice President
895,60,what position does lukas coleman hold,vice president,1,0,,Not found
896,60,what position does michael maguire hold,managing director,1,0,,Managing Director
897,60,what position does michael s. barnett hold,senior vice president,1,0,,Not found
898,60,what position does oscar cortez hold,director,1,0,,Not found
899,60,what position does patrick hartweger hold,managing director,1,0,,Not found
900,60,what position does stephanie herndon hold,assistant vice president,1,0,,Not found
901,60,what position does susan m. olsen hold,vice president,1,0,,Not found
902,60,what position does thor o connell hold,vice president,1,0,,Not found
903,60,"what role do both bank of america, n.a. and bofa securities, inc. have in the agreement",,1,1,0.0,Not found
904,60,"what role do both bank of america, n.a. and citibank, n.a. have in the agreement",,1,1,0.0,Not found
905,60,"what role do both bank of america, n.a. and jpmorgan chase bank, n.a. have in the agreement",,1,1,0.0,Not found
906,60,"what role do both bank of america, n.a. and mufg bank, ltd. have in the agreement",,1,1,0.0,"BANK OF AMERICA, N.A., as Documentation Agents
MUFG BANK, LTD., as Syndication Agent
CITIBANK, N.A., MUFG BANK, LTD., BOFA SECURITIES, INC., BANK OF MONTREAL, THE BANK OF NOVA SCOTIA, CAPITAL ONE, NATIONAL ASSOCIATION, JPMORGAN CHASE BANK, N.A., MIZUHO BANK, LTD., PNC CAPITAL MARKETS LLC, U.S. BANK NATIONAL ASSOCIATION and WELLS FARGO SECURITIES, LLC, as Joint Lead Arrangers and Joint Bookrunners"
907,60,"what role do both bank of america, n.a. and pnc capital markets llc have in the agreement",,1,1,0.0,"BANK OF AMERICA, N.A., as Documentation Agents
PNC CAPITAL MARKETS LLC, as Joint Lead Arrangers and Joint Bookrunners"
