document_number,question,answer,num_hops,num_set_operations,multiple_answers,llm_response,f1_score,edit_distance,cosine_similarity,llm_as_a_judge
17,"what is the location of exgen renewables holdings, llc","il 60603, 49th floorchicago, 10 south dearborn street",1,0,0,Not found,0.0,0.8823529411764706,0.0,1
17,"what is the location of exgen renewables iv, llc","md 21231, 1310 point street, 12th floorbaltimore",1,0,0,Not found,0.0,0.8913043478260869,0.0,1
17,"what is the location of exgen renewables iv holding, llc","il 60603, 49th floorchicago, 10 south dearborn street",1,0,0,Not found,0.0,0.8823529411764706,0.0,1
17,"what is the location of exelon generation company, llc","dc 20068, 701 ninth street nw, 9th floorwashington",1,0,0,"Baltimore, MD 21231",0.0,0.8958333333333334,0.0,1
17,"what is the location of morgan stanley senior funding, inc.","md 21231, 1300 thames street, 4th floorthames street wharfbaltimore",1,0,0,Not found,0.0,0.9384615384615385,0.0,1
17,what is the location of simpson thacher bartlett llp,"new york, 425 lexington avenue",1,0,0,Not found,0.0,0.8275862068965517,0.0,1
17,"what is the location of wilmington trust, national association",1100 north market streetwilmington delaware 19890,1,0,0,Not found,0.0,0.8775510204081632,0.0,1
17,which company is associated with 1100 north market streetwilmington delaware 19890,"wilmington trust, national association",1,0,0,"Wilmington Trust, National Association",1.0,0.0,1.0,5
17,"which company is associated with 1300 thames street, 4th floorthames street wharfbaltimore, md 21231","inc., morgan stanley senior funding",1,0,0,"Exelon Generation Company, LLC",0.0,0.8484848484848485,0.0,1
17,"which company is associated with 1310 point street, 12th floorbaltimore, md 21231","llc, exgen renewables iv",1,0,0,Not found,0.0,0.9130434782608695,0.0,1
17,"which company is associated with 425 lexington avenue, new york, new york 10017",simpson thacher bartlett llp,1,0,0,"Morgan Stanley Senior Funding, Inc.",0.0,0.8181818181818182,0.0,1
17,"which company is associated with 701 ninth street nw, 9th floorwashington, dc 20068","llc, exelon generation company",1,0,0,"Exelon Generation Company, LLC",1.0,0.27586206896551724,1.0,5
17,"what type of location is 10 south dearborn street, 49th floorchicago, il 60603",chief executive office,1,0,0,Chief executive office / principal place of business,0.5454545454545454,0.5769230769230769,0.5245910904457137,4
17,"what is the role of exgen renewables iv, llc in the agreement",borrower,1,0,0,Borrower,1.0,0.0,1.0,5
17,"what is the role of constellation dco albany power holdings, llc in the agreement",grantor,1,0,0,"Project entity (Albany Power Holdings, LLC) partially owned by the Borrower; not a party to the agreement",0.0,0.9326923076923077,0.0,1
17,"what is the role of exgen renewables iv holding, llc in the agreement",holding,1,0,0,Holding,1.0,0.0,1.0,5
17,"what is the role of exelon avsr holding, llc in the agreement",grantor,1,0,0,"Project entity (Exelon AVSR Holding, LLC) owned by the Borrower; not a party to the agreement",0.0,0.9347826086956522,0.0,1
17,"what is the role of solgen holding, llc in the agreement",grantor,1,0,0,"Project entity (SolGen Holding, LLC) owned by the Borrower; not a party to the agreement",0.0,0.9310344827586207,0.0,1
17,"what is the role of wilmington trust, national association in the agreement","national associationagent, collateralwilmington trust",1,0,0,Collateral Agent and Depositary Bank,0.0,0.75,0.0,2
17,what company is the borrower in the agreement,"llc, exgen renewables iv",1,0,0,"EXGEN RENEWABLES IV, LLC",1.0,0.34782608695652173,1.0,5
17,what company is the holding in the agreement,"llc, exgen renewables iv holding",1,0,0,"EXGEN RENEWABLES IV HOLDING, LLC",1.0,0.25806451612903225,1.0000000000000002,4
17,what company is the lead arranger in the agreement,"inc., morgan stanley senior funding",1,0,0,Not found,0.0,0.7575757575757576,0.0,1
17,what company is the lead bookrunner in the agreement,"inc., morgan stanley senior funding",1,0,0,Not found,0.0,0.7575757575757576,0.0,1
17,what company is the documentation agent in the agreement,"inc., morgan stanley senior funding",1,0,0,Not found,0.0,0.7575757575757576,0.0,1
17,"what company is the syndication agent, in the agreement","inc., morgan stanley senior funding",1,0,0,Not found,0.0,0.7575757575757576,0.0,1
17,what company is the collateral agent in the agreement,"wilmington trust, national association",1,0,0,"Wilmington Trust, National Association",1.0,0.0,1.0,5
17,what company is the depositary bank in the agreement,"wilmington trust, national association",1,0,0,"Wilmington Trust, National Association",1.0,0.0,1.0,5
17,what company is the pledgor in the agreement,"llc, exgen renewables iv",1,0,0,"Morgan Stanley Senior Funding, Inc.",0.0,0.7878787878787878,0.0,1
17,"what company is the collateralwilmington trust, national associationagent in the agreement","wilmington trust, national association",1,0,0,"Wilmington Trust, National Association",1.0,0.0,1.0,5
102,what is the position of adam finerman,esq.,1,0,0,Attorney (Esq.),0.0,0.7857142857142857,0.5797386715376658,3
102,what is the position of katherine bell,esq.,1,0,0,Attorney (Esq.),0.0,0.7857142857142857,0.5797386715376658,3
102,what is the position of kathy r. plisko,authorized signatory,1,0,0,Authorized Signatory,1.0,0.0,1.0000000000000002,5
102,in what organization does adam finerman work,paul hastings llp,1,0,0,Olshan Frome Wolosky LLP,0.28571428571428575,0.75,0.1707761131901165,1
102,in what organization does jeffry r. keyes work,digirad corporation,1,0,0,Digirad Corporation,1.0,0.0,1.0000000000000002,5
102,in what organization does katherine bell work,paul hastings llp,1,0,0,Paul Hastings LLP,1.0,0.0,1.0000000000000002,5
102,in what organization does kathy r. plisko work,"wells fargo bank, national association",1,0,0,"Wells Fargo Bank, National Association",1.0,0.0,1.0000000000000002,5
102,who is the representative of digirad corporation,jeffry r. keyes,1,0,0,"Jeffry R. Keyes, Chief Financial Officer of Digirad Corporation",0.5,0.7704918032786885,0.3799783615910079,4
102,"who is the representative of wells fargo bank, national association",kathy r. plisko,1,0,0,"Kathy R. Plisko, Authorized Signatory of Wells Fargo Bank, National Association",0.42857142857142855,0.8157894736842105,0.3351757433279261,1
102,what is the location of olshan frome wolosky llp,"ny 10022, 65 east 55th street new york",1,0,0,"65 East 55th Street, New York, NY 10022",1.0,0.4864864864864865,1.0000000000000002,5
102,what is the location of digirad corporation,"ga 30024, suite e suwanee, 1048 industrial court",1,0,0,"1048 Industrial Court, Suite E, Suwanee, GA 30024",1.0,0.8260869565217391,1.0000000000000004,5
102,"what is the location of wells fargo bank, national association","ca 90404, 2450 colorado avenue, suite 3000 westsanta monica",1,0,0,"2450 Colorado Avenue, Suite 3000, West Santa Monica, CA 90404",0.8421052631578948,0.3275862068965517,0.7327068970668787,5
102,what is the location of paul hastings llp,"ca 92626, 695 town center drive, 17th floor costa mesa",1,0,0,"695 Town Center Drive, 17th Floor, Costa Mesa, CA 92626",1.0,0.34615384615384615,1.0000000000000007,5
102,"which company is associated with 1048 industrial court, suite e suwanee, ga 30024",digirad corporation,1,0,0,Digirad Corporation (Loan Parties),0.6666666666666666,0.4411764705882353,0.5797386715376658,4
102,"which company is associated with 2450 colorado avenue, suite 3000 westsanta monica, ca 90404","wells fargo bank, national association",1,0,0,"Wells Fargo Bank, National Association",1.0,0.0,1.0000000000000002,5
102,"which company is associated with 65 east 55th street new york, ny 10022",olshan frome wolosky llp,1,0,0,Olshan Frome Wolosky LLP,1.0,0.0,1.0,5
102,"which company is associated with 695 town center drive, 17th floor costa mesa, ca 92626",paul hastings llp,1,0,0,Paul Hastings LLP,1.0,0.0,1.0000000000000002,5
102,"what is the role of digirad imaging solutions, inc. in the agreement",borrowers,1,0,0,Borrower (one of the subsidiaries of Digirad Corporation),0.0,0.8421052631578947,0.0,1
102,"what is the role of dms health technologies, inc. in the agreement",borrowers,1,0,0,Borrower (one of the subsidiaries of Digirad Corporation),0.0,0.8421052631578947,0.0,1
