document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
116,Who is the COO of the company where Venu Rathi is employed?,Orit Mizrachi,3,0,0
116,Who is the CFO of the company where Orit Mizrachi is employed?,Venu Rathi,3,0,0
116,Who is the Managing Director of the company where Erica Knight is employed?,Nicholas Jordan,3,0,0
116,Who is the Managing Director of the company where Nick Jordan is employed?,Nicholas Jordan,3,0,0
115,Who is the Assistant Secretary of the company where Jennifer M. Neil is employed?,Melanie Housey Hart,3,0,0
115,Who is the Chief Accounting Officer of the company where Jennifer M. Neil is employed?,Melanie Housey Hart,3,0,0
115,Who is the President of the company where Jennifer M. Neil is employed?,Melanie Housey Hart,3,0,0
115,Who is the Treasurer of the company where Jennifer M. Neil is employed?,Melanie Housey Hart,3,0,0
115,Who is the Chief Legal Officer of the company where Melanie Housey Hart is employed?,Jennifer M. Neil,3,0,0
115,Who is the Vice President of the company where Melanie Housey Hart is employed?,Jennifer M. Neil,3,0,0
128,Who is the Market Manager of the company where Mario De Luca is employed?,Leni Preciado,3,0,0
128,Who is the Market Manager of the company where Gill Skala is employed?,Leni Preciado,3,0,0
11,Who is the Treasurer of the company where Carolyn Kee is employed?,John J. Tus,3,0,0
11,Who is the Treasurer of the company where Virginia Cosenza is employed?,John J. Tus,3,0,0
110,Who is the Associate Director of the company where Brendan Heneghan is employed?,Houssem Daly,3,0,0
110,Who is the Associate Director of the company where Sydney G. Dennis is employed?,Houssem Daly,3,0,0
110,Who is the Associate Director of the company where David L. Berger is employed?,Houssem Daly,3,0,0
110,Who is the Associate Director of the company where Alia Qaddumi is employed?,Houssem Daly,3,0,0
110,Who is the Associate Director of the company where Alan Dawson is employed?,Houssem Daly,3,0,0
110,Who is the Associate Director of the company where Kenneth Chin is employed?,Houssem Daly,3,0,0
104,Who is the Chief Financial Officer of the company where David R. Wiedwald is employed?,Andre S. Valentine,3,0,0
104,Who is the Treasurer of the company where Andre S. Valentine is employed?,David R. Wiedwald,3,0,0
139,Who is the Chief Financial Officer of the company where Shivani Agarwal is employed?,Jay A. Brown,3,0,0
139,Who is the Treasurer of the company where Shivani Agarwal is employed?,Jay A. Brown,3,0,0
139,Who is the Authorized Signatory of the company where Michael Vondriska is employed?,Michael King,3,0,0
139,Who is the Authorized Signatory of the company where Eric Ridgway is employed?,Michael King,3,0,0
139,Who is the Authorized Signatory of the company where Lennie Blakeslee is employed?,Michael King,3,0,0
139,Who is the Authorized Signatory of the company where Ronnie Glenn is employed?,Michael King,3,0,0
111,Who is the Head of Corporate Banking of the company where Louise Twiss West is employed?,Neville Grant,3,0,0
111,Who is the Head of Financial Institutions Group of the company where Neville Grant is employed?,Louise Twiss West,3,0,0
10,Who is the Authorized Signatory of the company where Susan Khokher is employed?,Alex Figueroa,3,0,0
10,"Who is the Manager, Agency of the company where Alex Figueroa is employed?",Susan Khokher,3,0,0
38,Who is the Associate Director of the company where Diego Medina is employed?,Houssem Daly,3,0,0
38,Who is the Associate Director of the company where Sriram Chandrasekaran is employed?,Houssem Daly,3,0,0
38,Who is the Associate Director of the company where Sherwin Brandford is employed?,Houssem Daly,3,0,0
38,Who is the Associate Director of the company where J. Frazell is employed?,Houssem Daly,3,0,0
38,Who is the Associate Director of the company where Kenneth Chin is employed?,Houssem Daly,3,0,0
12,Who is the Relationship Manager of the company where Francesco Di Mario is employed?,Lorenzo Rodino,3,0,0
12,Who is the FVP %C2%96 Head of Credit of the company where Lorenzo Rodino is employed?,Francesco Di Mario,3,0,0
12,Who is the Global Treasurer of the company where Sara La Berg is employed?,Aidan Clare,3,0,0
12,Who is the Senior Vice President of the company where Sara La Berg is employed?,Aidan Clare,3,0,0
12,"Who is the Executive Vice President, of the company where Sara La Berg is employed?",Marco Pagni%3B,3,0,0
12,Who is the General Counsel of the company where Sara La Berg is employed?,Marco Pagni%3B,3,0,0
12,Who is the Global Chief Administrative Officer of the company where Sara La Berg is employed?,Marco Pagni%3B,3,0,0
12,Who is the Global Treasurer of the company where John Devlin is employed?,Aidan Clare,3,0,0
12,Who is the Senior Vice President of the company where John Devlin is employed?,Aidan Clare,3,0,0
12,"Who is the Executive Vice President, of the company where John Devlin is employed?",Marco Pagni%3B,3,0,0
12,Who is the General Counsel of the company where John Devlin is employed?,Marco Pagni%3B,3,0,0
12,Who is the Global Chief Administrative Officer of the company where John Devlin is employed?,Marco Pagni%3B,3,0,0
12,"Who is the Senior Manager, Global Treasury of the company where John Devlin is employed?",Sara La Berg,3,0,0
12,"Who is the Executive Vice President, of the company where Aidan Clare is employed?",Marco Pagni%3B,3,0,0
12,Who is the General Counsel of the company where Aidan Clare is employed?,Marco Pagni%3B,3,0,0
12,Who is the Global Chief Administrative Officer of the company where Aidan Clare is employed?,Marco Pagni%3B,3,0,0
12,"Who is the Senior Manager, Global Treasury of the company where Aidan Clare is employed?",Sara La Berg,3,0,0
12,Who is the Global Treasurer of the company where Marco Pagni%3B is employed?,Aidan Clare,3,0,0
12,Who is the Senior Vice President of the company where Marco Pagni%3B is employed?,Aidan Clare,3,0,0
