document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
128,"What roles do both BofA Securities, Inc. and JPMorgan Chase Bank, N.A. have in the agreement?","arranger, book manager, book runner, bookrunner, bookrunners, lead arranger",1,1,1
38,What roles do both Citigroup Global Markets Inc. and J.P. Morgan Securities LLC have in the agreement?,"arranger, book manager, book runner, bookrunner, bookrunners, lead arranger",1,1,1
38,"What roles do both Citigroup Global Markets Inc. and Merrill Lynch, Pierce, Fenner %26 Smith Incorporated have in the agreement?","arranger, book manager, book runner, bookrunner, bookrunners, lead arranger",1,1,1
38,"What roles do both Citigroup Global Markets Inc. and Mizuho Bank, Ltd. have in the agreement?","arranger, book manager, book runner, bookrunner, bookrunners, lead arranger",1,1,1
38,"What roles do both Citigroup Global Markets Inc. and The Bank of Tokyo-Mitsubishi UFJ, Ltd. have in the agreement?","arranger, book manager, book runner, bookrunner, bookrunners, lead arranger",1,1,1
38,What roles do both Citigroup Global Markets Inc. and Wells Fargo Securities LLC have in the agreement?,"arranger, book manager, book runner, bookrunner, bookrunners, lead arranger",1,1,1
38,"What roles do both J.P. Morgan Securities LLC and Merrill Lynch, Pierce, Fenner %26 Smith Incorporated have in the agreement?","arranger, book manager, book runner, bookrunner, bookrunners, lead arranger",1,1,1
38,"What roles do both J.P. Morgan Securities LLC and Mizuho Bank, Ltd. have in the agreement?","arranger, book manager, book runner, bookrunner, bookrunners, lead arranger",1,1,1
38,"What roles do both J.P. Morgan Securities LLC and The Bank of Tokyo-Mitsubishi UFJ, Ltd. have in the agreement?","arranger, book manager, book runner, bookrunner, bookrunners, lead arranger",1,1,1
38,What roles do both J.P. Morgan Securities LLC and Wells Fargo Securities LLC have in the agreement?,"arranger, book manager, book runner, bookrunner, bookrunners, lead arranger",1,1,1
38,"What roles do both Merrill Lynch, Pierce, Fenner %26 Smith Incorporated and Mizuho Bank, Ltd. have in the agreement?","arranger, book manager, book runner, bookrunner, bookrunners, lead arranger",1,1,1
38,"What roles do both Merrill Lynch, Pierce, Fenner %26 Smith Incorporated and The Bank of Tokyo-Mitsubishi UFJ, Ltd. have in the agreement?","arranger, book manager, book runner, bookrunner, bookrunners, lead arranger",1,1,1
38,"What roles do both Merrill Lynch, Pierce, Fenner %26 Smith Incorporated and Wells Fargo Securities LLC have in the agreement?","arranger, book manager, book runner, bookrunner, bookrunners, lead arranger",1,1,1
38,"What roles do both Mizuho Bank, Ltd. and The Bank of Tokyo-Mitsubishi UFJ, Ltd. have in the agreement?","arranger, book manager, book runner, bookrunner, bookrunners, lead arranger",1,1,1
38,"What roles do both Mizuho Bank, Ltd. and Wells Fargo Securities LLC have in the agreement?","arranger, book manager, book runner, bookrunner, bookrunners, lead arranger",1,1,1
38,"What roles do both The Bank of Tokyo-Mitsubishi UFJ, Ltd. and Wells Fargo Securities LLC have in the agreement?","arranger, book manager, book runner, bookrunner, bookrunners, lead arranger",1,1,1
107,What roles do both Barclays Bank PLC and Global Markets Inc. have in the agreement?,"agent, borrower, trustee",1,1,1
107,"What roles do both Barclays Bank PLC and Wells Fargo Foothill, Inc have in the agreement?","agent, borrower, trustee",1,1,1
107,What roles do both Barclays Capital and Citigroup Global Markets Inc. have in the agreement?,"arranger, arrangers, book manager, book runner, bookrunner, bookrunners, lead arranger",1,1,1
107,What roles do both Barclays Capital and J.P. Morgan Securities Inc. have in the agreement?,"arranger, arrangers, book manager, book runner, bookrunner, bookrunners, lead arranger",1,1,1
107,"What roles do both Barclays Capital and Wells Fargo Foothill, Inc. have in the agreement?","arranger, arrangers, book manager, book runner, bookrunner, bookrunners, lead arranger",1,1,1
107,What roles do both Citigroup Global Markets Inc. and J.P. Morgan Securities Inc. have in the agreement?,"arranger, arrangers, book manager, book runner, bookrunner, bookrunners, lead arranger",1,1,1
