document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
102,"Who is both the Chief Financial Officer and President of the company associated with 1048 Industrial Court, Suite E Suwanee, GA 30024?",Jeffry R. Keyes,3,1,0
28,"Who is both the CEO and Managing Member of the company associated with Cayman Corporate Centre, 27 Hospital Road,George Town, Grand Cayman KY1-9008?",Pedro Gonzalez de Cosio,3,1,0
28,"Who is both the CEO and Managing Member of the company associated with 110 East 59th Street, %233300 %09New York, NY 10022?",Pedro Gonzalez de Cosio,3,1,0
28,"Who is both the CEO and Managing Member of the company associated with 110 East 59th Street, %233300New York, NY 10022?",Pedro Gonzalez de Cosio,3,1,0
100,"Who is both the Chief Legal and Administrative Officer and Vice President of the company associated with 590 E. Middlefield RoadMountain View, CA 94043-4008?",Dan Johnston,3,1,0
10,"Who is both the Chief Financial Officer and Treasuruer of the company associated with 4900 Tiedeman Road 4th FloorBrooklyn, OH 44144?",Terence F. Sullivan,3,1,0
12,"Who is both the Global Treasurer and Senior Vice President of the company associated with 108 Wilmot RoadDeerfield, IL 60015?",Aidan Clare,3,1,0
88,"Who is both the Chief Financial Officer and President of the company associated with 6922 Hollywood Blvd., Suite 500Los Angeles, CA 90028?",R. Scott Turicchi,3,1,0
72,"Who is both the Treasurer and Vice President of the company associated with 1000 Stanley DriveNew Britain, Connecticut 06053?",Craig A. Douglas,3,1,0
165,"Who is both the Corporate Secretary and General Counsel of the company associated with 222 Merchandise Mart Plaza, Suite 1300Chicago, IL 60654?",Colleen Batcheler,3,1,0
82,Who is both the Treasurer and Vice President of the company associated with 04-2052042?,David C. Francisco,3,1,0
168,"Who is both the Treasurer and Vice President of the company associated with 1000 Stanley DriveNew Britain, Connecticut 06053?",Robert T. Paternostro,3,1,0
54,"Who is both the Managing Director and Senior Vice President of the company associated with c%2Fo Blackstone Real Estate Advisors L.P., 345 Park Avenue, New York, New York 10154?",Jonathan Olsen,3,1,0
156,Who is both the Chief Financial Officer and Vice President of the company associated with U.S.?,Henk Derksen,3,1,0
91,"Who is both the Chief Executive Officer and President of the company associated with 633 17th Street, Suite 1900Denver, Colorado 80202-3619?",Ray Singleton,3,1,0
52,"Who is both the Treasurer and Vice President of Tax of the company associated with 1221 Broadway     %09Oakland, California 94612?",Charles R. Conradi,3,1,0
51,"Who is both the Treasurer and Vice President, Finance of the company associated with 717 Texas Avenue Suite 1000 Houston, TX 77002?",Zamir Rauf,3,1,0
35,"Who is both the Chief Financial Officer and Senior Vice President of the company associated with 1185 Avenue of the AmericasNew York, New York 10036?",John P. Rielly,3,1,0
35,"Who is both the General Counsel and Senior Vice President of the company associated with 1185 Avenue of the AmericasNew York, New York 10036?",Timothy B. Goodell,3,1,0
