document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
102,Who are the Esq.s of PAUL HASTINGS LLP?,"Adam Finerman, Katherine Bell",2,0,1
117,"Who are the Senior Vice Presidents of HSBC BANK USA, NATIONAL ASSOCIATION?","Chris Burns, Dawn Mace Moore, Michael Snook",2,0,1
103,Who are the Directors of CLAIRE%C2%92S FASHION PROPERTY CORP.?,"Scott Huckins, Stephen Sernett, Stuart Brown",2,0,1
115,Who are the Secretarys of POOL CORPORATION?,"Jennifer M. Neil, Melanie Housey Hart",2,0,1
128,"Who are the Vice Presidents of JPMORGAN CHASE BANK, N.A.?","Derek Jensen, Ryan Zimmerman",2,0,1
128,Who are the Directors of Barclays Bank PLC?,"Gill Skala, Leni Preciado, Mario De Luca",2,0,1
15,Who are the Executive Directors of UBS AG?,"Jared Randall, Racquel A.C. Small",2,0,1
11,"Who are the Directors of BANK OF AMERICA, N.A.?","Craig Malloy, Mukesh Singh",2,0,1
11,Who are the Vice Presidents of HONEYWELL INTERNATIONAL INC.?,"Carolyn Kee, John J. Tus, Virginia Cosenza",2,0,1
110,Who are the Managing Directors of The Huntington National Bank?,"Stephen Hoffman, Yann Pirio",2,0,1
110,"Who are the Vice Presidents of CITIBANK, N.A.?","Michael Zeller, Nathan Starr, Traci Bankston",2,0,1
110,"Who are the Authorized Signatorys of The Toronto-Dominion Bank, New York Branch?","Annie Dorval, Jason S. York, Josh Rosenthal",2,0,1
110,"Who are the Directors of UBS AG, Stamford Branch?","Alan Dawson, Alia Qaddumi, Brendan Heneghan, David L. Berger, Kenneth Chin, Sydney G. Dennis",2,0,1
104,"Who are the Managing Directors of COBANK, ACB?","Diane Emanuel, Ted Koerner",2,0,1
104,"Who are the Directors of WELLS FARGO BANK, NATIONAL ASSOCIATION?","Kyle R. Holtz, Lillian Kim",2,0,1
104,Who are the Vice Presidents of THE HUNTINGTON NATIONAL BANK?,"Jeffrey P. Fisher, John Di Legge, Mark Irey, Michael Vondriska, Robert Kling, Sherlyn Nelson",2,0,1
138,Who are the Senior Vice Presidents of CAPITAL ONE NATIONAL ASSOCIATION?,"Frederick H. Denecke, Nicolas Zitelli",2,0,1
139,Who are the Senior Vice Presidents of Crown Castle International Corp.?,"Jay A. Brown, Shivani Agarwal",2,0,1
139,"Who are the Managing Directors of Citizens Bank, N.A?","David Clark, David W. Kee, Tanya Crossley",2,0,1
139,"Who are the Authorized Signatorys of Morgan Stanley Bank, N.A.?","Bertram H. Tang, Savo Bozic, Sheldon Pinto",2,0,1
139,"Who are the Vice Presidents of Morgan Stanley Senior Funding, Inc.?","Eric Ridgway, Lennie Blakeslee, Michael King, Michael Vondriska, Ronnie Glenn",2,0,1
139,"Who are the Directors of Wells Fargo Bank, N.A.?","Cynthia W. Burton, Kestrina Budina, Linda Tam, Ola Anderssen, Peter C. Rogers",2,0,1
111,Who are the Chief Financial Officers of ENSTAR %28US%29 INC?,"Guy Bowker, Jennifer Miu",2,0,1
111,Who are the Directors of THE BANK OF NOVA SCOTIA?,"Bill Seabrook, Clive Paul Thomas, Doug Kennedy, Duncan Scott, Kevin Chan",2,0,1
10,"Who are the Vice Presidents of JPMorgan Chase Bank, N.A.,?","Kenise Henry Larmond, Michael King, Shane M. Leary",2,0,1
38,Who are the Managing Directors of SUMITOMO MITSUI BANKING CORPORATION?,"David Kee, Dennis Petito, Michael Willis, Ross Levitsky",2,0,1
38,"Who are the Authorized Signatorys of Morgan Stanley Bank, N.A.?","Donna DeMagistris, Michael King, Nupur Kumar, Rebecca Kratz, Stefan Dickenmann",2,0,1
38,Who are the Directors of UBS AG?,"Diego Medina, J. Frazell, Kenneth Chin, Sherwin Brandford, Sriram Chandrasekaran",2,0,1
38,Who are the Vice Presidents of THE BANK OF NEW YORK MELLON?,"Hussam S. Alsahlani, Jamie Grubb, Kenneth Phelan, Maureen Maroney, Ming K. Chu, Vanessa Kurbatskiy",2,0,1
12,"Who are the Authorized Signatorys of THE TORONTO-DOMINION BANK, NEW YORK BRANCH,?","Linh Dang, Tracy Rahn",2,0,1
12,"Who are the Directors of UNICREDIT BANK AG, NEW YORK BRANCH,?","J. Casey Cosgrove, Jack Lonker, Thilo Huber",2,0,1
12,"Who are the Managing Directors of UNICREDIT BANK AG, NEW YORK BRANCH,?","Luca Balestra, Thomas Foley",2,0,1
12,"Who are the Vice President, Global Treasurys of WALGREENS BOOTS ALLIANCE, INC.?","Gr%C3%A1inne Kelly, John Devlin",2,0,1
106,"Who are the Directors of CITIBANK, N.A.?","Lana Gifas, Marcus M. Tarkington",2,0,1
106,Who are the Vice Presidents of BARCLAYS BANK PLC?,"Kirkwood Roland, Michael Getz, Vanessa A. Kurbatskiy",2,0,1
106,Who are the Authorized Signatorys of ROYAL BANK OF CANADA?,"Robert Ehudin, Thomas Casey",2,0,1
60,"Who are the Authorized Signatorys of Mizuho Bank, Ltd.?","Ryan Durkin, Tracy Rahn",2,0,1
60,Who are the Directors of The Bank of Nova Scotia?,"Greg Strauss, Jason Rinne, Oscar Cortez",2,0,1
60,Who are the Managing Directors of Bank of the West?,"Harry Yergey, Michael Maguire, Patrick Hartweger",2,0,1
60,"Who are the Senior Vice Presidents of Capital One, National Association?","Bernadette Collins, Eric H. Williams, Joshua Dearmon, Michael S. Barnett",2,0,1
60,"Who are the Vice Presidents of City National Bank, a national banking association?","Laura Dodd, Lukas Coleman, Susan M. Olsen, Thor O%E2%80%99Connell",2,0,1
74,"Who are the Authorized Signatorys of CREDIT SUISSE AG, CAYMAN ISLANDS BRANCH?","Christopher Day, Karim Rahimtoola",2,0,1
74,Who are the Managing Directors of SUNTRUST BANK?,"Jon Singer, Nick Hahn",2,0,1
74,"Who are the Managing Directors of SUNTRUST ROBINSON HUMPHREY, INC?","Stacy Moritz, Todd M. Koetje",2,0,1
161,Who are the Senior Vice Presidents of FIRST FINANCIAL BANK?,"John Wilgus, Sean Apicella",2,0,1
161,Who are the Vice Presidents of THE HUNTINGTON NATIONAL BANK?,"Joe White, Thomas Z. Schmitt",2,0,1
161,Who are the Directors of TRUIST BANK?,"Jonas Robinson, Ryan Almond",2,0,1
160,"Who are the Vice Presidents of MUFG BANK, LTD.?","Joseph Siri, Martin Corrigan",2,0,1
160,Who are the Directors of TRUIST BANK?,"Amanuel Assefa, Steve Curran",2,0,1
148,Who are the Managing Directors of BNP PARIBAS?,"Greg Strauss, P. Nicholas Rogers",2,0,1
148,Who are the Senior Vice Presidents of TD BANK?,"Emily Chott, Jonathan F. Lindvall, R. Ruining Nguyen",2,0,1
148,Who are the Vice Presidents of BANK OF AMERICA?,"Karim Remtoula, Liliana Claar, Meng Zhang, Rumesha Ahmed, Will Hicks",2,0,1
148,Who are the Directors of BANK OF AMERICA?,"Craig Malloy, Jonathan Eady, Katherine Bass, Mukesh Singh, Todd Kennedy",2,0,1
61,"Who are the Vice Presidents of BANK OF AMERICA, N.A.?","Amanuel Assefa, Bridgett J. Manduk-Mowry, Christopher Shafto, Jim Cahow, Liz Cheng, Marko Lukin",2,0,1
77,Who are the Senior Vice Presidents of HANCOCK BANK?,"David C. Mruk, Kenneth C. Misemer, Mark Hardison",2,0,1
77,"Who are the Directors of WELLS FARGO BANK, NATIONAL ASSOCIATION?","Katherine Bass, Matthew Olson, Teuta Ghilaga",2,0,1
162,"Who are the Vice Presidents of MORGAN STANLEY SENIOR FUNDING, INC.?","Ivan Davey, Michael King",2,0,1
162,"Who are the Secretarys of NABORS ALASKA DRILLING, INC.?","Michael J. Niedermaier, Michael Rasmuson",2,0,1
89,"Who are the Chief Financial Officers of AGILITI SURGICAL, INC.?","Charles P. Holden, James B. Pekarek",2,0,1
89,"Who are the CFOs of AGILITI HEALTH, INC.?","James Pekarek, Matthew McCabe",2,0,1
62,"Who are the Authorized Signatorys of THE TORONTO DOMINION BANK, NEW YORK BRANCH?","Annie Dorval, Brian MacFarlane",2,0,1
66,"Who are the Vice Presidents of KEYBANK, NATIONAL ASSOCIATION?","Ben Snodgrass, Tanille Ingle",2,0,1
66,"Who are the Directors of MUFG Bank, Ltd.?","Cecile Segovia, Kevin Wood",2,0,1
66,"Who are the Managing Directors of Wells Fargo Bank, National Association?","Darin Mullis, Erin Robinson",2,0,1
66,Who are the Senior Vice Presidents of U.S. BANK NATIONAL ASSOCIATION?,"Bret Douglas, Joseph D. Hricovsky, Kathryn E. Benjamin, Kristie Li, Tom Priedeman",2,0,1
99,"Who are the Presidents of CBOCS PROPERTIES, INC.?","Doug Couvillion, S. Victoria Harvey",2,0,1
99,Who are the Managing Directors of REGIONS BANK?,"Adriaan Weststrate, Scott C. Tocci, Stephen A. Leon",2,0,1
99,Who are the Vice Presidents of GREENSTONE FARM CREDIT SERVICES?,"Henry Spark, Jeff Pavlik, Laura Daily, Lisa R. Cook, Steven Dixon",2,0,1
99,Who are the Senior Vice Presidents of AVENUE BANK?,"Anne H. Lovette, Carol S. Titus, R. Andrew Beam, Robert J. Beckley, William H. Diehl",2,0,1
73,Who are the Authorized Signatorys of CREDIT SUISSE SECURITIES %28USA%29 LLC?,"Karim Rahimtoola, Vipul Dhadda",2,0,1
73,"Who are the Managing Directors of Cr%C3%A9dit Industriel et Commercial, New York Bank?","Clifford Abramsky, Marcus Edward",2,0,1
73,Who are the Vice Presidents of FIFTH THIRD BANK?,"J. David Izard., Michael Chanin",2,0,1
73,"Who are the Directors of THE BANK OF TOKYO-MITSUBISHI UFJ, LTD?","Ola Anderssen, Srbui Seferian, CFA.",2,0,1
73,Who are the Vice Presidents of DEUTSCHE BANK SECURITIES INC?,"Benjamin Souh, Don B. Pinzon, Marie F. Harrison, Peter Cucchiara",2,0,1
9,Who are the Authorized Signatorys of ROYAL BANK OF CANADA?,"James Disher, Mark Walton",2,0,1
9,Who are the Directors of BARCLAYS BANK PLC?,"Ann E. Sutton, Mikhail Faybusovich",2,0,1
9,"Who are the Senior Vice Presidents of SUNCOKE ENERGY PARTNERS, L.P.?","Eric Searls, Jonathan M. Phillips, Mark E. Newman",2,0,1
65,Who are the Vice Presidents of DEUTSCHE BANK AG NEW YORK BRANCH?,"Philip Tancorra, Yumi Okabe",2,0,1
65,Who are the Senior Vice Presidents of FIFTH THIRD BANK?,"Lise Hinton, Matthew J. Bradley",2,0,1
65,Who are the Authorized Signatorys of GOLDMAN SACHS BANK USA?,"Andrew Griffin, Thomas Manning, Whitney Gaston",2,0,1
164,Who are the Vice Presidents of UMB BANK N.A.?,"Adam Hensley, Alex Harrison, Jess Adams, Marty McDonald",2,0,1
170,Who are the Managing Directors of THE BANK OF NOVA SCOTIA?,"Diane Emanuel, Susan T. Gallagher",2,0,1
170,"Who are the Vice Presidents of JPMORGAN CHASE BANK, N.A.?","Jason Fuqua, Matthew Gregg, Michael Vondriska, Ronaldo Naval, Sabrina Hassan, Tony Wong",2,0,1
165,Who are the Authorized Signatorys of ROYAL BANK OF CANADA?,"Annie Carr, Charles Shaw, Gordon MacArthur, Tracy Rahn",2,0,1
165,Who are the Directors of SUNTRUST BANK?,"J. Casey Cosgrove, Ole Koppang, Sangeeta Shah, Tesha Winslow",2,0,1
165,"Who are the Vice Presidents of COOPERATIEVE RABOBANK U.A., NEW YORK BRANCH?","Bridgett J. Manduk Mowry, Brigitte M. Sinclair, Pacella Lehane, Ryan Zimmerman",2,0,1
64,"Who are the Vice Presidents of MORGAN STANLEY SENIOR FUNDING, INC.?","Martin Corrigan, Michael King, Richard W. Jantzen, III",2,0,1
64,Who are the Authorized Signatorys of GOLDMAN SACHS LENDING PARTNERS LLC?,"Doreen Barr, Komal Shah, Thomas Manning",2,0,1
58,Who are the Presidents of COHERUS INTERMEDIATE CORP.?,"Dennis M. Lanfear, Michael Fleming",2,0,1
41,"Who are the Senior Vice Presidents of Webster Bank, N.A.?","Ann M. Meade, David Nussbaum, Deborah A. Colony, Marc J. Lubelczyk, Marina E. Grossi, Mitchell B. Feldman",2,0,1
82,"Who are the Directors of THE BANK OF TOKYO-MITSUBISHI UFJ, LTD?","Scott O%C2%92Connell, William McGinty, Zubin R. Shroff",2,0,1
82,"Who are the Senior Vice Presidents of PNC BANK, NATIONAL ASSOCIATION?","D. Scott Farquhar, David A. Carroll, Michael Richards, Shreya Shah",2,0,1
82,"Who are the Vice Presidents of WELLS FARGO BANK, NATIONAL ASSOCIATION?","Anthony Pantina, David M. Crane, Jennifer Hwang, Vanessa A. Kurbatskiy",2,0,1
96,Who are the Executive Vice Presidents of FIRST NATIONAL BANK OF SANTA FE?,"Larry D. Cheek, Mike Hoyl",2,0,1
96,Who are the Vice President and Treasurers of PUBLIC SERVICE COMPANY OF NEW MEXICO?,"Terry Horn, Terry R. Horn",2,0,1
140,Who are the Directors of WWTAI AIROPCO MALTA LTD.?,"Demetrios Tserpelis, Sean McKinley, Tony Traynor",2,0,1
155,Who are the directorss of Sahara Holdings Limited?,"Michael Pope, Patrick Foley",2,0,1
141,Who are the Senior Vice Presidents of CITIZENS BANK OF PENNSYLVANIA?,"Andrew D. Holtz, David W. Dinella, Thomas E. Redmond",2,0,1
141,"Who are the Vice Presidents of KEYBANK, NATIONAL ASSOCIATION?","Jeff Skalka, Renee M. Bonnell, Richard R. Powell",2,0,1
169,Who are the Authorized Signatorys of BARCLAYS BANK PLC?,"Anwar S. Young, John M. Olsen, Mark Walton, Noam S. Azachi",2,0,1
83,Who are the Authorized Signatorys of ROYAL BANK OF CANADA?,"Bertram H. Tang, Sheldon Pinto",2,0,1
83,Who are the Managing Directors of SUMITOMO MITSUI BANKING CORP?,"Shuji Yabe, Suzanne M. Rode",2,0,1
83,Who are the VP %26 General Managers of BANK OF TAIWAN?,"Eric Chen, Jane Chang, Kang Yang",2,0,1
83,Who are the Directors of BNP PARIBAS?,"Eugene Dempsey, Lacy Houstoun, Michael Miller, Richard Ong Pho, Todd Rodgers",2,0,1
83,"Who are the Senior Vice Presidents of WESTERN DIGITAL TECHNOLOGIES, INC?","Andrew Hietala, Michael Dixon, Michael Ray, Rita E. Dillon, Steve Levi, Steve Ryan",2,0,1
83,"Who are the Chief Financial Officers of WESTERN DIGITAL TECHNOLOGIES, INC?","Tim Leyden, Timothy Leyden",2,0,1
83,"Who are the Vice Presidents of WESTERN DIGITAL IRELAND, LTD?","Charles De Clapiers, Elizabeth Willi, Jeannette Lu, Johnetta Bush, Joseph Carrillo, Mark C. Skrzynski, Maureen P. Maroney, Rian DuBach, Richard J. Ameny Jr., Sandy Lee, Shibani Faehnle, Susan Takeda",2,0,1
68,Who are the Directors of REGIONS BANK?,"Jonas L. Robinson, T. Barrett Vawter",2,0,1
68,"Who are the Senior Vice Presidents of CITIZENS BANK, N.A.?","John F. Simon, John Wilgus, Kerri Colwell",2,0,1
54,Who are the Managing Directors of 2018-1 IH BORROWER LP?,"Chuckie Reddy, Jonathan Olsen",2,0,1
40,"Who are the Senior Vice Presidents of ASSOCIATED BANK, NATIONAL ASSOCIATION?","Edward J. Chidiac, James Cribbet",2,0,1
56,"Who are the Directors of UBS AG, Stamford Branch?","Chris Walton, Darlene Arias, Kenneth Chin",2,0,1
56,"Who are the Authorized Signatorys of CREDIT SUISSE AG, CAYMAN ISLANDS BRANCH?","D. Andrew Maletta, Judith Smith, Melissa James, Rebecca Kratz",2,0,1
4,"Who are the Vice Presidents of BANK OF AMERICA, N.A.?","Frank Byrne, Ronnie Glen",2,0,1
42,"Who are the Senior Vice Presidents of PANERA, LLC?","Alan Garson, Michael J. Bufano",2,0,1
42,Who are the Managing Directors of REGIONS BANK?,"Helene P. Sprung, Jay R. Goldstein",2,0,1
42,"Who are the Vice Presidents of PNC BANK, NATIONAL ASSOCIATION?","Anthony Luppino, Kelly Weaver, Maureen S. Malphus, Paul Spearing",2,0,1
95,"Who are the Vice Presidents of BANK OF AMERICA, N.A.?","Angela Lau, Yinghua Zhang",2,0,1
95,"Who are the Vice Presidents of Bank of America, N.A.?","Angela Lau, Yinghua Zhang",2,0,1
143,"Who are the Vice Presidents of Wells Fargo Bank, National Association?","Anthony Luppino, Maureen Malphus, Michael H. Keith, Ravi Pillay",2,0,1
142,Who are the Vice Presidents of BARCLAYS BANK PLC?,"Marguerite Sutton, Todd Vaubel",2,0,1
142,Who are the Corporate Secretarys of TRANSCANADA PIPELINES LIMITED?,"Christine R. Johnston, Jon A. Dobson",2,0,1
142,Who are the Authorized Signatorys of ROYAL BANK OF CANADA?,"John Niedermier, Lexanne Cooper, Mark Williamson, Szymon Ordys, Tammy Oldenburg, Tim VandeGriend",2,0,1
142,"Who are the Directors of CANADIAN IMPERIAL BANK OFCOMMERCE, NEW YORK BRANCH?","Anar Ramji, Brian L. Banke, Gordon Yip, James Campbell, John S. McGill, Michael Linder, Michael Zeller, Ming K. Chu",2,0,1
142,"Who are the Managing Directors of CANADIAN IMPERIAL BANK OFCOMMERCE, NEW YORK BRANCH?","James D. Weinstein, Jeff Ferrell, Randy Geislinger, Rob MacKinnon",2,0,1
156,Who are the Vice Presidents of BNP PARIBAS?,"Christopher Cassidy, Philip Tancorra",2,0,1
156,Who are the Directors of VIAVI SOLUTIONS UK LIMITED?,"Guelay Mese, Henk Derksen",2,0,1
156,"Who are the Its Authorized Signatorys of WELLS FARGO BANK, NATIONAL ASSOCIATION?","Brian Lane, Patricia Del Busto",2,0,1
80,"Who are the Senior Vice Presidents of PNC Bank, National Association?","Michael Pugsley, Richard C. Brown",2,0,1
80,"Who are the Vice Presidents of HSBC Bank USA, National Association?","Blake Gronich, Chris Burns, Daglas P Panchal, Mary K Lundin",2,0,1
94,"Who are the Senior Vice Presidents of RBS CITIZENS, N.A.?","Cheryl Carangelo, Richard C. Brown, William D. Priester",2,0,1
57,Who are the Directors of Bank of America?,"John W. Deegan, Ming K. Chu, Mukesh Singh, Sydney G. Dennis",2,0,1
57,"Who are the Vice Presidents of Citibank, N.A.?","Alysha Salinger, Henry Pennell, Kara P. Van Duzee, Katherine L. Hurley, Lauren Steiner, Michael Vondriska, Robert Sullivan, Virginia Cosenza",2,0,1
5,Who are the Senior Vice Presidents of PNC BANK?,"Denise Smyth, Robert Masters, Roy E. Alexander",2,0,1
47,"Who are the Senior Vice Presidents of BANK OF AMERICA, N.A.?","Kristie Li, Robert LaPorte",2,0,1
47,Who are the Vice Presidents of DEUTSCHE BANK AG NEW YORK BRANCH?,"Anthony Galea, John P. Treadwell Jr., Marni McManus, Ming K. Chu, Philip F. Kurpiewski, Virginia Cosenza",2,0,1
146,Who are the Vice Presidents of WILMINGTON TRUST?,"Adam Scozzafava, Victoria Chant",2,0,1
90,Who are the Authorized Signatorys of GOLDMAN SACHS BANK USA?,"Donna DeMagistris, Thomas M. Manning",2,0,1
90,Who are the Executive Directors of TRUIST BANK?,"Carlos Cruz, Michael Maguire",2,0,1
90,Who are the Vice Presidents of JPMORGAN CHASE BANK?,"Christopher A. Salek, Michael Vondriska, William C. Whitaker",2,0,1
90,Who are the Senior Vice Presidents of SANTANDER BANK?,"Christopher Matheson, David C. Beckett, Irv Roa, Michael S. Barnett",2,0,1
90,Who are the Directors of ING BANK N.V.?,"Annie Chung, Brad Matthews, Clement Yu, Ming K. Chu, Mukesh Singh, Sean Hassett, Todd Grossnickle",2,0,1
90,Who are the Managing Directors of ING BANK N.V.?,"Barry Fehily, Kaye Ea, Kevin D. Higgins, Michael Pearce",2,0,1
84,Who are the Authorized Signatorys of ROYAL BANK OF CANADA?,"Joshua Freedman, Michael King",2,0,1
84,Who are the General Managers of BANK OF TAIWAN?,"Alexander Wu, Chwan-Ming Ho",2,0,1
84,Who are the General Managers of E.SUN COMMERCIAL BANK?,"Edward Chen, Li Hua Huang",2,0,1
