document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
117,What company is the arranger but not the swing line lender and administrative agent in the agreement?,wells fargo securities llc,1,3,0
117,What company is the arranger but not the swing line lender and issuing lender in the agreement?,wells fargo securities llc,1,3,0
117,What company is the arranger but not the swing line lender and bookrunner in the agreement?,wells fargo securities llc,1,3,0
117,What company is the arranger but not the administrative agent and issuing lender in the agreement?,wells fargo securities llc,1,3,0
117,What company is the arranger but not the administrative agent and bookrunner in the agreement?,wells fargo securities llc,1,3,0
117,What company is the arranger but not the issuing lender and bookrunner in the agreement?,wells fargo securities llc,1,3,0
101,What company is the lender but not the arranger and l c issuer in the agreement?,legacytexas bank,1,3,0
101,What company is the lender but not the arranger and administrative agent in the agreement?,legacytexas bank,1,3,0
101,What company is the lender but not the arranger and sole book runner in the agreement?,legacytexas bank,1,3,0
101,What company is the lender but not the l c issuer and administrative agent in the agreement?,legacytexas bank,1,3,0
101,What company is the lender but not the l c issuer and sole book runner in the agreement?,legacytexas bank,1,3,0
101,What company is the lender but not the administrative agent and sole book runner in the agreement?,legacytexas bank,1,3,0
128,What company is the arranger but not the bookrunners and administrative agent in the agreement?,bofa securities inc,1,3,0
139,What company is the syndication agent but not the administrative agent and lender in the agreement?,bank of america,1,3,0
111,What company is the arrangers but not the bookrunners and lender in the agreement?,suntrust robinson humphrey inc,1,3,0
107,What company is the administrative agent but not the intercreditor agent and arranger in the agreement?,wells fargo foothill inc,1,3,0
107,What company is the administrative agent but not the intercreditor agent and lender in the agreement?,wells fargo foothill inc,1,3,0
107,What company is the administrative agent but not the intercreditor agent and lead arrangers in the agreement?,wells fargo foothill inc,1,3,0
107,What company is the administrative agent but not the intercreditor agent and collateral agent in the agreement?,wells fargo foothill inc,1,3,0
107,What company is the administrative agent but not the arranger and lender in the agreement?,wells fargo foothill inc,1,3,0
107,What company is the administrative agent but not the arranger and lead arrangers in the agreement?,wells fargo foothill inc,1,3,0
107,What company is the administrative agent but not the arranger and collateral agent in the agreement?,wells fargo foothill inc,1,3,0
107,What company is the administrative agent but not the lender and lead arrangers in the agreement?,wells fargo foothill inc,1,3,0
107,What company is the administrative agent but not the lender and collateral agent in the agreement?,wells fargo foothill inc,1,3,0
107,What company is the administrative agent but not the lead arrangers and collateral agent in the agreement?,wells fargo foothill inc,1,3,0
112,What company is the arrangers but not the lender and bookrunners in the agreement?,merrill lynch pierce fennerand smith incorporated,1,3,0
112,What company is the arrangers but not the lender and administrative agent in the agreement?,merrill lynch pierce fennerand smith incorporated,1,3,0
