question,answer
What pathogens cause a disease which is treated by moxifloxacin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by doxycycline?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by ceftriaxone?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by levofloxacin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by vancomycin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by trimethoprim?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by metronidazole?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by aminoglycoside?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by ciprofloxacin?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by erythromycin?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by azithromycin?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by fidaxomicin?,"campylobacter,escherichia coli,salmonella,shigella"
