document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
60,"What is the role and subrole that Bank of Montreal holds in the agreement that is not held by BofA Securities, Inc. or Citibank, N.A.?",documentation agent,1,3,0
60,"What is the role and subrole that Bank of Montreal holds in the agreement that is not held by BofA Securities, Inc. or JPMorgan Chase Bank, N.A.?",documentation agent,1,3,0
60,"What is the role and subrole that Bank of Montreal holds in the agreement that is not held by BofA Securities, Inc. or MUFG Bank, Ltd.?",documentation agent,1,3,0
60,"What is the role and subrole that Bank of Montreal holds in the agreement that is not held by BofA Securities, Inc. or PNC Capital Markets LLC?",documentation agent,1,3,0
60,"What is the role and subrole that Bank of Montreal holds in the agreement that is not held by BofA Securities, Inc. or Wells Fargo Securities LLC?",documentation agent,1,3,0
60,"What is the role and subrole that Bank of Montreal holds in the agreement that is not held by Citibank, N.A. or JPMorgan Chase Bank, N.A.?",documentation agent,1,3,0
60,"What is the role and subrole that Bank of Montreal holds in the agreement that is not held by Citibank, N.A. or MUFG Bank, Ltd.?",documentation agent,1,3,0
60,"What is the role and subrole that Bank of Montreal holds in the agreement that is not held by Citibank, N.A. or PNC Capital Markets LLC?",documentation agent,1,3,0
60,"What is the role and subrole that Bank of Montreal holds in the agreement that is not held by Citibank, N.A. or Wells Fargo Securities LLC?",documentation agent,1,3,0
60,"What is the role and subrole that Bank of Montreal holds in the agreement that is not held by JPMorgan Chase Bank, N.A. or MUFG Bank, Ltd.?",documentation agent,1,3,0
60,"What is the role and subrole that Bank of Montreal holds in the agreement that is not held by JPMorgan Chase Bank, N.A. or PNC Capital Markets LLC?",documentation agent,1,3,0
60,"What is the role and subrole that Bank of Montreal holds in the agreement that is not held by JPMorgan Chase Bank, N.A. or Wells Fargo Securities LLC?",documentation agent,1,3,0
60,"What is the role and subrole that Bank of Montreal holds in the agreement that is not held by MUFG Bank, Ltd. or PNC Capital Markets LLC?",documentation agent,1,3,0
60,"What is the role and subrole that Bank of Montreal holds in the agreement that is not held by MUFG Bank, Ltd. or Wells Fargo Securities LLC?",documentation agent,1,3,0
60,What is the role and subrole that Bank of Montreal holds in the agreement that is not held by PNC Capital Markets LLC or Wells Fargo Securities LLC?,documentation agent,1,3,0
