document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
17,What type of location is 10 south dearborn street 49thfloor chicago il 60603?,chief executive office,1,0,0
15,What type of location is 1285 avenue of the americas new york new york 10019?,branch office,1,0,0
39,What type of location is 2058 south bailey road north jackson oh 44541?,chief executive office,1,0,0
39,What type of location is 600 mayer street bridgeville pa 15017?,chief executive office,1,0,0
39,What type of location is 830 brigham road dunkirk ny 14048?,chief executive office,1,0,0
11,What type of location is floor 3 ops 2 500 stanton christiana rd newark de 19713?,loan and agency services group,1,0,0
106,What type of location is 420 w van buren street 9thfloor suiteil 1 0199 chicagoil 60606 3534?,global ts contractand documentation,1,0,0
72,What type of location is 25 canada square canary wharf london england e14 5lb?,uk branch,1,0,0
166,What type of location is england?,registered office,1,0,0
166,What type of location is dubai uae?,zonal office,1,0,0
166,What type of location is two alliance center 3560 lenox road suite 2000 atlanta ga 30326 usa?,corporate office,1,0,0
170,What type of location is 1 fleet way mail code pa6 580 02 30 scranton pennsylvania 18507?,trade operations,1,0,0
170,What type of location is bank of america plaza 901 main street mail code tx1 492 14 11 dallas texas 75202?,agency management,1,0,0
165,What type of location is mail code ca5 705 04 09 555 california street 4th floor san francisco ca 94104?,agency management,1,0,0
154,What type of location is 10 south dearborn floor l2 suite il1 1145 chicago il 60603 2300?,middle market servicing,1,0,0
154,What type of location is 4 new york plaza floor 17 new york ny 10004?,commercial banking,1,0,0
141,What type of location is 500 first avenue pittsburgh pa 15219?,agency services,1,0,0
6,What type of location is los angeles?,branch,1,0,0
4,What type of location is cayman islands?,branch,1,0,0
95,What type of location is 100 n tryon street mail code nc1 007 17 11 charlotte nc 28255?,global corporate debt products,1,0,0
95,What type of location is 1455 market street mail code ca5 701 05 19 san francisco california 94103 1399?,agency management,1,0,0
157,What type of location is 1100 placid avenue plano tx 75074?,offsite storage,1,0,0
157,What type of location is 1137 e walnut st garland tx 75040?,offsite storage,1,0,0
157,What type of location is 480 s honduras cd juraez mexico?,mexico location contract manufacturing,1,0,0
157,What type of location is 725 e walnut st garland tx 75040?,opto building,1,0,0
157,What type of location is 903 e walnut st garland tx 75040?,front end test building,1,0,0
157,What type of location is 905 e walnut st garland tx 75040?,micro building and corporate office,1,0,0
157,What type of location is 912 e walnut st garland tx 75040?,assembly building,1,0,0
142,What type of location is 500 place darmes 26th floor?,corporate customers operations,1,0,0
91,What type of location is 63317th street suite 1900 denver colorado 80202 3619?,address for notices,1,0,0
91,What type of location is bank of oklahoma 1625 broadway suite 1100 denver colorado 80202?,address for notices,1,0,0
91,What type of location is po box 248817 oklahoma city oklahoma 73124 8817?,payment processing center,1,0,0
44,What type of location is pa6 580 02 30 1 fleet way scranton pa 18507 attention alfonso malave jr?,trade finance,1,0,0
79,What type of location is one fleet way 2nd floor mail code pa6 580 02 30 scranton pa 18507?,global trade operations,1,0,0
123,What type of location is cayman islands?,branch,1,0,0
123,What type of location is dublin?,branch,1,0,0
136,What type of location is 4800 montgomery lane 450 bethesda maryland 20814?,chief executive office,1,0,0
122,What type of location is london?,branch,1,0,0
122,What type of location is new york?,branch,1,0,0
35,What type of location is grand cayman?,branch,1,0,0
35,What type of location is new york?,branch,1,0,0
121,What type of location is new york?,branch,1,0,0
135,What type of location is 135 s lasalle st mail code il4 135 09 61 chicagoil 60603?,agency management,1,0,0
20,What type of location is 40 wantage avenue branchville new jersey 07890?,corporate headquarters,1,0,0
118,What type of location is cayman islands?,branch,1,0,0
32,What type of location is 13 15 avenue de la liberté l 1931 luxembourg?,registered office,1,0,0
26,What type of location is 1300 thames street thames street wharf 4th floor baltimore md 21231?,office,1,0,0
26,What type of location is new york?,branch,1,0,0
