document_number,f1_score,edit_distance,cosine_similarity,llm_as_a_judge,num_questions
9,0.4620232941661513,0.5073834811702459,0.4464727576282688,2.9761904761904763,42
17,0.823529411764706,0.9038461538461539,0.7060777744337089,5.0,2
25,0.7466666666666667,0.38989547038327527,0.7588572280505691,3.6,5
45,0.8181818181818182,0.14696969696969697,0.8181818181818183,4.2727272727272725,22
47,0.5181615681615681,0.5149966150356977,0.4823989453567317,3.72972972972973,37
51,0.9358974358974359,0.10944570135746606,0.916602738370302,4.615384615384615,13
57,1.0,0.0,1.0,5.0,21
60,0.306795569021153,0.6760397922557193,0.24139780937031866,2.034090909090909,88
61,0.4444444444444444,0.482363315696649,0.44444444444444453,2.7777777777777777,9
65,0.29720496894409937,0.6455426744803259,0.289171592555228,2.108695652173913,46
66,0.3380751456700824,0.5680247100672735,0.3351506450443543,2.430379746835443,79
82,0.48571428571428577,0.5816326530612245,0.4685528813637211,1.5714285714285714,7
84,0.13333333333333333,0.9523809523809524,0.14981213884132735,1.0,3
91,0.8297435897435896,0.2680684248039914,0.7695210057887337,4.8,5
106,0.4777777777777778,0.5244444444444444,0.5096010860297034,3.5,6
121,0.5,0.46153846153846156,0.5,2.75,4
135,0.32857142857142857,0.6220029239766082,0.293326120530336,2.3333333333333335,6
137,0.08888888888888889,0.7793755025462342,0.08988728330479644,1.2,5
139,0.6,0.33714285714285713,0.6000000000000002,3.4,5
140,0.5476190476190476,0.4535789473684211,0.552938190306722,3.3333333333333335,6
142,0.30744400527009225,0.6783101790074776,0.3328217548850384,2.15,20
148,0.2850929983565097,0.8167461100153408,0.25672551643259345,2.076923076923077,13
151,0.4038095238095238,0.6760610766045548,0.3482798985348709,2.0,5
153,0.39992507492507495,0.6541950172216459,0.4170136882541661,2.5384615384615383,13
156,0.42905657560829974,0.5519332498031521,0.5350236911625392,3.25,8
160,0.7646825396825396,0.6053950198774256,0.677320747058085,3.8333333333333335,6
161,0.7058823529411764,0.7142857142857143,0.7366663657547095,4.0,1
162,0.5,0.35714285714285715,0.5000000000000001,3.0,2
164,0.6687333718912667,0.5980562448304384,0.6434069554212558,3.8,5
165,0.8246003996003995,0.22567219004052408,0.8714441719053108,4.6,10
166,0.0,0.9380981408107284,0.0,1.0,2
169,0.5,0.6701307408649011,0.6171582269074054,2.5,2
170,1.0,0.0,1.0000000000000002,5.0,1
