document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
102,What is the position held by both adam finerman and katherine bell?,esq,1,1,0
117,What is the position held by both chris burns and dawn mace moore?,senior vice president,1,1,0
117,What is the position held by both chris burns and michael snook?,senior vice president,1,1,0
117,What is the position held by both dawn mace moore and michael snook?,senior vice president,1,1,0
103,What is the position held by both stephen sernett and stuart brown?,director,1,1,0
103,What is the position held by both stephen sernett and scott huckins?,director,1,1,0
103,What is the position held by both stuart brown and scott huckins?,director,1,1,0
115,What is the position held by both melanie housey hart and jennifer m neil?,secretary,1,1,0
100,What is the position held by both alexis coyle and lee merkle raymond?,managing director,1,1,0
100,What is the position held by both dan johnston and mark strzynski?,vice president,1,1,0
100,What is the position held by both dan johnston and min park?,vice president,1,1,0
100,What is the position held by both darran wee and tyler j mei?,senior vice president,1,1,0
100,What is the position held by both mark strzynski and min park?,vice president,1,1,0
128,What is the position held by both derek jensen and ryan zimmerman?,vice president,1,1,0
128,What is the position held by both gill skala and leni preciado?,director,1,1,0
128,What is the position held by both gill skala and mario de luca?,director,1,1,0
128,What is the position held by both leni preciado and mario de luca?,director,1,1,0
15,What is the position held by both jared randall and racquel ac small?,executive director,1,1,0
11,What is the position held by both carolyn kee and john j tus?,vice president,1,1,0
11,What is the position held by both carolyn kee and virginia cosenza?,vice president,1,1,0
11,What is the position held by both craig malloy and mukesh singh?,director,1,1,0
11,What is the position held by both john j tus and virginia cosenza?,vice president,1,1,0
110,What is the position held by both alan dawson and alia qaddumi?,director,1,1,0
110,What is the position held by both alan dawson and brendan heneghan?,director,1,1,0
110,What is the position held by both alan dawson and david l berger?,director,1,1,0
110,What is the position held by both alan dawson and kenneth chin?,director,1,1,0
110,What is the position held by both alan dawson and sydney g dennis?,director,1,1,0
110,What is the position held by both alia qaddumi and brendan heneghan?,director,1,1,0
110,What is the position held by both alia qaddumi and david l berger?,director,1,1,0
110,What is the position held by both alia qaddumi and kenneth chin?,director,1,1,0
110,What is the position held by both alia qaddumi and sydney g dennis?,director,1,1,0
110,What is the position held by both annie dorval and donna demagistris?,authorized signatory,1,1,0
110,What is the position held by both annie dorval and jason s york?,authorized signatory,1,1,0
110,What is the position held by both annie dorval and josh rosenthal?,authorized signatory,1,1,0
110,What is the position held by both brendan heneghan and david l berger?,director,1,1,0
110,What is the position held by both brendan heneghan and kenneth chin?,director,1,1,0
110,What is the position held by both brendan heneghan and sydney g dennis?,director,1,1,0
110,What is the position held by both david l berger and kenneth chin?,director,1,1,0
110,What is the position held by both david l berger and sydney g dennis?,director,1,1,0
