document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
15,Who are the executive directors of the company associated with 1285 avenue of the americas new york new york 10019?,"jared randall, racquel ac small",3,0,1
89,Who are the cfos of the company associated with 6625 west 78th street suite300 minneapolis mn 55439?,"james pekarek, matthew mccabe",3,0,1
96,Who are the vice president and treasurers of the company associated with 414 silver ave sw albuquerque nm 87102 3289?,"terry horn, terry r horn",3,0,1
42,Who are the vice presidents of the company associated with 101 north tryon st 5th floor charlotte nc 28255?,"anthony luppino, kelly weaver",3,0,1
42,Who are the vice presidents of the company associated with 900 west trade st charlotte nc 28255 0001?,"anthony luppino, kelly weaver",3,0,1
42,Who are the vice presidents of the company associated with new york ny?,"anthony luppino, kelly weaver",3,0,1
95,Who are the vice presidents of the company associated with 100 n tryon street mail code nc1 007 17 11 charlotte nc 28255?,"angela lau, yinghua zhang",3,0,1
95,Who are the vice presidents of the company associated with 101 north tryon street mail code nc1 001 04 39 charlotte north carolina 28255 0001?,"angela lau, yinghua zhang",3,0,1
95,Who are the vice presidents of the company associated with 1455 market street mail code ca5 701 05 19 san francisco california 94103 1399?,"angela lau, yinghua zhang",3,0,1
142,Who are the authorized signatorys of the company associated with 500 place darmes 26th floor?,"john niedermier, mark williamson",3,0,1
142,Who are the authorized signatorys of the company associated with suite 2900 po box 301?,"szymon ordys, tammy oldenburg",3,0,1
156,Who are the its authorized signatorys of the company associated with 1800 century park east suite 1100 los angeles ca 90067?,"brian lane, patricia del busto",3,0,1
123,Who are the authorized signatorys of the company associated with cayman islands?,"bill odaly, kelly heimrich",3,0,1
122,Who are the managing directors of the company associated with london?,"andy mcclinton, tony gordon",3,0,1
122,Who are the managing directors of the company associated with new york?,"andres neumeier, ross levitsky",3,0,1
35,Who are the senior vice presidents of the company associated with 1185 avenue of the americas new york new york 10036?,"john p rielly, timothy b goodell",3,0,1
35,Who are the managing directors of the company associated with new york?,"diane pockaj, veronica incera",3,0,1
121,Who are the svps of the company associated with new york?,"james hua, kitty sin",3,0,1
118,Who are the authorized signatorys of the company associated with cayman islands?,"christopher day, samuel miller",3,0,1
127,Who are the directors of the company associated with new york?,"annie chung, ming k chu",3,0,1
26,Who are the managing directors of the company associated with new york?,"brian crowley, fabio della malva, marc fussbahn, pedro bell, veronica incera",3,0,1
26,Who are the vice presidents of the company associated with new york?,"veli matti abohen, virginia cosenza",3,0,1
