question,answer
What medications treat cdi?,"fidaxomicin,metronidazole,vancomycin"
What medications treat bacillary angiomatosis?,"doxycycline,erythromycin"
What medications treat osteomyelitis?,"doxycycline,erythromycin"
What medications treat peliosis hepatis?,"doxycycline,erythromycin"
What medications treat endocarditis?,"doxycycline,gentamicin,rifampin"
What medications treat diarrheal disease?,"azithromycin,ceftriaxone,ciprofloxacin"
What medications treat shigellosis?,"azithromycin,ceftriaxone,ciprofloxacin,levofloxacin,trimethoprim"
What medications treat cat scratch disease?,"doxycycline,erythromycin"
What medications treat bacteremia?,"aminoglycoside,azithromycin,ceftriaxone,ciprofloxacin,doxycycline,erythromycin"
What medications treat gastroenteritis?,"azithromycin,ceftriaxone,ciprofloxacin,levofloxacin,moxifloxacin,trimethoprim"
What medications treat campylobacteriosis?,"azithromycin,ciprofloxacin,levofloxacin"
