document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
17,What company is the grantor and borrower but not the bookrunner in the agreement?,exgen renewables iv llc,1,3,0
17,What company is the grantor and borrower but not the lead arranger in the agreement?,exgen renewables iv llc,1,3,0
17,What company is the grantor and borrower but not the syndication agent in the agreement?,exgen renewables iv llc,1,3,0
17,What company is the grantor and borrower but not the documentation agent in the agreement?,exgen renewables iv llc,1,3,0
17,What company is the grantor and borrower but not the collateral wilmington trust national association agent in the agreement?,exgen renewables iv llc,1,3,0
17,What company is the grantor and borrower but not the collateral agent in the agreement?,exgen renewables iv llc,1,3,0
17,What company is the grantor and borrower but not the depositary bank in the agreement?,exgen renewables iv llc,1,3,0
17,What company is the grantor and pledgor but not the bookrunner in the agreement?,exgen renewables iv llc,1,3,0
17,What company is the grantor and pledgor but not the lead arranger in the agreement?,exgen renewables iv llc,1,3,0
17,What company is the grantor and pledgor but not the syndication agent in the agreement?,exgen renewables iv llc,1,3,0
17,What company is the grantor and pledgor but not the documentation agent in the agreement?,exgen renewables iv llc,1,3,0
17,What company is the grantor and pledgor but not the collateral wilmington trust national association agent in the agreement?,exgen renewables iv llc,1,3,0
17,What company is the grantor and pledgor but not the collateral agent in the agreement?,exgen renewables iv llc,1,3,0
17,What company is the grantor and pledgor but not the depositary bank in the agreement?,exgen renewables iv llc,1,3,0
17,What company is the borrower and pledgor but not the bookrunner in the agreement?,exgen renewables iv llc,1,3,0
17,What company is the borrower and pledgor but not the lead arranger in the agreement?,exgen renewables iv llc,1,3,0
17,What company is the borrower and pledgor but not the syndication agent in the agreement?,exgen renewables iv llc,1,3,0
17,What company is the borrower and pledgor but not the documentation agent in the agreement?,exgen renewables iv llc,1,3,0
17,What company is the borrower and pledgor but not the collateral wilmington trust national association agent in the agreement?,exgen renewables iv llc,1,3,0
17,What company is the borrower and pledgor but not the collateral agent in the agreement?,exgen renewables iv llc,1,3,0
17,What company is the borrower and pledgor but not the depositary bank in the agreement?,exgen renewables iv llc,1,3,0
17,What company is the bookrunner and lead arranger but not the collateral wilmington trust national association agent in the agreement?,morgan stanley senior funding inc,1,3,0
17,What company is the bookrunner and lead arranger but not the collateral agent in the agreement?,morgan stanley senior funding inc,1,3,0
17,What company is the bookrunner and lead arranger but not the depositary bank in the agreement?,morgan stanley senior funding inc,1,3,0
17,What company is the bookrunner and syndication agent but not the collateral wilmington trust national association agent in the agreement?,morgan stanley senior funding inc,1,3,0
17,What company is the bookrunner and syndication agent but not the collateral agent in the agreement?,morgan stanley senior funding inc,1,3,0
17,What company is the bookrunner and syndication agent but not the depositary bank in the agreement?,morgan stanley senior funding inc,1,3,0
17,What company is the bookrunner and documentation agent but not the collateral wilmington trust national association agent in the agreement?,morgan stanley senior funding inc,1,3,0
17,What company is the bookrunner and documentation agent but not the collateral agent in the agreement?,morgan stanley senior funding inc,1,3,0
17,What company is the bookrunner and documentation agent but not the depositary bank in the agreement?,morgan stanley senior funding inc,1,3,0
17,What company is the lead arranger and syndication agent but not the collateral wilmington trust national association agent in the agreement?,morgan stanley senior funding inc,1,3,0
17,What company is the lead arranger and syndication agent but not the collateral agent in the agreement?,morgan stanley senior funding inc,1,3,0
17,What company is the lead arranger and syndication agent but not the depositary bank in the agreement?,morgan stanley senior funding inc,1,3,0
17,What company is the lead arranger and documentation agent but not the collateral wilmington trust national association agent in the agreement?,morgan stanley senior funding inc,1,3,0
17,What company is the lead arranger and documentation agent but not the collateral agent in the agreement?,morgan stanley senior funding inc,1,3,0
17,What company is the lead arranger and documentation agent but not the depositary bank in the agreement?,morgan stanley senior funding inc,1,3,0
17,What company is the syndication agent and documentation agent but not the collateral wilmington trust national association agent in the agreement?,morgan stanley senior funding inc,1,3,0
17,What company is the syndication agent and documentation agent but not the collateral agent in the agreement?,morgan stanley senior funding inc,1,3,0
17,What company is the syndication agent and documentation agent but not the depositary bank in the agreement?,morgan stanley senior funding inc,1,3,0
102,What company is the borrowers and administrative borrower but not the lender in the agreement?,digirad corporation,1,3,0
102,What company is the borrowers and administrative borrower but not the arranger in the agreement?,digirad corporation,1,3,0
102,What company is the borrowers and administrative borrower but not the book runner in the agreement?,digirad corporation,1,3,0
102,What company is the borrowers and administrative borrower but not the administrative agent in the agreement?,digirad corporation,1,3,0
102,What company is the borrowers and administrative borrower but not the sole book runner in the agreement?,digirad corporation,1,3,0
116,What company is the issuing lender and arranger but not the the company in the agreement?,cibc bank usa,1,3,0
116,What company is the issuing lender and administrative agent but not the the company in the agreement?,cibc bank usa,1,3,0
116,What company is the arranger and administrative agent but not the the company in the agreement?,cibc bank usa,1,3,0
117,What company is the arranger and issuing lender but not the agent in the agreement?,jpmorgan chase bank na,1,3,0
117,What company is the arranger and issuing lender but not the borrower in the agreement?,jpmorgan chase bank na,1,3,0
117,What company is the arranger and bookrunner but not the agent in the agreement?,jpmorgan chase bank na,1,3,0
117,What company is the arranger and bookrunner but not the borrower in the agreement?,jpmorgan chase bank na,1,3,0
117,What company is the arranger and swing line lender but not the agent in the agreement?,jpmorgan chase bank na,1,3,0
117,What company is the arranger and swing line lender but not the borrower in the agreement?,jpmorgan chase bank na,1,3,0
117,What company is the arranger and administrative agent but not the agent in the agreement?,jpmorgan chase bank na,1,3,0
117,What company is the arranger and administrative agent but not the borrower in the agreement?,jpmorgan chase bank na,1,3,0
117,What company is the lender and syndication agent but not the issuing lender in the agreement?,bank of america na,1,3,0
117,What company is the lender and syndication agent but not the bookrunner in the agreement?,bank of america na,1,3,0
117,What company is the lender and syndication agent but not the swing line lender in the agreement?,bank of america na,1,3,0
117,What company is the lender and syndication agent but not the administrative agent in the agreement?,bank of america na,1,3,0
117,What company is the lender and syndication agent but not the agent in the agreement?,bank of america na,1,3,0
117,What company is the lender and syndication agent but not the borrower in the agreement?,bank of america na,1,3,0
117,What company is the lender and agent but not the borrower in the agreement?,wells fargo bank national association,1,3,0
117,What company is the issuing lender and bookrunner but not the agent in the agreement?,jpmorgan chase bank na,1,3,0
117,What company is the issuing lender and bookrunner but not the borrower in the agreement?,jpmorgan chase bank na,1,3,0
117,What company is the issuing lender and swing line lender but not the agent in the agreement?,jpmorgan chase bank na,1,3,0
117,What company is the issuing lender and swing line lender but not the borrower in the agreement?,jpmorgan chase bank na,1,3,0
117,What company is the issuing lender and administrative agent but not the agent in the agreement?,jpmorgan chase bank na,1,3,0
117,What company is the issuing lender and administrative agent but not the borrower in the agreement?,jpmorgan chase bank na,1,3,0
117,What company is the bookrunner and swing line lender but not the agent in the agreement?,jpmorgan chase bank na,1,3,0
117,What company is the bookrunner and swing line lender but not the borrower in the agreement?,jpmorgan chase bank na,1,3,0
117,What company is the bookrunner and administrative agent but not the agent in the agreement?,jpmorgan chase bank na,1,3,0
117,What company is the bookrunner and administrative agent but not the borrower in the agreement?,jpmorgan chase bank na,1,3,0
117,What company is the swing line lender and administrative agent but not the agent in the agreement?,jpmorgan chase bank na,1,3,0
117,What company is the swing line lender and administrative agent but not the borrower in the agreement?,jpmorgan chase bank na,1,3,0
103,What company is the lender and administrative agent but not the guarantor in the agreement?,botticelli llc,1,3,0
