document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
102,"Who is the Chief Financial Officer of the company associated with 1048 Industrial Court, Suite E Suwanee, GA 30024?",Jeffry R. Keyes,3,0,0
102,"Who is the President of the company associated with 1048 Industrial Court, Suite E Suwanee, GA 30024?",Jeffry R. Keyes,3,0,0
102,"Who is the Authorized Signatory of the company associated with 2450 Colorado Avenue, Suite 3000 WestSanta Monica, CA 90404?",Kathy R. Plisko,3,0,0
116,"Who is the Managing Director of the company associated with 120 South LaSalle StreetChicago, Illinois 60603?",Nicholas Jordan,3,0,0
116,"Who is the Managing Director of the company associated with 70 W. MadisonChicago, Illinois 60602?",Nicholas Jordan,3,0,0
28,"Who is the Managing Member of the company associated with 110 East 59th Street, %233300New York, NY 10022?",Pedro Gonzalez de Cosio,3,0,0
28,"Who is the CEO of the company associated with 110 East 59th Street, %233300New York, NY 10022?",Pedro Gonzalez de Cosio,3,0,0
28,"Who is the Managing Member of the company associated with 110 East 59th Street, %233300 %09New York, NY 10022?",Pedro Gonzalez de Cosio,3,0,0
28,"Who is the CEO of the company associated with 110 East 59th Street, %233300 %09New York, NY 10022?",Pedro Gonzalez de Cosio,3,0,0
28,"Who is the Managing Member of the company associated with Cayman Corporate Centre, 27 Hospital Road,George Town, Grand Cayman KY1-9008?",Pedro Gonzalez de Cosio,3,0,0
28,"Who is the CEO of the company associated with Cayman Corporate Centre, 27 Hospital Road,George Town, Grand Cayman KY1-9008?",Pedro Gonzalez de Cosio,3,0,0
100,"Who is the Esq. of the company associated with 12670 High Bluff DriveSan Diego, California  92103?",Sony Ben-Moshe,3,0,0
100,"Who is the Chief Legal and Administrative Officer of the company associated with 590 E. Middlefield RoadMountain View, CA 94043-4008?",Dan Johnston,3,0,0
100,"Who is the Vice President of the company associated with 590 E. Middlefield RoadMountain View, CA 94043-4008?",Dan Johnston,3,0,0
29,"Who is the Chief Financial Officer of the company associated with 911 Panorama Trail South, Rochester, New York 14625?",Efrain Rivera,3,0,0
10,"Who is the Authorized Signatory of the company associated with 200 Vesey StreetNew York, New York 10281?",Alex Figueroa,3,0,0
10,"Who is the Chief Financial Officer of the company associated with 4900 Tiedeman Road 4th FloorBrooklyn, OH 44144?",Terence F. Sullivan,3,0,0
10,"Who is the Treasuruer of the company associated with 4900 Tiedeman Road 4th FloorBrooklyn, OH 44144?",Terence F. Sullivan,3,0,0
10,"Who is the Manager, Agency of the company associated with Royal Bank Plaza, 200 Bay Street,12th Floor South TowerToronto, Ontario M5J 2W7Canada?",Susan Khokher,3,0,0
12,"Who is the Senior Vice President of the company associated with 108 Wilmot RoadDeerfield, IL 60015?",Aidan Clare,3,0,0
12,"Who is the Global Treasurer of the company associated with 108 Wilmot RoadDeerfield, IL 60015?",Aidan Clare,3,0,0
12,"Who is the General Counsel of the company associated with 108 Wilmot RoadDeerfield, IL 60015?",Marco Pagni%3B,3,0,0
12,"Who is the Executive Vice President, of the company associated with 108 Wilmot RoadDeerfield, IL 60015?",Marco Pagni%3B,3,0,0
12,"Who is the Global Chief Administrative Officer of the company associated with 108 Wilmot RoadDeerfield, IL 60015?",Marco Pagni%3B,3,0,0
12,"Who is the Senior Manager, Global Treasury of the company associated with 108 Wilmot RoadDeerfield, IL 60015?",Sara La Berg,3,0,0
74,"Who is the Senior Vice President of the company associated with 4900 Tiedeman Road%3B Mail Code%3A OH-01-49-0362, Brooklyn, Ohio 44144?",Jeff Kalinowski,3,0,0
74,"Who is the Executive Vice President and Secretary of the company associated with 7900 Tysons One Place, Suite 1450, McLean, VA 22102?",Christopher T. McKee,3,0,0
48,"Who is the Corporate Secretary of the company associated with 1100 Louisiana, Suite 3300Houston, TX 77002-5217?",Chris Kaitson,3,0,0
48,"Who is the Vice President %E2%80%93 US Law of the company associated with 1100 Louisiana, Suite 3300Houston, TX 77002-5217?",Chris Kaitson,3,0,0
48,"Who is the Vice President %E2%80%93 Law %26 Assistant of the company associated with 1100 Louisiana, Suite 3300Houston, TX 77002-5217?",Chris Kaitson,3,0,0
48,"Who is the Treasurer of the company associated with 1100 Louisiana, Suite 3300Houston, TX 77002-5217?",Jonathan Rose,3,0,0
48,"Who is the Corporate Secretary of the company associated with C%2FO Enbridge Inc.3000, 425-1stCalgary, Alberta, Canada?",Chris Kaitson,3,0,0
48,"Who is the Vice President %E2%80%93 US Law of the company associated with C%2FO Enbridge Inc.3000, 425-1stCalgary, Alberta, Canada?",Chris Kaitson,3,0,0
48,"Who is the Vice President %E2%80%93 Law %26 Assistant of the company associated with C%2FO Enbridge Inc.3000, 425-1stCalgary, Alberta, Canada?",Chris Kaitson,3,0,0
48,"Who is the Treasurer of the company associated with C%2FO Enbridge Inc.3000, 425-1stCalgary, Alberta, Canada?",Jonathan Rose,3,0,0
75,"Who is the Vice President of the company associated with 10 South Dearborn Street, Chicago, Illinois 60603?",Justin B. Kelley,3,0,0
75,"Who is the Chief Financial Officer of the company associated with 20 Crosby Drive, Bedford, MA 01730?",Karl Johnsen,3,0,0
77,"Who is the Executive Director of the company associated with 10 South Dearborn StreetChicago, Illinois 60603?",Hector J. Varona,3,0,0
88,"Who is the Director of the company associated with 445 S. Figueroa Street, Floor 10Los Angeles, CA 90071?",Westley White,3,0,0
88,"Who is the Chief Financial Officer of the company associated with 6922 Hollywood Blvd., Suite 500Los Angeles, CA 90028?",R. Scott Turicchi,3,0,0
88,"Who is the President of the company associated with 6922 Hollywood Blvd., Suite 500Los Angeles, CA 90028?",R. Scott Turicchi,3,0,0
89,"Who is the Managing Director of the company associated with 10 S. DearbornChicago, IL 60603?",Sabir Hashmy,3,0,0
89,"Who is the SVP of the company associated with 6625 West 78th Street, Suite 300Minneapolis, MN 55439?",Lee Neumann,3,0,0
89,"Who is the General Counsel of the company associated with 6625 West 78th Street, Suite 300Minneapolis, MN 55439?",Lee Neumann,3,0,0
89,"Who is the Treasurer of the company associated with 6625 West 78th Street, Suite 300Minneapolis, MN 55439?",Lee Neumann,3,0,0
89,"Who is the VP Finance of the company associated with 6625 West 78th Street, Suite 300Minneapolis, MN 55439?",Lee Neumann,3,0,0
72,"Who is the Vice President of the company associated with 1000 Stanley DriveNew Britain, Connecticut 06053?",Craig A. Douglas,3,0,0
72,"Who is the Treasurer of the company associated with 1000 Stanley DriveNew Britain, Connecticut 06053?",Craig A. Douglas,3,0,0
72,"Who is the Assistant Vice President of the company associated with 25 Canada SquareCanary WharfLondon, England E14 5LB?",John Summers,3,0,0
72,"Who is the Vice President of the company associated with Building %2331615 Brett RoadNew Castle, DE 19720?",Carolyn Kee,3,0,0
166,"Who is the Sr. Legal Manager of the company associated with 3560 Lenox Road, Suite 2000, Atlanta, GA 30326?",Shannon Curran,3,0,0
166,Who is the Chief Manager of the company associated with Dubai UAE?,Sudip Kumar Ghatak,3,0,0
67,"Who is the Managing Member of the company associated with 110 East 59th Street, %233300New York, NY 10022?",Pedro Gonzalez de Cosio,3,0,0
67,"Who is the CEO of the company associated with 110 East 59th Street, %233300New York, NY 10022?",Pedro Gonzalez de Cosio,3,0,0
9,"Who is the Chief Financial Officer of the company associated with 1011 Warrenville Road%09  %09  %09Suite 600%09  %09  %09Lisle, IL 60532?",Mark E. Newman,3,0,0
9,"Who is the Treasurer of the company associated with 1011 Warrenville Road%09  %09  %09Suite 600%09  %09  %09Lisle, IL 60532?",Mark E. Newman,3,0,0
9,"Who is the Chief Financial Officer of the company associated with 500 Stanton Christiana Road, Ops 2, Floor 3%09  %09  %09Newark, Delaware 19713-2107?",Mark E. Newman,3,0,0
9,"Who is the Treasurer of the company associated with 500 Stanton Christiana Road, Ops 2, Floor 3%09  %09  %09Newark, Delaware 19713-2107?",Mark E. Newman,3,0,0
165,"Who is the Corporate Secretary of the company associated with 222 Merchandise Mart Plaza, Suite 1300Chicago, IL 60654?",Colleen Batcheler,3,0,0
165,"Who is the General Counsel of the company associated with 222 Merchandise Mart Plaza, Suite 1300Chicago, IL 60654?",Colleen Batcheler,3,0,0
