document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
116,Who is the cfo of the company where orit mizrachi is employed?,venu rathi,3,0,0
116,Who is the chief financial officer of the company where orit mizrachi is employed?,venugopal rathi,3,0,0
116,Who is the coo of the company where venu rathi is employed?,orit mizrachi,3,0,0
116,Who is the chief financial officer of the company where venu rathi is employed?,venugopal rathi,3,0,0
116,Who is the coo of the company where venugopal rathi is employed?,orit mizrachi,3,0,0
116,Who is the cfo of the company where venugopal rathi is employed?,venu rathi,3,0,0
100,Who is the chief financial officer of the company where dan johnston is employed?,peter kuipers,3,0,0
100,Who is the executive vice president of the company where dan johnston is employed?,peter kuipers,3,0,0
100,Who is the vice president of the company where peter kuipers is employed?,dan johnston,3,0,0
100,Who is the chief legal and administrative officer of the company where peter kuipers is employed?,dan johnston,3,0,0
110,Who is the director of the company where houssem daly is employed?,kenneth chin,3,0,0
110,Who is the associate director of the company where kenneth chin is employed?,houssem daly,3,0,0
104,Who is the treasurer of the company where andre s valentine is employed?,david r wiedwald,3,0,0
104,Who is the chief financial officer of the company where david r wiedwald is employed?,andre s valentine,3,0,0
139,Who is the managing director of the company where kestrina budina is employed?,tanya crossley,3,0,0
139,Who is the director of the company where tanya crossley is employed?,kestrina budina,3,0,0
111,Who is the head of corporate banking of the company where louise twiss west is employed?,neville grant,3,0,0
111,Who is the head of financial institutions group of the company where neville grant is employed?,louise twiss west,3,0,0
10,Who is the manager agency of the company where alex figueroa is employed?,susan khokher,3,0,0
10,Who is the authorized signatory of the company where susan khokher is employed?,alex figueroa,3,0,0
38,Who is the managing director of the company where sriram chandrasekaran is employed?,ann rhoads,3,0,0
38,Who is the director of the company where ann rhoads is employed?,sriram chandrasekaran,3,0,0
38,Who is the vice president of the company where ross levitsky is employed?,ming k chu,3,0,0
38,Who is the managing director of the company where ming k chu is employed?,ross levitsky,3,0,0
38,Who is the senior vice president of the company where jamie grubb is employed?,joe hykle,3,0,0
38,Who is the vice president of the company where joe hykle is employed?,jamie grubb,3,0,0
