Unnamed: 0,document_number,question,answer,num_hops,num_set_operations,multiple_answers,llm_response,sum_values,f1_score,edit_distance,cosine_similarity,llm_as_a_judge
164,47,who is the vice president of the company which is the lender but not the co syndication agents in the agreement,bremmer kneib,3,2,0,Robert LaPorte,5,0.0,0.8571428571428571,0.0,1
167,47,who is the director of the company which is the lender but not the co syndication agents in the agreement,brian mcnany,3,2,0,Not found,5,0.0,0.8333333333333334,0.0,1
168,47,"who is the managing director of the company which is the lender but not the administrative agent, in the agreement",kirk tesch,3,2,0,Not found,5,0.0,0.9,0.0,1
353,60,"what are the roles and subroles that bank of montreal and bofa securities, inc. share in the agreement that are not held by fifth third bank, national association","bookrunner, book manager, lead arranger",1,3,1,"Joint Lead Arrangers and Joint Bookrunners, Documentation Agents",5,0.16666666666666666,0.746031746031746,0.07734781234369076,3
354,60,"what are the roles and subroles that bank of montreal and bofa securities, inc. share in the agreement that are not held by goldman sachs bank usa","bookrunner, book manager, lead arranger",1,3,1,"Bank of Montreal and BofA Securities, Inc. are Joint Lead Arrangers and Joint Bookrunners, Documentation Agents, while Goldman Sachs Bank USA is a Senior Managing Agent.",5,0.07142857142857142,0.8048780487804879,0.04317756466613905,1
355,60,"what are the roles and subroles that bank of montreal and bofa securities, inc. share in the agreement that are not held by pnc bank, national association","bookrunner, book manager, lead arranger",1,3,1,"Joint Lead Arrangers and Joint Bookrunners, Documentation Agents",5,0.16666666666666666,0.746031746031746,0.07734781234369076,3
356,60,"what are the roles and subroles that bank of montreal and bofa securities, inc. share in the agreement that are not held by pnc capital markets llc","lead arranger, lead bookrunner",1,3,1,"Joint Lead Arrangers and Joint Bookrunners, Documentation Agents",5,0.2,0.6031746031746031,0.1636830616936349,4
357,60,"what are the roles and subroles that bank of montreal and bofa securities, inc. share in the agreement that are not held by td bank, n.a.","bookrunner, book manager, lead arranger",1,3,1,"Arrangers, joint lead arrangers and joint bookrunners, documentation agents",5,0.16666666666666666,0.7534246575342466,0.06743557494279505,3
358,60,"what are the roles and subroles that bank of montreal and bofa securities, inc. share in the agreement that are not held by wells fargo bank, national association","bookrunner, book manager, lead arranger",1,3,1,"Syndication Agent, Joint Lead Arrangers and Joint Bookrunners, Documentation Agents",5,0.14285714285714285,0.7777777777777778,0.07030492086459503,2
359,60,"what are the roles and subroles that bank of montreal and bofa securities, inc. share in the agreement that are not held by jpmorgan chase bank, n.a","bookrunner, book manager, lead arranger",1,3,1,Not found,5,0.0,0.8648648648648649,0.0,1
360,60,"what are the roles and subroles that bank of montreal and bofa securities, inc. share in the agreement that are not held by regions bank","bookrunner, book manager, lead arranger",1,3,1,"Bank of Montreal and BofA Securities, Inc. are Joint Lead Arrangers and Joint Bookrunners, Documentation Agents, while Regions Bank is a Senior Managing Agent.",5,0.07692307692307693,0.7922077922077922,0.04466656076905525,3
361,60,"what are the roles and subroles that bank of montreal and bofa securities, inc. share in the agreement that are not held by mizuho bank, ltd.","bookrunner, book manager, lead arranger",1,3,1,Syndication Agent,5,0.0,0.8108108108108109,0.0,1
362,60,"what are the roles and subroles that bank of montreal and citibank, n.a. share in the agreement that are not held by fifth third bank, national association","bookrunner, book manager, lead arranger",1,3,1,"Bank of Montreal and Citibank, N.A. are Joint Lead Arrangers and Joint Bookrunners, Documentation Agents, whereas Fifth Third Bank, National Association is a Senior Managing Agent.",5,0.07142857142857142,0.815028901734104,0.04317756466613905,1
363,60,"what are the roles and subroles that bank of montreal and citibank, n.a. share in the agreement that are not held by goldman sachs bank usa","bookrunner, book manager, lead arranger",1,3,1,"Citibank, N.A. is the Administrative Agent, Joint Lead Arranger and Joint Bookrunner, and Documentation Agent. Bank of Montreal is Joint Lead Arranger and Joint Bookrunner, and Documentation Agent. Goldman Sachs Bank USA is a Senior Managing Agent.",5,0.23076923076923073,0.8577405857740585,0.17873630258790685,2
364,60,"what are the roles and subroles that bank of montreal and citibank, n.a. share in the agreement that are not held by pnc bank, national association","bookrunner, book manager, lead arranger",1,3,1,"Bank of Montreal and Citibank, N.A. share the roles of Syndication Agent, Joint Lead Arrangers and Joint Bookrunners, and Documentation Agents, which are not held by PNC Bank, National Association. Citibank, N.A. also has the role of Administrative Agent, which is not held by PNC Bank, National Association or Bank of Montreal.",5,0.05555555555555555,0.8949044585987261,0.023000414804621665,1
365,60,"what are the roles and subroles that bank of montreal and citibank, n.a. share in the agreement that are not held by pnc capital markets llc","lead arranger, lead bookrunner",1,3,1,"Citibank, N.A. is the Administrative Agent, MUFG BANK, LTD., as Syndication Agent. CITIBANK, N.A., MUFG BANK, LTD., BOFA SECURITIES, INC., BANK OF MONTREAL, THE BANK OF NOVA SCOTIA, CAPITAL ONE, NATIONAL ASSOCIATION, JPMORGAN CHASE BANK, N.A., MIZUHO BANK, LTD., PNC CAPITAL MARKETS LLC, U.S. BANK NATIONAL ASSOCIATION and WELLS FARGO SECURITIES, LLC, as Joint Lead Arrangers and Joint Bookrunners. BANK OF AMERICA, N.A., BANK OF MONTREAL, THE BANK OF NOVA SCOTIA, CAPITAL ONE, NATIONAL ASSOCIATION, JPMORGAN CHASE BANK, N.A., MIZUHO BANK, LTD., PNC BANK, NATIONAL ASSOCIATION, U.S. BANK NATIONAL ASSOCIATION and WELLS FARGO BANK, NATIONAL ASSOCIATION, as Documentation Agents.",5,0.047619047619047616,0.9532258064516129,0.023070893440711816,4
366,60,"what are the roles and subroles that bank of montreal and citibank, n.a. share in the agreement that are not held by td bank, n.a.","bookrunner, book manager, lead arranger",1,3,1,"Citibank, N.A. is the Administrative Agent, and Joint Lead Arrangers and Joint Bookrunners. Bank of Montreal is Joint Lead Arrangers and Joint Bookrunners, and Documentation Agents. TD Bank, N.A. is Senior Managing Agents.",5,0.08333333333333333,0.8483412322274881,0.05581446900737245,1
367,60,"what are the roles and subroles that bank of montreal and citibank, n.a. share in the agreement that are not held by wells fargo bank, national association","bookrunner, book manager, lead arranger",1,3,1,"Citibank, N.A. is the Administrative Agent, Joint Lead Arranger and Joint Bookrunner. Bank of Montreal is a Joint Lead Arranger, Joint Bookrunner and Documentation Agent. Wells Fargo Bank, National Association is only a Documentation Agent.",5,0.23076923076923073,0.8614718614718615,0.2038870505986829,1
368,60,"what are the roles and subroles that bank of montreal and citibank, n.a. share in the agreement that are not held by jpmorgan chase bank, n.a","bookrunner, book manager, lead arranger",1,3,1,Not found,5,0.0,0.8648648648648649,0.0,1
