document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
107,What are the roles and subroles that Barclays Bank PLC and Global Markets Inc. share in the agreement that are not held by Wilmington Trust FSB?,"administrative borrower, documentation agent, administrative agent,, administrative agent",1,3,1
107,What are the roles and subroles that Barclays Bank PLC and Global Markets Inc. share in the agreement that are not held by BARCLAYS BANK PLC?,"administrative agent, collateral trustee, documentation agent, collateral agent, administrative borrower, administrative agent,",1,3,1
107,"What are the roles and subroles that Barclays Bank PLC and Wells Fargo Foothill, Inc share in the agreement that are not held by Wilmington Trust FSB?","administrative borrower, documentation agent, administrative agent,, administrative agent",1,3,1
107,"What are the roles and subroles that Barclays Bank PLC and Wells Fargo Foothill, Inc share in the agreement that are not held by BARCLAYS BANK PLC?","administrative agent, collateral trustee, documentation agent, collateral agent, administrative borrower, administrative agent,",1,3,1
107,What are the roles and subroles that Barclays Bank PLC and Wilmington Trust FSB share in the agreement that are not held by BARCLAYS BANK PLC?,"collateral trustee, collateral agent",1,3,1
107,"What are the roles and subroles that Global Markets Inc. and Wells Fargo Foothill, Inc share in the agreement that are not held by Wilmington Trust FSB?","administrative borrower, documentation agent, administrative agent,, administrative agent",1,3,1
60,"What are the roles and subroles that Bank of Montreal and BofA Securities, Inc. share in the agreement that are not held by Fifth Third Bank, National Association?","lead arranger, joint book runner, joint bookrunners, lead bookrunner, joint book manager, joint bookrunner, joint lead arranger",1,3,1
60,"What are the roles and subroles that Bank of Montreal and BofA Securities, Inc. share in the agreement that are not held by Goldman Sachs Bank USA?","lead arranger, joint book runner, joint bookrunners, lead bookrunner, joint book manager, joint bookrunner, joint lead arranger",1,3,1
60,"What are the roles and subroles that Bank of Montreal and BofA Securities, Inc. share in the agreement that are not held by PNC Bank, National Association?","lead arranger, joint book runner, joint bookrunners, lead bookrunner, joint book manager, joint bookrunner, joint lead arranger",1,3,1
60,"What are the roles and subroles that Bank of Montreal and BofA Securities, Inc. share in the agreement that are not held by PNC Capital Markets LLC?","lead bookrunner, lead arranger",1,3,1
60,"What are the roles and subroles that Bank of Montreal and BofA Securities, Inc. share in the agreement that are not held by TD Bank, N.A.?","lead arranger, joint book runner, joint bookrunners, lead bookrunner, joint book manager, joint bookrunner, joint lead arranger",1,3,1
60,"What are the roles and subroles that Bank of Montreal and BofA Securities, Inc. share in the agreement that are not held by Wells Fargo Bank, National Association?","lead arranger, joint book runner, joint bookrunners, lead bookrunner, joint book manager, joint bookrunner, joint lead arranger",1,3,1
60,"What are the roles and subroles that Bank of Montreal and BofA Securities, Inc. share in the agreement that are not held by JPMorgan Chase Bank, N.A?","lead arranger, joint book runner, joint bookrunners, lead bookrunner, joint book manager, joint bookrunner, joint lead arranger",1,3,1
60,"What are the roles and subroles that Bank of Montreal and BofA Securities, Inc. share in the agreement that are not held by Regions Bank?","lead arranger, joint book runner, joint bookrunners, lead bookrunner, joint book manager, joint bookrunner, joint lead arranger",1,3,1
60,"What are the roles and subroles that Bank of Montreal and BofA Securities, Inc. share in the agreement that are not held by Mizuho Bank, Ltd.?","joint book runner, joint bookrunners, joint lead arranger, joint bookrunner, joint book manager",1,3,1
60,"What are the roles and subroles that Bank of Montreal and Citibank, N.A. share in the agreement that are not held by Fifth Third Bank, National Association?","lead arranger, joint book runner, joint bookrunners, lead bookrunner, joint book manager, joint bookrunner, joint lead arranger",1,3,1
60,"What are the roles and subroles that Bank of Montreal and Citibank, N.A. share in the agreement that are not held by Goldman Sachs Bank USA?","lead arranger, joint book runner, joint bookrunners, lead bookrunner, joint book manager, joint bookrunner, joint lead arranger",1,3,1
60,"What are the roles and subroles that Bank of Montreal and Citibank, N.A. share in the agreement that are not held by PNC Bank, National Association?","lead arranger, joint book runner, joint bookrunners, lead bookrunner, joint book manager, joint bookrunner, joint lead arranger",1,3,1
60,"What are the roles and subroles that Bank of Montreal and Citibank, N.A. share in the agreement that are not held by PNC Capital Markets LLC?","lead bookrunner, lead arranger",1,3,1
60,"What are the roles and subroles that Bank of Montreal and Citibank, N.A. share in the agreement that are not held by TD Bank, N.A.?","lead arranger, joint book runner, joint bookrunners, lead bookrunner, joint book manager, joint bookrunner, joint lead arranger",1,3,1
60,"What are the roles and subroles that Bank of Montreal and Citibank, N.A. share in the agreement that are not held by Wells Fargo Bank, National Association?","lead arranger, joint book runner, joint bookrunners, lead bookrunner, joint book manager, joint bookrunner, joint lead arranger",1,3,1
60,"What are the roles and subroles that Bank of Montreal and Citibank, N.A. share in the agreement that are not held by JPMorgan Chase Bank, N.A?","lead arranger, joint book runner, joint bookrunners, lead bookrunner, joint book manager, joint bookrunner, joint lead arranger",1,3,1
60,"What are the roles and subroles that Bank of Montreal and Citibank, N.A. share in the agreement that are not held by Regions Bank?","lead arranger, joint book runner, joint bookrunners, lead bookrunner, joint book manager, joint bookrunner, joint lead arranger",1,3,1
60,"What are the roles and subroles that Bank of Montreal and Citibank, N.A. share in the agreement that are not held by Mizuho Bank, Ltd.?","joint book runner, joint bookrunners, joint lead arranger, joint bookrunner, joint book manager",1,3,1
60,"What are the roles and subroles that Bank of Montreal and Fifth Third Bank, National Association share in the agreement that are not held by JPMorgan Chase Bank, N.A.?","documentation agent, managing agent",1,3,1
60,"What are the roles and subroles that Bank of Montreal and Fifth Third Bank, National Association share in the agreement that are not held by MUFG Bank, Ltd.?","documentation agent, managing agent",1,3,1
60,"What are the roles and subroles that Bank of Montreal and Fifth Third Bank, National Association share in the agreement that are not held by PNC Capital Markets LLC?","documentation agent, managing agent",1,3,1
60,"What are the roles and subroles that Bank of Montreal and Fifth Third Bank, National Association share in the agreement that are not held by Wells Fargo Securities LLC?","documentation agent, managing agent",1,3,1
60,"What are the roles and subroles that Bank of Montreal and Goldman Sachs Bank USA share in the agreement that are not held by JPMorgan Chase Bank, N.A.?","documentation agent, managing agent",1,3,1
60,"What are the roles and subroles that Bank of Montreal and Goldman Sachs Bank USA share in the agreement that are not held by MUFG Bank, Ltd.?","documentation agent, managing agent",1,3,1
60,What are the roles and subroles that Bank of Montreal and Goldman Sachs Bank USA share in the agreement that are not held by PNC Capital Markets LLC?,"documentation agent, managing agent",1,3,1
60,What are the roles and subroles that Bank of Montreal and Goldman Sachs Bank USA share in the agreement that are not held by Wells Fargo Securities LLC?,"documentation agent, managing agent",1,3,1
60,"What are the roles and subroles that Bank of Montreal and JPMorgan Chase Bank, N.A. share in the agreement that are not held by PNC Bank, National Association?","lead arranger, joint book runner, joint bookrunners, lead bookrunner, joint book manager, joint bookrunner, joint lead arranger",1,3,1
60,"What are the roles and subroles that Bank of Montreal and JPMorgan Chase Bank, N.A. share in the agreement that are not held by PNC Capital Markets LLC?","lead bookrunner, lead arranger",1,3,1
60,"What are the roles and subroles that Bank of Montreal and JPMorgan Chase Bank, N.A. share in the agreement that are not held by TD Bank, N.A.?","lead arranger, joint book runner, joint bookrunners, lead bookrunner, joint book manager, joint bookrunner, joint lead arranger",1,3,1
60,"What are the roles and subroles that Bank of Montreal and JPMorgan Chase Bank, N.A. share in the agreement that are not held by Wells Fargo Bank, National Association?","lead arranger, joint book runner, joint bookrunners, lead bookrunner, joint book manager, joint bookrunner, joint lead arranger",1,3,1
60,"What are the roles and subroles that Bank of Montreal and JPMorgan Chase Bank, N.A. share in the agreement that are not held by JPMorgan Chase Bank, N.A?","lead arranger, joint book runner, joint bookrunners, lead bookrunner, joint book manager, joint bookrunner, joint lead arranger",1,3,1
60,"What are the roles and subroles that Bank of Montreal and JPMorgan Chase Bank, N.A. share in the agreement that are not held by Regions Bank?","lead arranger, joint book runner, joint bookrunners, lead bookrunner, joint book manager, joint bookrunner, joint lead arranger",1,3,1
60,"What are the roles and subroles that Bank of Montreal and JPMorgan Chase Bank, N.A. share in the agreement that are not held by Mizuho Bank, Ltd.?","joint book runner, joint bookrunners, joint lead arranger, joint bookrunner, joint book manager",1,3,1
60,"What are the roles and subroles that Bank of Montreal and MUFG Bank, Ltd. share in the agreement that are not held by PNC Bank, National Association?","lead arranger, joint book runner, joint bookrunners, lead bookrunner, joint book manager, joint bookrunner, joint lead arranger",1,3,1
60,"What are the roles and subroles that Bank of Montreal and MUFG Bank, Ltd. share in the agreement that are not held by PNC Capital Markets LLC?","lead bookrunner, lead arranger",1,3,1
60,"What are the roles and subroles that Bank of Montreal and MUFG Bank, Ltd. share in the agreement that are not held by TD Bank, N.A.?","lead arranger, joint book runner, joint bookrunners, lead bookrunner, joint book manager, joint bookrunner, joint lead arranger",1,3,1
60,"What are the roles and subroles that Bank of Montreal and MUFG Bank, Ltd. share in the agreement that are not held by Wells Fargo Bank, National Association?","lead arranger, joint book runner, joint bookrunners, lead bookrunner, joint book manager, joint bookrunner, joint lead arranger",1,3,1
60,"What are the roles and subroles that Bank of Montreal and MUFG Bank, Ltd. share in the agreement that are not held by JPMorgan Chase Bank, N.A?","lead arranger, joint book runner, joint bookrunners, lead bookrunner, joint book manager, joint bookrunner, joint lead arranger",1,3,1
60,"What are the roles and subroles that Bank of Montreal and MUFG Bank, Ltd. share in the agreement that are not held by Regions Bank?","lead arranger, joint book runner, joint bookrunners, lead bookrunner, joint book manager, joint bookrunner, joint lead arranger",1,3,1
60,"What are the roles and subroles that Bank of Montreal and MUFG Bank, Ltd. share in the agreement that are not held by Mizuho Bank, Ltd.?","joint book runner, joint bookrunners, joint lead arranger, joint bookrunner, joint book manager",1,3,1
60,"What are the roles and subroles that Bank of Montreal and PNC Bank, National Association share in the agreement that are not held by PNC Capital Markets LLC?","documentation agent, managing agent",1,3,1
60,"What are the roles and subroles that Bank of Montreal and PNC Bank, National Association share in the agreement that are not held by Wells Fargo Securities LLC?","documentation agent, managing agent",1,3,1
60,"What are the roles and subroles that Bank of Montreal and PNC Capital Markets LLC share in the agreement that are not held by TD Bank, N.A.?","joint book runner, joint bookrunners, joint lead arranger, joint bookrunner, joint book manager",1,3,1
60,"What are the roles and subroles that Bank of Montreal and PNC Capital Markets LLC share in the agreement that are not held by Wells Fargo Bank, National Association?","joint book runner, joint bookrunners, joint lead arranger, joint bookrunner, joint book manager",1,3,1
60,"What are the roles and subroles that Bank of Montreal and PNC Capital Markets LLC share in the agreement that are not held by JPMorgan Chase Bank, N.A?","joint book runner, joint bookrunners, joint lead arranger, joint bookrunner, joint book manager",1,3,1
60,What are the roles and subroles that Bank of Montreal and PNC Capital Markets LLC share in the agreement that are not held by Regions Bank?,"joint book runner, joint bookrunners, joint lead arranger, joint bookrunner, joint book manager",1,3,1
60,"What are the roles and subroles that Bank of Montreal and PNC Capital Markets LLC share in the agreement that are not held by Mizuho Bank, Ltd.?","joint book runner, joint bookrunners, joint lead arranger, joint bookrunner, joint book manager",1,3,1
60,"What are the roles and subroles that Bank of Montreal and TD Bank, N.A. share in the agreement that are not held by Wells Fargo Securities LLC?","documentation agent, managing agent",1,3,1
60,"What are the roles and subroles that Bank of Montreal and U.S. Bank National Association share in the agreement that are not held by Wells Fargo Bank, National Association?","lead arranger, joint book runner, joint bookrunners, lead bookrunner, joint book manager, joint bookrunner, joint lead arranger",1,3,1
60,What are the roles and subroles that Bank of Montreal and U.S. Bank National Association share in the agreement that are not held by Wells Fargo Securities LLC?,"documentation agent, managing agent",1,3,1
60,"What are the roles and subroles that Bank of Montreal and U.S. Bank National Association share in the agreement that are not held by JPMorgan Chase Bank, N.A?","lead arranger, joint book runner, joint bookrunners, lead bookrunner, joint book manager, joint bookrunner, joint lead arranger",1,3,1
60,What are the roles and subroles that Bank of Montreal and U.S. Bank National Association share in the agreement that are not held by Regions Bank?,"lead arranger, joint book runner, joint bookrunners, lead bookrunner, joint book manager, joint bookrunner, joint lead arranger",1,3,1
