document_number,question,answer,num_hops,num_set_operations,multiple_answers,llm_response,f1_score,edit_distance,cosine_similarity,llm_as_a_judge
29,"what is the role of paychex peo iv, llc in the agreement",guarantors,1,0,0,"Paychex PEO IV, LLC is a Guarantor",0.0,0.7575757575757576,0.0,5
29,"what is the location of hrsmarter v,llc",florida,1,0,0,Florida,1.0,0.0,1.0,5
29,what is the location of advantage payroll services inc.,delaware,1,0,0,"Advantage Payroll Services, Inc. is a Delaware corporation",0.2222222222222222,0.8571428571428571,0.2789425453258252,5
29,which company is associated with norway,norl nn as no,1,0,0,Norlønn AS,0.3333333333333333,0.3076923076923077,0.22028815056182968,4
29,"what is the location of century ii staffing tn, inc.",tennessee,1,0,0,Tennessee,1.0,0.0,1.0,5
29,"what is the role of advantage payroll services, inc. in the agreement",guarantors,1,0,0,"Advantage Payroll Services, Inc. is a Guarantor",0.0,0.8222222222222222,0.0,5
29,"what is the location of esg direction, inc.",utah,1,0,0,Utah,1.0,0.0,1.0,5
37,in what organization does philip k. liebscher work,branch banking and trust company,1,0,0,"PNC Bank, National Association",0.0,0.6875,0.0,1
37,"what is the role of evergreen disposal, inc. in the agreement",subsidiaries,1,0,0,Borrower Subsidiary,0.0,0.631578947368421,0.0,1
37,"what is the role of waste connections of mississippi, inc in the agreement",subsidiaries,1,0,0,Borrower Subsidiary,0.0,0.631578947368421,0.0,3
37,"what is the role of oklahoma landfill holdings, inc. in the agreement",subsidiaries,1,0,0,Borrower Subsidiary,0.0,0.631578947368421,0.0,1
37,"what is the role of waste connections of idaho, inc. in the agreement",subsidiaries,1,0,0,Borrower Subsidiary,0.0,0.631578947368421,0.0,1
37,in what organization does judith a. huckins work,"n.a, citizens bank",1,0,0,"Citizens Bank, N.A.",1.0,0.375,1.0000000000000002,4
37,in what organization does worthing f. jackman work,"inc., waste connections",1,0,0,"WASTE CONNECTIONS, INC.",1.0,0.38095238095238093,1.0000000000000002,4
107,what is the location of xpedite systems s.r.l.,italy,1,0,0,Italy,1.0,0.0,1.0,5
107,what is the location of open text software s.l.u.,spain,1,0,0,Spain,1.0,0.0,1.0,5
107,what is the location of cordys hong kong ltd.,hong kong,1,0,0,Hong Kong,1.0,0.0,1.0000000000000002,5
107,what is the location of global 360 spain s.l.u.,spain,1,0,0,Spain,1.0,0.0,1.0,5
107,which company is associated with portugal,open text software s.l.u. portugal branch,1,0,0,Open Text Software S.L.U. - Portugal Branch,1.0,0.0,1.0000000000000002,5
107,what is the role of open text uk limited in the agreement,domestic guarantor,1,0,0,charging company,0.0,0.8333333333333334,0.0,1
