document_number,f1_score,edit_distance,cosine_similarity,llm_as_a_judge,num_questions
47,0.0,0.8634920634920635,0.0,1.0,3
60,0.0,0.8596143496580602,0.0,1.0,71
61,0.0,0.888888888888889,0.0,1.0,5
83,0.08333333333333333,0.8941489361702127,0.07246733394220822,1.375,8
84,0.0,0.9179487179487179,0.0,1.0,5
107,0.0,0.9026488095238095,0.0,1.0,6
121,0.06666666666666667,0.7383695716048658,0.05797386715376658,1.3,10
135,0.0,0.7760416666666666,0.0,1.0,12
139,0.0,0.8969696969696969,0.0,1.0,5
145,0.13333333333333333,0.7005494505494505,0.34784320292259946,2.2,5
153,0.0,0.7894736842105263,0.0,1.0,1
166,0.13333333333333333,0.6928708523445366,0.13333333333333336,1.5333333333333334,15
