document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
15,Who are the executive directors of ubs ag?,"jared randall, racquel ac small",2,0,1
110,Who are the directors of bnp paribas?,"brendan heneghan, david l berger",2,0,1
38,Who are the managing directors of credit agricole corporate and investment?,"dennis petito, michael willis",2,0,1
38,Who are the authorized signatorys of credit suisse ag?,"nupur kumar, stefan dickenmann",2,0,1
74,Who are the authorized signatorys of credit suisse ag cayman islands branch?,"christopher day, karim rahimtoola",2,0,1
61,Who are the vice presidents of bank of america na?,"amanuel assefa, bridgett j manduk mowry",2,0,1
89,Who are the cfos of agiliti healthinc?,"james pekarek, matthew mccabe",2,0,1
66,Who are the senior vice presidents of dnb capital llc?,"bret douglas, kristie li",2,0,1
73,Who are the vice presidents of bank of america?,"don b pinzon, marie f harrison",2,0,1
73,Who are the authorized signatorys of credit suisse securities usa llc?,"karim rahimtoola, vipul dhadda",2,0,1
73,Who are the managing directors of crédit industriel et commercial new york bank?,"clifford abramsky, marcus edward",2,0,1
73,Who are the vice presidents of deutsche bank securities inc?,"benjamin souh, peter cucchiara",2,0,1
65,Who are the authorized signatorys of credit suisse ag cayman islands branch?,"andrew griffin, whitney gaston",2,0,1
65,Who are the vice presidents of deutsche bank ag new york branch?,"philip tancorra, yumi okabe",2,0,1
64,Who are the authorized signatorys of credit suisse ag cayman islands branch?,"doreen barr, komal shah",2,0,1
96,Who are the vice president and treasurers of public service company of new mexico?,"terry horn, terry r horn",2,0,1
155,Who are the directorss of sahara holdings limited?,"michael pope, patrick foley",2,0,1
83,Who are the chief financial officers of western digital technologies inc?,"tim leyden, timothy leyden",2,0,1
56,Who are the authorized signatorys of credit suisse ag cayman islands branch?,"d andrew maletta, judith smith",2,0,1
56,Who are the directors of ubs ag stamford branch?,"darlene arias, kenneth chin",2,0,1
42,Who are the vice presidents of bank of america na?,"anthony luppino, kelly weaver",2,0,1
95,Who are the vice presidents of bank of america na?,"angela lau, yinghua zhang",2,0,1
142,Who are the directors of deutsche bank ag new york branch?,"john s mcgill, ming k chu",2,0,1
142,Who are the authorized signatorys of credit suisse ag toronto branch?,"szymon ordys, tammy oldenburg",2,0,1
142,Who are the authorized signatorys of national bank of canada new york branch?,"john niedermier, mark williamson",2,0,1
156,Who are the its authorized signatorys of wells fargo bank national association?,"brian lane, patricia del busto",2,0,1
47,Who are the vice presidents of deutsche bank ag new york branch?,"ming k chu, virginia cosenza",2,0,1
90,Who are the directors of deutsche bank ag new york branch?,"annie chung, ming k chu",2,0,1
84,Who are the managing directors of credit agricole corporate and investment bank?,"amy trapp, tanya crossley",2,0,1
84,Who are the vice presidents of deutsche bank ag?,"ming k chu, virginia cosenza",2,0,1
147,Who are the authorized signatorys of credit suisse ag?,"komal shah, whitney gaston",2,0,1
147,Who are the vice presidents of deutsche bank?,"michael strobel, philip tancorra",2,0,1
151,Who are the managing directors of bnp paribas?,"john bosco, michael pearce",2,0,1
151,Who are the authorized signatorys of credit suisse ag?,"jessica gavarkovs, judith e smith",2,0,1
151,Who are the directors of deutsche bank ag new york branch?,"annie chung, mindy k chu",2,0,1
151,Who are the directors of ing bank nv?,"cormac langford, sean hassett",2,0,1
123,Who are the authorized signatorys of credit suisse ag?,"bill odaly, kelly heimrich",2,0,1
122,Who are the authorized signatorys of credit suisse ag?,"doreen barr, lingzi huang",2,0,1
122,Who are the directors of unicredit bank ag?,"craig m pinsly cfa, maria lago",2,0,1
122,Who are the managing directors of deutsche bank ag?,"andres neumeier, ross levitsky",2,0,1
122,Who are the managing directors of bank of montreal?,"andy mcclinton, tony gordon",2,0,1
23,Who are the authorized signatorys of credit suisse ag cayman islands branch?,"komal shah, nawshaer safi",2,0,1
35,Who are the managing directors of credit agricole corporate and investment bank?,"david gurghigian, michael willis",2,0,1
35,Who are the senior vice presidents of dnb capital llc?,"joe hykle, kelton glasscock",2,0,1
35,Who are the senior vice presidents of hess corporation?,"john p rielly, timothy b goodell",2,0,1
121,Who are the svps of bank of east asia limited?,"james hua, kitty sin",2,0,1
135,Who are the authorized signatorys of canadian imperial bank of commerce new york branch?,"richard antl, william reid",2,0,1
135,Who are the senior vice presidents of dnb capital llc?,"anders platou, cathleen buckley",2,0,1
109,Who are the directors of liberated syndication inc webmayhem inc and pair networks inc?,"denis yevstifeyey, douglas polinksy, j gregory smith",2,0,1
118,Who are the authorized signatorys of credit suisse ag?,"christopher day, samuel miller",2,0,1
33,Who are the authorized signatorys of credit suisse ag?,"christopher day, jean marc vauclair",2,0,1
132,Who are the authorized signatorys of credit suisse ag new york branch?,"andrew griffin, doreen barr",2,0,1
127,Who are the directors of deutsche bank ag?,"annie chung, ming k chu",2,0,1
32,Who are the directors of ubs limited?,"alan greenhow, j campbell",2,0,1
26,Who are the authorized signatorys of cayman islands brank?,"emerson almeida, john toronto",2,0,1
26,Who are the managing directors of banco bilbao vizcaya argentaria?,"brian crowley, veronica incera",2,0,1
26,Who are the managing directors of unicredit bank ag?,"fabio della malva, marc fussbahn",2,0,1
