document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
17,Which company is associated with 1100 North Market StreetWilmington Delaware 19890?,"Wilmington Trust, National Association",1,0,0
17,"Which company is associated with 1300 Thames Street, 4th FloorThames Street WharfBaltimore, MD 21231?","Morgan Stanley Senior Funding, Inc.",1,0,0
17,"Which company is associated with 1310 Point Street, 12th FloorBaltimore, MD 21231?","ExGen Renewables IV, LLC",1,0,0
17,"Which company is associated with 425 Lexington Avenue, New York, New York 10017?",Simpson Thacher %26 Bartlett LLP,1,0,0
17,"Which company is associated with 701 Ninth Street NW, 9th FloorWashington, DC 20068?","Exelon Generation Company, LLC",1,0,0
102,"Which company is associated with 1048 Industrial Court, Suite E Suwanee, GA 30024?",DIGIRAD CORPORATION,1,0,0
102,"Which company is associated with 2450 Colorado Avenue, Suite 3000 WestSanta Monica, CA 90404?","WELLS FARGO BANK, NATIONAL ASSOCIATION",1,0,0
102,"Which company is associated with 65 East 55th Street New York, NY 10022?",OLSHAN FROME WOLOSKY LLP,1,0,0
102,"Which company is associated with 695 Town Center Drive, 17th Floor Costa Mesa, CA 92626?",PAUL HASTINGS LLP,1,0,0
116,"Which company is associated with 120 South LaSalle StreetChicago, Illinois 60603?",CIBC BANK USA,1,0,0
116,"Which company is associated with 70 W. MadisonChicago, Illinois 60602?",CIBC BANK USA,1,0,0
117,"Which company is associated with 14375 NW Science Park DrivePortland, OR 97229?",Columbia Sportswear Company,1,0,0
103,"Which company is associated with 225 W. Washington Street, 21st FloorChicago, IL 60606?",Cortland Capital Market Services LLC,1,0,0
103,"Which company is associated with 245 Park Avenue, 26th FloorNew York, New York 10167?","Botticelli LLCc%2Fo Angelo, Gordon %26 Co., LP",1,0,0
103,"Which company is associated with 3 SW 129th AvenueSuite 400Pembroke Pines, FL 33027?",Claire%C2%92s %28Gibraltar%29 Holdings Limited,1,0,0
16,"Which company is associated with Two International Place, 17th Floor%09  %09 %09Boston, MA 02110?",Crystal Financial LLC,1,0,0
28,"Which company is associated with 100 Technology Center Drive, Suite 300 %09Stoughton, MA 02072?","Collegium Pharmaceutical, Inc.",1,0,0
28,"Which company is associated with 110 East 59th Street, %233300New York, NY 10022?",PHARMAKON ADVISORS LP,1,0,0
28,"Which company is associated with 110 East 59th Street, %233300 %09New York, NY 10022?",Pharmakon Advisors LP,1,0,0
28,"Which company is associated with 110 East 59th Street, %233300New York, NY 10022?",PHARMAKON ADVISORS LP,1,0,0
28,"Which company is associated with 3000 Two Logan Square %09Philadelphia, PA 19103?",Pepper Hamilton LLP,1,0,0
28,Which company is associated with 51 New North Road %09Exeter EX4 4EP %09United Kingdom?,BioPharma Credit PLC,1,0,0
28,Which company is associated with 51 New North RoadExeter EX4 4EPUnited Kingdom?,BIOPHARMA CREDIT PLC,1,0,0
28,"Which company is associated with Cayman Corporate Centre, 27 Hospital Road,George Town, Grand Cayman KY1-9008?",BIOPHARMA CREDIT INVESTMENTS V %28MASTER%29 LP,1,0,0
28,"Which company is associated with One Bryant ParkNew York, NY 10036-6745?",AKIN GUMP STRAUSS HAUER %26 FELD LLP,1,0,0
