document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
102,What is the position of Adam Finerman?,Esq.,1,0,0
102,What is the position of Katherine Bell?,Esq.,1,0,0
102,What is the position of Kathy R. Plisko?,Authorized Signatory,1,0,0
116,What is the position of Nicholas Jordan?,Managing Director,1,0,0
116,What is the position of Orit Mizrachi?,COO,1,0,0
116,What is the position of Venu Rathi?,CFO,1,0,0
116,What is the position of Venugopal Rathi?,Chief Financial Officer,1,0,0
117,What is the position of Chris Burns?,Senior Vice President,1,0,0
117,What is the position of Dawn Mace Moore?,Senior Vice President,1,0,0
117,What is the position of Kirsten Jakobsen?,Vice President,1,0,0
117,What is the position of Lynn Braun?,Executive Director,1,0,0
117,What is the position of Michael Snook?,Senior Vice President,1,0,0
103,What is the position of Gavin Baiera?,Authorized Signatory,1,0,0
103,What is the position of Matthew Trybula?,Associate Counsel,1,0,0
103,What is the position of Paul A. Barker?,Manager,1,0,0
103,What is the position of Scott Huckins?,Director,1,0,0
103,What is the position of Stephen Sernett?,Director,1,0,0
103,What is the position of Stuart Brown?,Director,1,0,0
14,What is the position of James Harris?,Chief Financial Officer,1,0,0
14,What is the position of Todd Dittmann?,Authorized Person,1,0,0
129,What is the position of Jeffrey Glajch?,Chief Financial Officer,1,0,0
129,What is the position of Elizabeth A. Jordan?,Authorized Officer,1,0,0
115,What is the position of Adam Rose?,Senior Vice President,1,0,0
101,What is the position of Deborah T. Purvin?,Senior Vice President,1,0,0
101,What is the position of Spencer Sockwell?,Corporate Healthcare Banking %C2%96 Manager,1,0,0
101,What is the position of Stanton M. Nelson?,CEO,1,0,0
100,What is the position of Christopher M. Ames?,"SVP, Global Relationship Manager",1,0,0
100,What is the position of Mark Strzynski?,Vice President,1,0,0
100,What is the position of Marshall Trenckmann?,Executive Director,1,0,0
100,What is the position of Min Park?,Vice President,1,0,0
100,What is the position of Tyler J. Mei?,Senior Vice President,1,0,0
100,What is the position of Alexis Coyle?,Managing Director,1,0,0
100,What is the position of Darran Wee?,Senior Vice President,1,0,0
100,What is the position of Lee Merkle-Raymond?,Managing Director,1,0,0
100,What is the position of Sony Ben-Moshe?,Esq.,1,0,0
100,What is the position of Teuta Ghilaga?,Director,1,0,0
100,What is the position of Thomas Avery?,Relationship Manager,1,0,0
114,What is the position of Maurice Amsellem?,Authorized Signatory,1,0,0
114,What is the position of Peter Feret?,Chief Financial Officer,1,0,0
128,What is the position of Derek Jensen?,Vice President,1,0,0
128,What is the position of Frank Pelzer?,Chief Financial Officer,1,0,0
128,What is the position of Gill Skala?,Director,1,0,0
128,What is the position of Mario De Luca?,Director,1,0,0
128,What is the position of Nicholas Heslip?,Authorized Signatory,1,0,0
128,What is the position of Ryan Zimmerman?,Vice President,1,0,0
