question,answer
What vectors transmit shigella and escherichia coli?,"contaminated food or water,fecal-oral exposure"
What vectors transmit shigella and salmonella?,"contaminated food or water,fecal-oral exposure"
What vectors transmit shigella and campylobacter?,"contaminated food or water,fecal-oral exposure"
What vectors transmit escherichia coli and shigella?,"contaminated food or water,fecal-oral exposure"
What vectors transmit escherichia coli and salmonella?,"contaminated food or water,fecal-oral exposure"
What vectors transmit escherichia coli and campylobacter?,"contaminated food or water,fecal-oral exposure"
What vectors transmit salmonella and shigella?,"contaminated food or water,fecal-oral exposure"
What vectors transmit salmonella and escherichia coli?,"contaminated food or water,fecal-oral exposure"
What vectors transmit salmonella and campylobacter?,"contaminated food or water,fecal-oral exposure"
What vectors transmit campylobacter and shigella?,"contaminated food or water,fecal-oral exposure"
What vectors transmit campylobacter and escherichia coli?,"contaminated food or water,fecal-oral exposure"
What vectors transmit campylobacter and salmonella?,"contaminated food or water,fecal-oral exposure"
