document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
102,What role does digirad corporation have in the agreement which is not the role of digirad imaging solutions inc?,administrative borrower,2,1,0
102,What role does digirad corporation have in the agreement which is not the role of dms health technologies inc?,administrative borrower,2,1,0
102,What role does digirad corporation have in the agreement which is not the role of dms imaging inc?,administrative borrower,2,1,0
102,What role does digirad corporation have in the agreement which is not the role of project rendezvous holding corporation?,administrative borrower,2,1,0
102,What role does digirad corporation have in the agreement which is not the role of telerhythmics llc?,administrative borrower,2,1,0
102,What role does digirad corporation have in the agreement which is not the role of md office solutions?,administrative borrower,2,1,0
117,What role does bank of america na have in the agreement which is not the role of hsbc bank usa national association?,syndication agent,2,1,0
117,What role does bank of america na have in the agreement which is not the role of royal bank of canada?,syndication agent,2,1,0
117,What role does bank of america na have in the agreement which is not the role of wells fargo bank national association?,syndication agent,2,1,0
117,What role does wells fargo bank national association have in the agreement which is not the role of bank of america na?,agent,2,1,0
117,What role does wells fargo bank national association have in the agreement which is not the role of hsbc bank usa national association?,agent,2,1,0
117,What role does wells fargo bank national association have in the agreement which is not the role of royal bank of canada?,agent,2,1,0
103,What role does botticelli llc have in the agreement which is not the role of botticelli llc c o angelo gordonand co lp?,lender,2,1,0
28,What role does pharmakon advisors lp have in the agreement which is not the role of akin gump strauss hauer and feld llp?,investment manager,2,1,0
28,What role does akin gump strauss hauer and feld llp have in the agreement which is not the role of biopharma credit investments v master lp?,agent,2,1,0
28,What role does akin gump strauss hauer and feld llp have in the agreement which is not the role of biopharma credit plc?,agent,2,1,0
28,What role does biopharma credit plc have in the agreement which is not the role of akin gump strauss hauer and feld llp?,collateral agent,2,1,0
28,What role does biopharma credit plc have in the agreement which is not the role of pharmakon advisors lp?,collateral agent,2,1,0
28,What role does biopharma credit plc have in the agreement which is not the role of biopharma credit investments v master lp?,collateral agent,2,1,0
100,What role does suntrust bank have in the agreement which is not the role of bank of the west fifth third bank?,lender,2,1,0
100,What role does suntrust bank have in the agreement which is not the role of jpmorgan chase bank na?,lender,2,1,0
100,What role does suntrust bank have in the agreement which is not the role of mufg union bank na?,lender,2,1,0
100,What role does suntrust bank have in the agreement which is not the role of bank of the west?,agent,2,1,0
100,What role does suntrust bank have in the agreement which is not the role of bbva compass?,agent,2,1,0
100,What role does suntrust bank have in the agreement which is not the role of citizens bank national association?,agent,2,1,0
100,What role does suntrust bank have in the agreement which is not the role of comerica bank?,agent,2,1,0
100,What role does suntrust bank have in the agreement which is not the role of east west bank?,agent,2,1,0
100,What role does suntrust bank have in the agreement which is not the role of fifth third bank?,agent,2,1,0
100,What role does suntrust bank have in the agreement which is not the role of hsbc bank usa?,agent,2,1,0
100,What role does suntrust bank have in the agreement which is not the role of jpmorgan chase bank?,agent,2,1,0
100,What role does suntrust bank have in the agreement which is not the role of mufg union bank?,agent,2,1,0
128,What role does bofa securities inc have in the agreement which is not the role of jpmorgan chase bank na?,joint bookrunners,2,1,0
39,What role does pnc bank national association have in the agreement which is not the role of bank of america na?,administrative agent,2,1,0
11,What role does jpmorgan chase bank na have in the agreement which is not the role of bank of america na?,administrative agent,2,1,0
11,What role does jpmorgan chase bank na have in the agreement which is not the role of barclays bank plc?,administrative agent,2,1,0
11,What role does jpmorgan chase bank na have in the agreement which is not the role of citibank na?,administrative agent,2,1,0
11,What role does jpmorgan chase bank na have in the agreement which is not the role of goldman sachs bank usa?,administrative agent,2,1,0
11,What role does jpmorgan chase bank na have in the agreement which is not the role of deutsche bank ag new york branch?,administrative agent,2,1,0
110,What role does merrill lynch pierce fenner and smith incorporated have in the agreement which is not the role of wells fargo securities llc?,joint bookrunners,2,1,0
110,What role does wells fargo securities llc have in the agreement which is not the role of merrill lynch pierce fenner and smith incorporated?,bookrunners,2,1,0
110,What role does merrill lynch pierce fenner and smith incorporated have in the agreement which is not the role of barclays bank plc?,joint bookrunners,2,1,0
110,What role does merrill lynch pierce fenner and smith incorporated have in the agreement which is not the role of jpmorgan chase bank na?,joint bookrunners,2,1,0
110,What role does jpmorgan chase bank na have in the agreement which is not the role of merrill lynch pierce fenner and smith incorporated?,bookrunners,2,1,0
110,What role does merrill lynch pierce fenner and smith incorporated have in the agreement which is not the role of the bank of tokyo mitsubishi ufj ltd?,joint bookrunners,2,1,0
110,What role does the bank of tokyo mitsubishi ufj ltd have in the agreement which is not the role of merrill lynch pierce fenner and smith incorporated?,bookrunners,2,1,0
