document_number,f1_score,edit_distance,cosine_similarity,llm_as_a_judge,num_questions
9,0.23248371998371997,0.8663003930164872,0.20147100012415858,2.5555555555555554,18
17,0.5092592592592592,0.6982534373838721,0.4152011961663261,5.0,2
24,0.20710622710622711,0.8844716407619119,0.18312727218539107,2.6,10
25,0.18484848484848487,0.862861304279486,0.2189513191179894,3.4,5
26,0.17316260287070379,0.9058721564744314,0.212996043088176,4.21875,32
27,1.0,0.0,1.0000000000000002,5.0,8
31,0.24771524771524767,0.8466682266811904,0.2883544867821525,4.555555555555555,9
45,0.25620421245421243,0.8556786263055823,0.24136460095785348,3.0,8
47,0.2517191491981408,0.8556940751874613,0.2571307649667921,3.0,7
49,0.12244897959183673,0.8770740113951973,0.1299497419073084,1.5714285714285714,7
51,0.21631562881562882,0.857808910465457,0.21820514105678857,2.3333333333333335,6
52,0.14423076923076922,0.8208715581600754,0.1533981324707457,1.9375,16
53,0.2912087912087912,0.8182137318528945,0.2842039728731571,3.5714285714285716,7
54,0.2828282828282828,0.7908359788359789,0.2805698392230425,4.666666666666667,3
55,0.1476190476190476,0.8775840421328969,0.12625720355358444,2.2857142857142856,7
56,0.0,0.8710084033613444,0.0,1.0,7
57,0.398413282623809,0.6404064848581439,0.40504881264898285,2.727272727272727,44
58,0.17164086687306504,0.8873136789674728,0.1504093432514585,2.6,5
59,0.19642857142857145,0.8940217391304348,0.15583615288372377,5.0,2
60,0.6666666666666667,0.3332751879075937,0.6598678181657283,4.0,8
61,0.1715460281182451,0.8883271737098276,0.1775333268228768,2.6315789473684212,19
62,0.8333333333333334,0.15,0.8333333333333335,4.333333333333333,6
65,0.46153846153846156,0.6711671419275197,0.43792149984162876,2.6153846153846154,13
66,0.7894736842105263,0.18329580636082182,0.7894736842105264,4.157894736842105,19
67,0.22086247086247082,0.8070528425901832,0.1933983287388917,1.3333333333333333,6
68,0.25521978021978026,0.8551701022289258,0.24403502174868397,3.4,5
69,0.319327731092437,0.6332268679829655,0.3306062725919804,3.2857142857142856,7
70,0.20000000000000004,0.873920424403183,0.20849891356272124,1.6666666666666667,3
71,0.28546969026845187,0.8411829095064759,0.25243791322367404,1.6666666666666667,6
72,0.20542582417582417,0.8217842648652999,0.19847823355781685,2.0,8
73,0.21428571428571427,0.6783385093167702,0.21428571428571436,1.8571428571428572,14
74,0.0,0.7807942220222922,0.0,1.0,9
75,0.2742081447963801,0.8223855967686321,0.25920397957911784,3.5,4
76,0.3333333333333333,0.5238095238095238,0.3333333333333333,2.3333333333333335,6
77,0.2620381080907397,0.8608296521004796,0.25025329537453245,3.3333333333333335,12
78,0.19150641025641027,0.82503520506953,0.20358920467415892,2.5,4
79,0.7391304347826088,0.22295482295482294,0.72626231658364,4.076923076923077,13
80,0.27045154134937416,0.8295823051182152,0.2669381420398537,3.2222222222222223,18
82,0.47732040539058085,0.47815350702005305,0.5047749106566725,3.6666666666666665,27
83,0.07054387127791703,0.890664905109652,0.06676762536895638,1.3548387096774193,62
84,0.44025974025974024,0.4493313446099823,0.471070744596228,2.909090909090909,22
85,0.20838420838420837,0.8526598568870661,0.21417339290045354,1.3333333333333333,9
86,0.21604043015807722,0.8564659864130675,0.20858383357832772,3.1,10
87,0.21428571428571427,0.6643111090590083,0.21428571428571433,1.8571428571428572,14
88,0.10563909774436091,0.8647111894181129,0.08256911631328821,1.6666666666666667,6
89,0.16744366744366745,0.8345312063694618,0.16810836382475966,1.6666666666666667,6
90,0.875,0.10393518518518519,0.875,4.5,24
91,0.5405085655085655,0.5319490901289835,0.48261620295277124,4.333333333333333,12
92,0.25430056699406545,0.8491036313864925,0.2210634895596569,2.3333333333333335,6
94,0.5833333333333334,0.3788126361655773,0.5833333333333334,3.3333333333333335,12
95,0.24737642531760182,0.7677596228277708,0.18522952981191876,4.444444444444445,9
96,0.5,0.2727272727272727,0.5000000000000001,4.571428571428571,14
97,0.07252747252747252,0.8825446004465782,0.0651709942000305,1.5714285714285714,7
99,0.3448275862068966,0.5917804935901639,0.34482758620689663,2.3448275862068964,29
100,0.7642857142857142,0.17632962275819417,0.759305559680581,4.142857142857143,28
101,0.03571428571428572,0.8876176633444075,0.0402747742206203,2.0,4
102,0.26785714285714285,0.8400599301229686,0.21279726925943745,1.0,3
103,0.1728258374874916,0.8779683525118386,0.1754074105211261,2.142857142857143,7
104,0.0,0.8843616535402075,0.0,1.0,6
105,0.2742812742812743,0.8696304803352676,0.2660449608588962,2.3333333333333335,3
106,0.19606010278240726,0.8636319250696621,0.20563091155048746,2.8666666666666667,15
107,0.75,0.20555555555555555,0.7500000000000002,4.0,20
108,0.30226120306422166,0.8284586306714308,0.2666426419160846,2.0,8
109,0.8,0.175,0.8000000000000002,4.2,5
110,0.3089133089133089,0.8046683121168129,0.31879648981475334,4.166666666666667,6
111,0.1797168341945566,0.8906478117368472,0.1784074240578776,3.6666666666666665,15
112,0.05000000000000001,0.8745987230362231,0.02756573264306961,1.6666666666666667,6
113,0.36427224736048264,0.7595667591130386,0.299451751311722,2.6666666666666665,6
114,0.0634920634920635,0.8637222222222222,0.0699184654260723,2.3333333333333335,3
115,0.27907861369399833,0.7985587405683899,0.23312973586444014,1.7692307692307692,13
116,0.2420588235294118,0.8404174320219966,0.29103591495314907,1.8,5
117,0.26224639557972895,0.8518522358708445,0.2681413602654753,3.4444444444444446,9
118,0.42857142857142855,0.4601648351648352,0.42857142857142866,2.7142857142857144,7
119,0.3080357142857143,0.7983925860323886,0.24339188777655962,2.0,4
120,0.3157894736842105,0.5918014847869195,0.3157894736842106,2.263157894736842,19
121,0.1182501167881285,0.9057291317440856,0.12172257956250364,2.4814814814814814,27
122,0.85,0.10924444444444445,0.8560835335581128,4.48,25
123,0.23988445388890434,0.86604018565481,0.21975566330118612,3.5,16
124,0.88,0.01176470588235294,1.0000000000000002,5.0,15
125,0.2560526315789474,0.8627838327541861,0.19841689245909805,2.2,5
126,0.0036630036630036634,0.8872543780471168,0.0,2.8461538461538463,26
127,0.222985347985348,0.8105173824174254,0.21989823243180542,3.125,8
128,0.2082051282051282,0.8219149390599189,0.17745224087040212,1.8,5
129,0.3571095571095571,0.7618043791956836,0.3304907004288598,2.3333333333333335,3
130,0.22535117388058565,0.8529605324239117,0.22299684547792975,4.222222222222222,18
131,0.3174603174603175,0.8424268878219119,0.2940192302887646,3.0,2
132,0.22299465240641714,0.8837639049064122,0.20266573581201006,2.090909090909091,11
133,0.09818181818181819,0.8372532987936598,0.06916005615436255,1.6363636363636365,11
134,0.3426767676767677,0.7074445575918547,0.3006885027682946,2.2222222222222223,9
135,0.15382172587299883,0.8235751901989948,0.12558815333783557,2.6142857142857143,70
136,0.258008658008658,0.8440312523476824,0.2434094311663987,5.0,3
137,0.2298433270055024,0.8116784367592181,0.22812965280208194,2.5555555555555554,63
138,0.20378692118392047,0.8336857224470436,0.20730397935064238,2.4615384615384617,13
139,0.19376643399046303,0.8133781406795244,0.16843084430419752,3.0821917808219177,73
140,0.3679647821814721,0.5751317410056387,0.32396906248538465,3.1578947368421053,19
141,0.26278564226694023,0.8305166979290567,0.23733174693578105,3.875,16
142,0.18804720747675444,0.8370653654425044,0.17363489104217206,3.0384615384615383,78
143,0.3727701837457935,0.6196626570515631,0.38870447717444756,2.6153846153846154,26
144,0.3186666355087408,0.7799836701065815,0.2989805831837066,4.333333333333333,15
145,0.2520655842070361,0.7670643276748375,0.23957876849276863,2.769230769230769,26
146,0.3968439772787599,0.7092364781723197,0.32467069747231075,3.3333333333333335,9
147,0.0025,0.8547246466596418,0.0012964162896671129,1.0,32
148,0.22547471767420615,0.7746134153749547,0.19000933524196292,2.121212121212121,33
149,0.38987397321542117,0.7301911181281624,0.3920874470011703,3.7777777777777777,9
150,0.23781843156843155,0.8439919779345966,0.24989994149568467,3.625,8
151,0.24109685629601504,0.8046626441959236,0.19956419818796897,3.3142857142857145,35
152,0.32547173414820474,0.8176773280853004,0.2543278456680779,3.4,10
153,0.20910950314144602,0.7844866232071731,0.18963760548166977,2.7837837837837838,37
154,0.8442968647514103,0.5180052042812213,0.7903005327688623,4.636363636363637,11
155,0.35,0.5545563326275778,0.35677069477668494,2.68,25
156,0.6191953802181196,0.44416793691629347,0.5713172311028234,3.41025641025641,39
157,0.3381292142823661,0.7488912465274824,0.3016648219836037,3.176470588235294,17
158,0.40384615384615385,0.7164426877470356,0.4664239507287573,2.8,5
159,0.22489043877932766,0.8480424704477659,0.18709823837701267,2.111111111111111,9
160,0.37762896825396824,0.6660731020958885,0.33056519529459777,3.0,24
161,0.17701525054466233,0.6994739304827362,0.17132339849682668,1.8823529411764706,17
162,0.1706302503286171,0.7991288021858526,0.16888467904532975,2.8333333333333335,30
163,0.3088675213675214,0.8147296043733492,0.26962991991234575,3.0,4
164,0.2618591100603723,0.7642697385447785,0.25200923600204145,2.6956521739130435,23
