document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
116,What are the locations of cibc bank usa?,"120 south lasalle street chicago illinois 60603, 70 w madison chicago illinois 60602",1,0,1
29,What are the locations of paychex inc?,"1175 john street rochester new york 14586, 911 panorama trail south rochester new york 14625",1,0,1
39,What are the locations of universal stainlessand alloy products inc?,"121 caldwell street titusville pa 16354, 600 mayer street bridgeville pa 15017",1,0,1
39,What are the locations of pnc bank national association?,"300 fifth avenue 14th floor pittsburgh pennsylvania 15222, 6750 miller rd mail stop br yb58 01 p brecksville ohio 44141",1,0,1
138,What are the locations of pnc bank national association?,"575 market street floor 28 san francisco ca 94105, pnc firstside center 500 first avenue fourth floor pittsburgh pa 15219",1,0,1
111,What are the locations of wells fargo bank national association?,"mac d1109 019 1525 west wt harris blvd charlotte nc 28262, one wells fargo center 11th floor 301 south college street charlotte north carolina 28202",1,0,1
10,What are the locations of royal bank of canada?,"200 vesey street new york new york 10281, royal bank plaza 200 bay street 12th floor south tower toronto ontario m5j 2w7 canada",1,0,1
38,What are the locations of jpmorgan chase bank na?,"383 madison avenue new york new york 10179, 500 stanton christiana road ops 2 3rd floor newark de 19713",1,0,1
107,What are the locations of cordys uk ltd?,"england, wales",1,0,1
107,What are the locations of easylink services international limited?,"england, wales",1,0,1
107,What are the locations of global 360 uk limited?,"england, wales",1,0,1
107,What are the locations of iccm professional services ltd?,"england, wales",1,0,1
107,What are the locations of metastorm limited?,"england, wales",1,0,1
107,What are the locations of resonate kt ltd?,"england, wales",1,0,1
107,What are the locations of streamserve limited?,"england, wales",1,0,1
107,What are the locations of sysgenics limited?,"england, wales",1,0,1
107,What are the locations of xpedite systems limited?,"hong kong, new zealand",1,0,1
107,What are the locations of xpedite systems uk limited?,"england, wales",1,0,1
107,What are the locations of barclays bank plc?,"1301 avenue of the americas new york new york 10019, 745 seventh avenue new york new york 10019",1,0,1
107,What are the locations of gxs inc?,"delaware usa, korea",1,0,1
107,What are the locations of open text corporation?,"275 frank tompa drive waterloo ontario, canada",1,0,1
107,What are the locations of open text ulc?,"1959 upper water street suite 900 halifax nova scotia, nova scotia canada",1,0,1
112,What are the locations of jpmorgan chase bank na?,"10 so dearborn floor l2s chicago il 60603 2300, 50 rowes wharf 2nd floor boston ma 02110",1,0,1
13,What are the locations of jefferies finance llc?,"520 madison avenue new york new york 10022, managing director",1,0,1
48,What are the locations of enbridge us inc?,"1100 louisiana suite 3300 houston tx 77002 5217, c o enbridge inc 3000 425 1st calgary alberta canada",1,0,1
48,What are the locations of enbridge energy partners lp?,"1100 louisiana suite 3300 houston tx 77002 5217, c o enbridge inc 3000 425 1st calgary alberta canada",1,0,1
161,What are the locations of keybank national association?,"1200 abernathy road ne suite 1550 atlanta georgia 30328, 2390 east camelback road ste 220 phoenix arizona 85016",1,0,1
63,What are the locations of us bank national association?,"1420 5th avenue seattle wa 98121, dn co t4 950 seventeenth street 4th floor denver colorado 80202",1,0,1
8,What are the locations of wells fargo bank national association?,"401 b street suite 1100 san diego california 92101, 608 second avenue south 11th floor minneapolis mn 55402",1,0,1
99,What are the locations of wells fargo bank national association?,"1808 aston avenue suite 250 carlsbad ca 92008, mac d1109 019 1525 west wt harris blvd charlotte nc28262",1,0,1
