document_number,f1_score,edit_distance,cosine_similarity,llm_as_a_judge,num_questions
1,0.7907188770825134,0.5286456609258127,0.7353974692276161,4.181818181818182,11
2,0.7725723622782446,0.2590955615781842,0.7613096797389916,4.0,34
3,0.8347402597402598,0.2593451641808696,0.8131442141109378,4.052631578947368,19
4,0.5393079143079142,0.4788075018639736,0.5237352872692762,3.6363636363636362,22
5,0.648961038961039,0.43097870057271936,0.6146485264218194,3.466666666666667,15
6,0.7033492822966507,0.39150432900432897,0.6717370332877546,4.0,11
7,0.8136363636363636,0.26052388648226543,0.814745192482679,4.363636363636363,11
8,0.4766884531590414,0.6164534359059695,0.4835864013155196,3.7777777777777777,9
9,0.683061224489796,0.3474420320575413,0.6769156093284356,3.857142857142857,35
10,0.4076544145509663,0.5629027604863216,0.3963418710049734,2.793103448275862,29
11,0.674763261429928,0.3680743304373827,0.6502132308293666,3.7037037037037037,27
12,0.88854917692127,0.28422314196850584,0.8731075235983433,4.558139534883721,43
13,0.8095238095238095,0.2969429747207525,0.8114684516055987,3.888888888888889,9
14,0.6302083333333334,0.12548627776209298,0.5370583887608872,4.4375,32
15,0.7718325940251074,0.33120743531427316,0.8222676266127091,4.7272727272727275,22
16,0.5258709992872889,0.5903037398667892,0.5599347819042989,4.230769230769231,13
17,0.329153605015674,0.6069144634658172,0.32843417553261084,2.3448275862068964,29
18,0.8294025974025974,0.2016011502218399,0.8047802302000094,4.24,25
19,0.8170970791660446,0.3040483282127718,0.8199399050395367,4.551724137931035,29
20,0.7685103785103785,0.49702749884822295,0.7210605906172738,3.7,10
21,0.7417748917748919,0.3245153870768313,0.7279880635376338,3.9,20
22,0.22448070448070445,0.6858700059825301,0.21030960163780965,2.12,25
23,0.6868686868686869,0.33333863687482107,0.6796788423382664,3.7045454545454546,44
24,0.661007326007326,0.3244208964998704,0.6260615062853585,3.5555555555555554,45
25,0.7622507122507122,0.17218550370724284,0.760360020114708,4.444444444444445,18
26,0.6000538720538721,0.37102509260869315,0.5610594361767927,3.3333333333333335,75
27,0.8004502164502164,0.34371554002763843,0.7964992146701962,4.266666666666667,15
28,0.8558631071788967,0.24812496170222575,0.8431223642044012,4.54054054054054,37
29,0.8138029361942405,0.18934459989208433,0.8124129823606205,4.273913043478261,230
30,0.15928896811249751,0.8103172003606736,0.1461842645363244,3.0,27
31,0.7056689342403628,0.41272203301763133,0.6664476702641263,3.489795918367347,49
32,0.42957969865186363,0.45464187642456033,0.4307598357168091,2.9381443298969074,97
33,0.7190664408055712,0.463726590879701,0.6933814991309714,4.0,11
34,0.765993265993266,0.2996383246383247,0.7377682484150068,4.444444444444445,18
35,0.5463565136199408,0.4170639533926619,0.5265530229742196,3.260869565217391,92
36,0.6944444444444445,0.41762558283868306,0.6630717099472033,4.5,12
37,0.12395910444761854,0.8129916721291224,0.1188652593709081,3.701657458563536,181
38,0.6540966386554622,0.3048305612546028,0.6608973549295555,3.75,68
39,0.5522111875053052,0.45331962715968077,0.5364236154254495,3.142857142857143,28
40,0.8455754771544245,0.29805484431927987,0.8114279851902416,4.3076923076923075,26
41,0.0,0.8355840214362765,0.0,1.0,46
42,0.531112518917397,0.5619098877026532,0.55490197579226,3.6341463414634148,41
43,0.18181818181818182,0.08181818181818182,0.18181818181818182,4.181818181818182,11
44,0.793042328042328,0.27810742098349206,0.7683234114021439,4.2,30
45,0.8656324068088773,0.2082550110350893,0.862532517179243,5.0,20
46,0.6562820481226553,0.28481439219176885,0.6581413894152341,4.225806451612903,31
47,0.5002489036387342,0.26854922071609727,0.5028660645067822,4.033898305084746,59
48,0.684981684981685,0.30667294830190756,0.7442143188089912,3.6153846153846154,13
49,0.4326928394730253,0.34912082757514923,0.41567307957561217,3.864864864864865,37
50,0.6111220129077272,0.38803693262517786,0.5648034361916286,3.2857142857142856,28
51,0.8044455544455544,0.3718372862112757,0.8428726495014573,4.454545454545454,22
52,0.5543062628428482,0.5128637285936303,0.5559418419506029,3.5609756097560976,41
53,0.7968253968253969,0.30798645291795973,0.7751641347417058,4.466666666666667,15
54,0.6481967787114845,0.4146366546303263,0.629319669906689,3.875,16
55,0.42985057270771554,0.5279073980975065,0.44032504867665895,3.0952380952380953,21
56,0.7329777365491651,0.26023082467226855,0.7245817026944225,4.178571428571429,28
57,0.6045452164221514,0.4647787075121578,0.5936993464119641,3.6333333333333333,60
58,0.41446788505612037,0.315088103303604,0.4417280224690668,4.176470588235294,17
59,0.5416666666666666,0.503622257704747,0.537453034710332,3.25,12
60,0.7511661807580174,0.28759581383724614,0.7325811654059131,3.816326530612245,49
61,0.7072871572871573,0.3406288788738479,0.7417459452236247,3.823529411764706,34
62,0.693484477124183,0.4123995589511231,0.7464878711478606,4.1875,16
63,0.8765151515151515,0.21893724439136983,0.8684484271984964,4.722222222222222,18
64,0.506366182836771,0.5395489130085115,0.49381169721511814,3.590909090909091,22
65,0.592934306788796,0.4256987286382915,0.5837822351792487,3.8378378378378377,37
66,0.7339424141749723,0.26208864624237993,0.7151080328609688,3.6744186046511627,43
67,0.7226844583987441,0.35415095316707135,0.7174116630748572,4.107142857142857,28
68,0.5595982249043474,0.44193037934923707,0.5585058432695617,3.183673469387755,49
69,0.37234592892487633,0.5878951733826064,0.3643682957166131,2.6153846153846154,26
70,0.16392100048975386,0.7960209994720081,0.1619150400561754,4.620689655172414,58
71,0.7351093351093351,0.34409889682100636,0.7064582972435814,3.933333333333333,15
72,0.45345598709569296,0.5850240214979422,0.43859715019177664,3.125,24
73,0.6701151373878647,0.3304919234818999,0.6330516827919668,3.5636363636363635,55
74,0.648034398034398,0.36719275458414574,0.6412085551338909,3.4594594594594597,37
75,0.658008658008658,0.4364795257789849,0.6456730178031869,3.727272727272727,22
