document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
117,What company is the arranger but not the issuing lender in the agreement?,wells fargo securities llc,2,1,0
117,What company is the arranger but not the bookrunner in the agreement?,wells fargo securities llc,2,1,0
117,What company is the arranger but not the administrative agent in the agreement?,wells fargo securities llc,2,1,0
117,What company is the arranger but not the swing line lender in the agreement?,wells fargo securities llc,2,1,0
103,What company is the administrative agent but not the lender in the agreement?,botticelli llc c o angelo gordonand co lp,2,1,0
28,What company is the agent but not the investment manager in the agreement?,akin gump strauss hauer and feld llp,2,1,0
101,What company is the lender but not the sole book runner in the agreement?,legacytexas bank,2,1,0
101,What company is the lender but not the l c issuer in the agreement?,legacytexas bank,2,1,0
101,What company is the lender but not the arranger in the agreement?,legacytexas bank,2,1,0
101,What company is the lender but not the administrative agent in the agreement?,legacytexas bank,2,1,0
128,What company is the arranger but not the joint bookrunners in the agreement?,jpmorgan chase bank na,2,1,0
128,What company is the arranger but not the administrative agent in the agreement?,bofa securities inc,2,1,0
128,What company is the arranger but not the bookrunners in the agreement?,bofa securities inc,2,1,0
39,What company is the lender but not the administrative agent in the agreement?,bank of america na,2,1,0
39,What company is the co collateral agent but not the administrative agent in the agreement?,bank of america na,2,1,0
104,What company is the arrangers but not the bookrunners in the agreement?,merrill lynch pierce fenner and smith incorporated,2,1,0
104,What company is the arrangers but not the joint bookrunners in the agreement?,citigroup global markets inc,2,1,0
139,What company is the syndication agent but not the administrative agent in the agreement?,bank of america,2,1,0
139,What company is the administrative agent but not the syndication agent in the agreement?,jpmorgan chase bank,2,1,0
139,What company is the syndication agent but not the lender in the agreement?,bank of america,2,1,0
139,What company is the documentation agents but not the joint bookrunners in the agreement?,citibank na crédit agricole corporate and investment bank mizuho bank ltd royal bank of canada,2,1,0
139,What company is the administrative agent but not the lender in the agreement?,jpmorgan chase bank,2,1,0
111,What company is the arrangers but not the bookrunners in the agreement?,suntrust robinson humphrey inc,2,1,0
111,What company is the bookrunners but not the lender in the agreement?,wells fargo securities llc,2,1,0
111,What company is the administrative agent but not the co syndication agent in the agreement?,wells fargo bank national association,2,1,0
111,What company is the administrative agent but not the agent in the agreement?,suntrust bank,2,1,0
107,What company is the arrangers but not the bookrunners in the agreement?,rbc capital markets,2,1,0
107,What company is the administrative agent but not the arrangers in the agreement?,barclays bank plc,2,1,0
107,What company is the administrative agent but not the bookrunners in the agreement?,barclays bank plc,2,1,0
107,What company is the administrative agent but not the collateral agent in the agreement?,wells fargo foothill inc,2,1,0
107,What company is the administrative agent but not the intercreditor agent in the agreement?,wells fargo foothill inc,2,1,0
107,What company is the administrative agent but not the lead arrangers in the agreement?,wells fargo foothill inc,2,1,0
107,What company is the administrative agent but not the arranger in the agreement?,wells fargo foothill inc,2,1,0
107,What company is the administrative agent but not the lender in the agreement?,wells fargo foothill inc,2,1,0
107,What company is the grantor but not the domestic guarantor in the agreement?,ocelot merger sub inc,2,1,0
107,What company is the borrower but not the grantor in the agreement?,gxs group inc,2,1,0
112,What company is the arrangers but not the joint bookrunners in the agreement?,jpmorgan chase bank na,2,1,0
112,What company is the arrangers but not the lender in the agreement?,merrill lynch pierce fennerand smith incorporated,2,1,0
112,What company is the arrangers but not the administrative agent in the agreement?,merrill lynch pierce fennerand smith incorporated,2,1,0
112,What company is the arrangers but not the bookrunners in the agreement?,merrill lynch pierce fennerand smith incorporated,2,1,0
106,What company is the lenders but not the borrowers in the agreement?,dynegy power llc,2,1,0
106,What company is the bookrunner but not the arranger in the agreement?,ubs securities llc,2,1,0
106,What company is the bookrunners but not the arranger in the agreement?,ubs securities llc,2,1,0
106,What company is the arranger but not the arrangers in the agreement?,citigroup global marketsinc,2,1,0
60,What company is the arrangers but not the bookrunners in the agreement?,mizuho bank ltd,2,1,0
60,What company is the bookrunners but not the arrangers in the agreement?,pnc capital markets llc,2,1,0
161,What company is the co syndication agents but not the joint lead arrangers in the agreement?,truist bank,2,1,0
