document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
116,What are the locations of CIBC BANK USA?,"120 South LaSalle StreetChicago, Illinois 60603, 70 W. MadisonChicago, Illinois 60602",1,0,1
28,What are the locations of AKIN GUMP STRAUSS HAUER %26 FELD LLP?,"One Bryant ParkNew York, NY 10036-6745, One Bryant ParkNew York, NY 10036-6745",1,0,1
28,What are the locations of PHARMAKON ADVISORS LP?,"110 East 59th Street, %233300New York, NY 10022, 110 East 59th Street, %233300New York, NY 10022",1,0,1
29,"What are the locations of PNC Bank, National Association?","6750 Miller Road, Brecksville, Ohio 44141, 6750 Miller RoadBrecksville, Ohio 44141",1,0,1
39,"What are the locations of PNC Bank, National Association?","300 Fifth Avenue, 14th FloorPittsburgh, Pennsylvania 15222, 6750 Miller Rd %28Mail Stop%3A BR-YB58-01-P%29Brecksville, Ohio 44141",1,0,1
39,"What are the locations of Universal Stainless %26 Alloy Products, Inc.?","121 Caldwell StreetTitusville, PA 16354, 600 Mayer StreetBridgeville, PA 15017",1,0,1
111,"What are the locations of Wells Fargo Bank, National Association?","MAC D1109-0191525 West W.T. Harris Blvd.Charlotte, NC 28262, One Wells Fargo Center, 11th Floor301 South College StreetCharlotte, North Carolina 28202",1,0,1
107,What are the locations of Cordys UK Ltd.?,"England, Wales",1,0,1
107,What are the locations of Easylink Services International Limited?,"England, Wales",1,0,1
107,What are the locations of Global 360 UK Limited?,"England, Wales",1,0,1
107,What are the locations of ICCM Professional Services Ltd?,"England, Wales",1,0,1
107,What are the locations of Metastorm Limited?,"England, Wales",1,0,1
107,What are the locations of Resonate KT Ltd.?,"England, Wales",1,0,1
107,What are the locations of StreamServe Limited?,"England, Wales",1,0,1
107,What are the locations of Sysgenics Limited?,"England, Wales",1,0,1
107,What are the locations of Xpedite Systems %28UK%29 Limited?,"England, Wales",1,0,1
107,What are the locations of Xpedite Systems Limited?,"Hong Kong, New Zealand",1,0,1
112,"What are the locations of JPMorgan Chase Bank, N.A.?","10 So. Dearborn, Floor L2SChicago, IL 60603-2300, 50 Rowes Wharf, 2nd Floor,Boston, MA 02110",1,0,1
13,What are the locations of JEFFERIES FINANCE LLC?,"520 Madison AvenueNew York, New York 10022, Managing Director",1,0,1
48,What are the locations of ENBRIDGE %28U.S.%29 INC.?,"1100 Louisiana, Suite 3300Houston, TX 77002-5217, C%2FO Enbridge Inc.3000, 425-1stCalgary, Alberta, Canada",1,0,1
48,"What are the locations of ENBRIDGE ENERGY PARTNERS, L.P.,?","1100 Louisiana, Suite 3300Houston, TX 77002-5217, C%2FO Enbridge Inc.3000, 425-1stCalgary, Alberta, Canada",1,0,1
99,"What are the locations of Wells Fargo Bank, National Association?","1808 Aston Avenue, Suite 250Carlsbad, CA 92008, MAC D1109-0191525 West W.T. Harris Blvd.Charlotte, NC 28262",1,0,1
98,What are the locations of Bank of America?,"1 Fleet WayScranton, PA 18507, 555 California StSan Francisco, CA 94104, 901 Main StDallas, TX 75202-3714",1,0,1
9,"What are the locations of SUNCOKE ENERGY PARTNERS, L.P.?","1011 Warrenville Road%09  %09  %09Suite 600%09  %09  %09Lisle, IL 60532, 500 Stanton Christiana Road, Ops 2, Floor 3%09  %09  %09Newark, Delaware 19713-2107",1,0,1
165,"What are the locations of BANK OF AMERICA, N.A?","Bank of America, N.A.Bank of America Plaza901 Main StMail Code%3A TX1-492-14-11Dallas, TX, 75202-3714, Mail Code%3A CA5-705-04-09555 California Street, 4th FloorSan Francisco, CA 94104, Mail Code%3A PA6-580-02-301 Fleet WayScranton, PA 18507",1,0,1
69,What are the locations of KeyBank National Association?,"225 Franklin Street, 16th FloorBoston, MA 02110, 225 Franklin Street, 18th floorBoston, Massachusetts 02110",1,0,1
69,"What are the locations of THE PARKING REIT, INC?","8880 W. Sunset Road Suite 210Las Vegas, NV 89148, 8880 W. Sunset Road Suite 360Las Vegas, NV 89148, 8880 W. Sunset Road, Suite 300Las Vegas, NV  89148",1,0,1
96,What are the locations of U.S. Bank National Association?,"Raymond Palmer,US Bank Utilities Division,461 Fifth Avenue, 8th Floor,New York, NY 10017, US Bank Utilities Division461 Fifth Avenue, 8th FloorNew York, NY 10017",1,0,1
154,"What are the locations of JPMorgan Chase Bank, N.A.?","10 South Dearborn, Floor L2Suite IL1-1145Chicago, IL, 60603-2300, 4 New York Plaza, Floor 17New York, NY 10004",1,0,1
169,"What are the locations of WELLS FARGO BANK, NATIONAL ASSOCIATION?","150 South Wacker Drive, Suite 2200Chicago, Illinois 60606, NEW YORK BRANCH",1,0,1
83,"What are the locations of JPMorgan Chase Bank, N.A?","10 South Dearborn Street, Floor 7Chicago, IL 60603, 1301 Second Avenue, Floor 25Seattle, WA 98101",1,0,1
83,"What are the locations of JPMorgan Chase Bank, N.A.?","10 South Dearborn Street, Floor 7Chicago, IL 60603, 10 South Dearborn Street, Floor 7Chicago, IL 60603, 1301 Second Avenue, Floor 25Seattle, WA 98101, 1301 Second Avenue, Floor 25Seattle, WA 98101",1,0,1
42,"What are the locations of Bank of America, N.A.?","900 West Trade St.Charlotte, NC 28255-0001, New York, NY",1,0,1
42,What are the locations of Panera Bread Company?,"3630 South Geyer Road, Suite 100St. Louis, MO 63127, 63 Kendrick StreetNeedham, MA 02494",1,0,1
95,"What are the locations of Bank of America, N.A.?","100 N. Tryon StreetMail Code%3A NC1 -007-17-11Charlotte, NC 28255, 101 North Tryon StreetMail Code%3A NC1-001-04-39Charlotte, North Carolina 28255-0001, 1455 Market StreetMail Code%3A CA5-701-05-19San Francisco, California 94103-1399",1,0,1
157,What are the locations of FROST BANK?,"2727 N. Harwood, 10th FloorDallas, Texas 75201, Texas",1,0,1
157,"What are the locations of MICROPAC INDUSTRIES, INC.?","1100 Placid Avenue Plano TX 75074, 1137 E. Walnut St. Garland TX 75040, 480 S. Honduras CD, Juraez, Mexico, 725 E. Walnut St. Garland TX 75040, 903 E. Walnut St. Garland TX 75040, 905 E. Walnut St. Garland TX 75040, 905 E. Walnut StreetGarland, Texas 75040, 912 E. Walnut St. Garland TX 75040",1,0,1
143,"What are the locations of WINGSTOP GCM, LLC?","2777 W. Craig Rd. Ste. 107North Las Vegas, NV 89032Clark County, 3910 S. Maryland Pkwy.Las Vegas, NV 89119Clark County, 400 N. Nellis Blvd. Ste. 120Las Vegas, NV 89110Clark County, 7017 Spring Mountain Rd. Ste. 101Las Vegas, NV 89117Clark County",1,0,1
143,What are the locations of WINGSTOP INC.?,"1012 E. Hwy 80, Suite AForney, TX 75126Kaufman County, 1152 N Buckner Blvd. Ste 106Dallas, TX 75218Dallas County, 1251 Northwest Hwy. Ste. CGarland, TX 75041Dallas County, 1515 S. Buckner Blvd. Ste. 247BDallas, TX 75217Dallas County, 1801 East Chase Pkwy. Ste. 117Fort Worth, TX 76120Tarrant County, 237 NE 28th St.Fort Worth, TX 76164Tarrant County, 2802 N. Shepherd Dr. Ste. 400Houston, TX 77008Harris County, 3300 Western Center Blvd. Ste. 114AFort Worth, TX 76137Tarrant County, 5045 W. Tropicana Ave. Ste. 110Las Vegas, NV 89103Clark County, 5501 LBJ FreewayDallas, TX 75240Dallas County, 6760 Abrams Rd. Ste. 119Dallas, TX 75231Dallas County, 7645 S. Custer Road Ste. 420Mckinney, TX 75070Collin County, 820 E. Cartwright Rd., Suite 130Mesquite, TX 75149Dallas County, 900 N. Coit Rd. Ste. 2700Richardson, TX 75080Dallas County, 908 Audelia Rd. Ste. 600Richardson, TX 75081Dallas County, 9208 E. R L Thornton Fwy. Ste. 204Dallas, TX 75228Dallas County",1,0,1
47,What are the locations of UNITED THERAPEUTICS CORPORATION?,"1040 Spring StreetSilver Spring, Maryland 20910, 1735 Connecticut Avenue, N.W.Washington, District of Columbia 20009",1,0,1
47,"What are the locations of WELLS FARGO BANK, NATIONAL ASSOCIATION?","301 South College Street, 14th FloorCharlotte, NC 28202, MAC D1109-0191525 West W.T. Harris Blvd.Charlotte, NC 28262",1,0,1
84,What are the locations of KEYBANK NATIONAL ASSOCIATION?,"127 Public SquareCleveland, Ohio 44114-1306, 4910 Tiedeman Rd.Mail Code%3A OH-01-51-0311Brooklyn, Ohio 44144",1,0,1
84,What are the locations of KeyBank National Association?,"127 Public SquareCleveland, Ohio 44114-1306, 4910 Tiedeman Rd.Mail Code%3A OH-01-51-0311Brooklyn, Ohio 44144",1,0,1
91,What are the locations of BANK OF OKLAHOMA?,"Bank of Oklahoma1625 Broadway, Suite 1100Denver, Colorado 80202, P.O. Box 248817Oklahoma City, Oklahoma 73124-8817",1,0,1
147,"What are the locations of JPMorgan Chase Bank, N.A.?","500 Stanton Christiana Rd.NCC5 %2F 1st FloorNewark, DE 19713, 500 Stanton Christiana Rd.NCC5 %2F 1st FloorNewark, DE 19713",1,0,1
44,What are the locations of BANK OF AMERICA?,"NC1-026-06-03900 W. Trade St.Charlotte, NC 28255, One Independence CenterMail Code%3A NC1-001-05-46Charlotte, NC 28255-0001, PA6-580-02-301 Fleet WayScranton, PA 18507Attention%3A Alfonso Malave Jr.",1,0,1
145,What are the locations of SHANNON HOLDINGS LIMITED?,"111 W. 19th St. Fl. 8, New York, NY  10011",1,0,1
145,What are the locations of SHANNON LNG ENERGY LIMITED?,"111 W. 19th St. Fl. 8, New York, NY  10011",1,0,1
145,What are the locations of NFE SHANNON HOLDINGS LIMITED?,"111 W. 19th St. Fl. 8, New York, NY  10011",1,0,1
144,What are the locations of APOLLO INVESTMENT CORPORATION?,"Apollo Investment Corporation730 Fifth Avenue, 11th FloorNew York, New York 10019, Apollo Investment Corporation9 West 57th Street, 37th FloorNew York, New York 10019",1,0,1
45,What are the locations of U.S. BANK NATIONAL ASSOCIATION?,"5065 Wooster Road, CN-OH-L2CBCincinnati, Ohio 45226-2326, One U.S. Bank PlazaSt. Louis, Missouri  63101",1,0,1
37,"What are the locations of Bank of America, N.A?","100 Federal StreetMail Code%3A  MA5-100-09-07Boston, MA 02110, 555 California Street, 4th FloorMail Code%3A  CA5-705-04-09 San Francisco, CA 94104",1,0,1
37,"What are the locations of Bank of America, N.A.?","1 Fleet WayMail Code%3A  PA6-580-02-30Scranton, PA 18507, 101 N. Tryon StreetMail Code%3A  NC1-001-05-46Charlotte, NC 28255-0001",1,0,1
35,"What are the locations of JPMorgan Chase Bank, N.A?","270 Park AvenueNew York, NY 10017, 500 Stanton Christiana Rd, Ops 2, Floor 3Newark, Delaware 19713",1,0,1
35,"What are the locations of COMMERZBANK AG,?","GRAND CAYMAN, NEW YORK",1,0,1
109,What are the locations of First Commonwealth Bank?,"437 Grant StreetFrick Building, Suite 1600Pittsburgh, PA 15219, Babst, Calland, Clements and Zomnir, P.C.Two Gateway CenterPittsburgh, PA 15222",1,0,1
34,What are the locations of Goldman Sachs Bank USA?,"200 West StreetNew York, New York  10282-2198, 200 West StreetNew York, New York 10282-2198, 30 Hudson Street, 36th FloorJersey City, NJ 07302",1,0,1
18,"What are the locations of WELLS FARGO BANK, NATIONAL ASSOCIATION?","10 South Wacker DriveChicago, IL 60606, Minneapolis Loan CenterMAC N9300-091600 South 4th Street, 9th FloorMinneapolis, Minnesota 55415",1,0,1
30,"What are the locations of Wells Fargo Bank, National Association?","1000 Louisiana, 3rd FloorHouston, Texas 77002, MAC D1109-0191525 West W. T. Harris Blvd.Charlotte, NC 28262",1,0,1
24,"What are the locations of JPMorgan Chase Bank, N.A.?","383 Madison Avenue, 24th FloorNew York, New York 10179, 500 Stanton Christiana Road, 3rd FloorNewark, DE 19713-2107",1,0,1
131,"What are the locations of Morgan Stanley Bank, N.A.?","1300 Thames StreetThames Street WharfBaltimore, Maryland 21231, 201 South Main StreetSalt Lake City, Utah 84111-2215",1,0,1
