question,answer
What pathogen causes a disease which is treated by clarithromycin but not moxifloxacin?,bartonella
What pathogen causes a disease which is treated by clarithromycin but not doxycycline?,bartonella
What pathogen causes a disease which is treated by clarithromycin but not ceftriaxone?,bartonella
What pathogen causes a disease which is treated by clarithromycin but not levofloxacin?,bartonella
What pathogen causes a disease which is treated by clarithromycin but not vancomycin?,bartonella
What pathogen causes a disease which is treated by clarithromycin but not rifampin?,bartonella
What pathogen causes a disease which is treated by clarithromycin but not trimethoprim?,bartonella
What pathogen causes a disease which is treated by clarithromycin but not metronidazole?,bartonella
What pathogen causes a disease which is treated by clarithromycin but not aminoglycoside?,bartonella
What pathogen causes a disease which is treated by clarithromycin but not ciprofloxacin?,bartonella
What pathogen causes a disease which is treated by clarithromycin but not erythromycin?,bartonella
What pathogen causes a disease which is treated by clarithromycin but not azithromycin?,bartonella
What pathogen causes a disease which is treated by clarithromycin but not gentamicin?,bartonella
What pathogen causes a disease which is treated by clarithromycin but not fidaxomicin?,bartonella
What pathogen causes a disease which is treated by doxycycline but not ceftriaxone?,bartonella
What pathogen causes a disease which is treated by doxycycline but not aminoglycoside?,bartonella
What pathogen causes a disease which is treated by doxycycline but not ciprofloxacin?,bartonella
What pathogen causes a disease which is treated by doxycycline but not erythromycin?,bartonella
What pathogen causes a disease which is treated by doxycycline but not azithromycin?,bartonella
What pathogen causes a disease which is treated by ceftriaxone but not ciprofloxacin?,salmonella
What pathogen causes a disease which is treated by ceftriaxone but not azithromycin?,salmonella
What pathogen causes a disease which is treated by levofloxacin but not ceftriaxone?,campylobacter
What pathogen causes a disease which is treated by levofloxacin but not trimethoprim?,campylobacter
What pathogen causes a disease which is treated by rifampin but not moxifloxacin?,bartonella
What pathogen causes a disease which is treated by rifampin but not clarithromycin?,bartonella
What pathogen causes a disease which is treated by rifampin but not ceftriaxone?,bartonella
What pathogen causes a disease which is treated by rifampin but not levofloxacin?,bartonella
What pathogen causes a disease which is treated by rifampin but not vancomycin?,bartonella
What pathogen causes a disease which is treated by rifampin but not trimethoprim?,bartonella
What pathogen causes a disease which is treated by rifampin but not metronidazole?,bartonella
What pathogen causes a disease which is treated by rifampin but not aminoglycoside?,bartonella
What pathogen causes a disease which is treated by rifampin but not ciprofloxacin?,bartonella
What pathogen causes a disease which is treated by rifampin but not erythromycin?,bartonella
What pathogen causes a disease which is treated by rifampin but not azithromycin?,bartonella
What pathogen causes a disease which is treated by rifampin but not fidaxomicin?,bartonella
What pathogen causes a disease which is treated by trimethoprim but not moxifloxacin?,shigella
What pathogen causes a disease which is treated by ciprofloxacin but not ceftriaxone?,campylobacter
What pathogen causes a disease which is treated by erythromycin but not ceftriaxone?,bartonella
What pathogen causes a disease which is treated by erythromycin but not aminoglycoside?,bartonella
What pathogen causes a disease which is treated by erythromycin but not ciprofloxacin?,bartonella
What pathogen causes a disease which is treated by erythromycin but not azithromycin?,bartonella
What pathogen causes a disease which is treated by azithromycin but not ciprofloxacin?,bartonella
What pathogen causes a disease which is treated by gentamicin but not moxifloxacin?,bartonella
What pathogen causes a disease which is treated by gentamicin but not clarithromycin?,bartonella
What pathogen causes a disease which is treated by gentamicin but not ceftriaxone?,bartonella
What pathogen causes a disease which is treated by gentamicin but not levofloxacin?,bartonella
What pathogen causes a disease which is treated by gentamicin but not vancomycin?,bartonella
What pathogen causes a disease which is treated by gentamicin but not trimethoprim?,bartonella
What pathogen causes a disease which is treated by gentamicin but not metronidazole?,bartonella
What pathogen causes a disease which is treated by gentamicin but not aminoglycoside?,bartonella
What pathogen causes a disease which is treated by gentamicin but not ciprofloxacin?,bartonella
What pathogen causes a disease which is treated by gentamicin but not erythromycin?,bartonella
What pathogen causes a disease which is treated by gentamicin but not azithromycin?,bartonella
What pathogen causes a disease which is treated by gentamicin but not fidaxomicin?,bartonella
