document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
102,What are the roles in the agreement of the company where jeffry r keyes is employed?,"administrative borrower, borrowers",2,0,1
102,What are the roles in the agreement of the company where kathy r plisko is employed?,"administrative agent, arranger, book runner, lender, sole book runner",2,0,1
116,What are the roles in the agreement of the company where nicholas jordan is employed?,"administrative agent, arranger, issuing lender",2,0,1
117,What are the roles in the agreement of the company where michael snook is employed?,"lender, syndication agent",2,0,1
117,What are the roles in the agreement of the company where lynn braun is employed?,"administrative agent, arranger, bookrunner, issuing lender, swing line lender",2,0,1
117,What are the roles in the agreement of the company where dawn mace moore is employed?,"agent, lender",2,0,1
16,What are the roles in the agreement of the company where christopher a arnold is employed?,"lender, term agent",2,0,1
28,What are the roles in the agreement of the company where pedro gonzalez de cosio is employed?,"collateral agent, lender",2,0,1
129,What are the roles in the agreement of the company where elizabeth a jordan is employed?,"administrative agent, issuing bank",2,0,1
101,What are the roles in the agreement of the company where deborah t purvin is employed?,"administrative agent, arranger, l c issuer, lender, sole book runner",2,0,1
100,What are the roles in the agreement of the company where min park is employed?,"agent, lender",2,0,1
100,What are the roles in the agreement of the company where ray aguilar is employed?,"administrative agent, issuing lender, swingline lender",2,0,1
114,What are the roles in the agreement of the company where peter feret is employed?,"borrower, borrowers",2,0,1
128,What are the roles in the agreement of the company where ryan zimmerman is employed?,"administrative agent, arranger, bookrunners",2,0,1
29,What are the roles in the agreement of the company where efrain rivera is employed?,"parent, parent borrower",2,0,1
39,What are the roles in the agreement of the company where james foley is employed?,"co collateral agent, lender",2,0,1
39,What are the roles in the agreement of the company where david b thayer is employed?,"administrative agent, co collateral agent, lender",2,0,1
110,What are the roles in the agreement of the company where dave katz is employed?,"arrangers, bookrunners",2,0,1
110,What are the roles in the agreement of the company where traci bankston is employed?,"arrangers, bookrunners",2,0,1
110,What are the roles in the agreement of the company where nathan starr is employed?,"administrative agent, syndication agent",2,0,1
110,What are the roles in the agreement of the company where donna demagistris is employed?,"agent, arrangers, bookrunners",2,0,1
138,What are the roles in the agreement of the company where christopher harahan is employed?,"agent, joint bookrunners, lender",2,0,1
138,What are the roles in the agreement of the company where nicolas zitelli is employed?,"administrative agent, lender",2,0,1
139,What are the roles in the agreement of the company where eric ridgway is employed?,"administrative agent, lender, syndication agent",2,0,1
139,What are the roles in the agreement of the company where bruce s borden is employed?,"agent, lender",2,0,1
139,What are the roles in the agreement of the company where jay a brown is employed?,"borrower, lenders",2,0,1
111,What are the roles in the agreement of the company where jennifer miu is employed?,"guarantor, guarantors",2,0,1
111,What are the roles in the agreement of the company where clive paul thomas is employed?,"guarantor, guarantors",2,0,1
111,What are the roles in the agreement of the company where duncan scott is employed?,"guarantor, guarantors",2,0,1
111,What are the roles in the agreement of the company where bill seabrook is employed?,"arrangers, bookrunners, lender",2,0,1
111,What are the roles in the agreement of the company where doug kennedy is employed?,"administrative agent, co syndication agent, lender",2,0,1
111,What are the roles in the agreement of the company where william r goley is employed?,"administrative agent, agent, lender",2,0,1
10,What are the roles in the agreement of the company where susan khokher is employed?,"administrative agent, lender issuing bank",2,0,1
10,What are the roles in the agreement of the company where alex figueroa is employed?,"administrative agent, lender issuing bank",2,0,1
38,What are the roles in the agreement of the company where kenneth phelan is employed?,"co documentation agents, lender",2,0,1
38,What are the roles in the agreement of the company where maureen maroney is employed?,"co documentation agents, lender",2,0,1
38,What are the roles in the agreement of the company where donna demagistris is employed?,"arranger, bookrunners, co documentation agents, lender",2,0,1
38,What are the roles in the agreement of the company where sherwin brandford is employed?,"arranger, bookrunners, co documentation agents, lender",2,0,1
38,What are the roles in the agreement of the company where borden tennant is employed?,"lender, syndication agent",2,0,1
38,What are the roles in the agreement of the company where dave katz is employed?,"administrative agent, lender",2,0,1
12,What are the roles in the agreement of the company where tracy rahn is employed?,"administrative agent, lender",2,0,1
107,What are the roles in the agreement of the company where paul mcfeeters is employed?,"domestic guarantor, grantor",2,0,1
107,What are the roles in the agreement of the company where ritam bhalla is employed?,"administrative agent, arranger, collateral agent, intercreditor agent, lead arrangers, lender",2,0,1
112,What are the roles in the agreement of the company where robert c megan is employed?,"lender, syndication agent",2,0,1
112,What are the roles in the agreement of the company where amy u lessner is employed?,"administrative agent, arrangers, bookrunners, lender",2,0,1
106,What are the roles in the agreement of the company where vanessa a kurbatskiy is employed?,"arranger, arrangers, bookrunner, bookrunners, lender",2,0,1
106,What are the roles in the agreement of the company where robert ehudin is employed?,"arranger, arrangers, bookrunner, bookrunners, lender",2,0,1
106,What are the roles in the agreement of the company where clint c freeland is employed?,"borrower, lenders, subordinated borrowers",2,0,1
106,What are the roles in the agreement of the company where thomas casey is employed?,"administrative agent, collateral trustee, lender",2,0,1
106,What are the roles in the agreement of the company where ann hurley is employed?,"administrative agent, collateral trustee, lender",2,0,1
60,What are the roles in the agreement of the company where patrick hartweger is employed?,"agents, arrangers, bookrunners",2,0,1
60,What are the roles in the agreement of the company where joshua dearmon is employed?,"agents, arrangers, bookrunners",2,0,1
60,What are the roles in the agreement of the company where anthony galea is employed?,"agents, arrangers, bookrunners",2,0,1
60,What are the roles in the agreement of the company where tracy rahn is employed?,"agents, arrangers",2,0,1
60,What are the roles in the agreement of the company where oscar cortez is employed?,"arrangers, bookrunners",2,0,1
60,What are the roles in the agreement of the company where jason rinne is employed?,"agents, arrangers, bookrunners",2,0,1
60,What are the roles in the agreement of the company where lukas coleman is employed?,"agents, arrangers, bookrunners",2,0,1
60,What are the roles in the agreement of the company where susan m olsen is employed?,"administrative agent, arrangers, bookrunners",2,0,1
74,What are the roles in the agreement of the company where jon singer is employed?,"arrangers, bookrunners",2,0,1
74,What are the roles in the agreement of the company where stacy moritz is employed?,"arrangers, bookrunners",2,0,1
74,What are the roles in the agreement of the company where todd m koetje is employed?,"arrangers, bookrunners",2,0,1
74,What are the roles in the agreement of the company where jeff kalinowski is employed?,"administrative agent, lc issuer",2,0,1
149,What are the roles in the agreement of the company where michelle handy is employed?,"administrative agent, collateral agent, lead arranger",2,0,1
161,What are the roles in the agreement of the company where joe white is employed?,"co syndication agents, joint lead arrangers, lender",2,0,1
161,What are the roles in the agreement of the company where ryan almond is employed?,"co syndication agents, lender",2,0,1
160,What are the roles in the agreement of the company where martin corrigan is employed?,"administrative agent, issuing bank, joint bookrunners, joint lead arrangers",2,0,1
160,What are the roles in the agreement of the company where helen d davis is employed?,"issuing bank, joint bookrunners, joint lead arrangers",2,0,1
148,What are the roles in the agreement of the company where jonathan eady is employed?,"documentation agents, lender",2,0,1
148,What are the roles in the agreement of the company where emily chott is employed?,"co syndication agents, lender",2,0,1
148,What are the roles in the agreement of the company where todd kennedy is employed?,"documentation agents, lender",2,0,1
148,What are the roles in the agreement of the company where jonathan f lindvall is employed?,"documentation agents, lender",2,0,1
148,What are the roles in the agreement of the company where mukesh singh is employed?,"administrative agent, lender",2,0,1
148,What are the roles in the agreement of the company where liliana claar is employed?,"administrative agent, lender",2,0,1
148,What are the roles in the agreement of the company where karim remtoula is employed?,"co syndication agents, lender",2,0,1
148,What are the roles in the agreement of the company where p nicholas rogers is employed?,"co syndication agents, lender",2,0,1
61,What are the roles in the agreement of the company where maria riaz is employed?,"agent, lender",2,0,1
61,What are the roles in the agreement of the company where christopher shafto is employed?,"agent, lender",2,0,1
61,What are the roles in the agreement of the company where jim cahow is employed?,"agent, lender",2,0,1
61,What are the roles in the agreement of the company where bridgett j manduk mowry is employed?,"administrative agent, lender",2,0,1
61,What are the roles in the agreement of the company where amanuel assefa is employed?,"administrative agent, lender",2,0,1
61,What are the roles in the agreement of the company where gregory paul is employed?,"lender, syndication agent",2,0,1
61,What are the roles in the agreement of the company where liz cheng is employed?,"lender, syndication agent",2,0,1
77,What are the roles in the agreement of the company where mark hardison is employed?,"co syndication agent, lender",2,0,1
77,What are the roles in the agreement of the company where rebecca kratz is employed?,"co documentation agent, lender",2,0,1
77,What are the roles in the agreement of the company where teuta ghilaga is employed?,"co syndication agent, joint lead arrangers, lender, oint bookrunners",2,0,1
77,What are the roles in the agreement of the company where katherine bass is employed?,"co syndication agent, lender",2,0,1
77,What are the roles in the agreement of the company where david c mruk is employed?,"co documentation agent, lender",2,0,1
77,What are the roles in the agreement of the company where matthew olson is employed?,"co syndication agent, lender",2,0,1
77,What are the roles in the agreement of the company where hector j varona is employed?,"administrative agent, issuing bank, lender",2,0,1
88,What are the roles in the agreement of the company where westley white is employed?,"agent, issuing bank, lender, swing line lender",2,0,1
162,What are the roles in the agreement of the company where mark d andrews is employed?,"guarantor, holdings",2,0,1
162,What are the roles in the agreement of the company where ivan davey is employed?,"administrative agent, joint bookrunners, joint lead arrangers, lender",2,0,1
163,What are the roles in the agreement of the company where brian m carolan is employed?,"borrower, lenders",2,0,1
163,What are the roles in the agreement of the company where david tepper is employed?,"administrative agent, issuing bank, lender, sole bookrunner, swingline lender",2,0,1
89,What are the roles in the agreement of the company where sabir hashmy is employed?,"administrative agent, arrangers, bookrunners",2,0,1
62,What are the roles in the agreement of the company where pradeep mehra is employed?,"arranger, bookrunner",2,0,1
76,What are the roles in the agreement of the company where jonathon rauen is employed?,"administrative agent, arrangers, bookrunners, collateral agent",2,0,1
72,What are the roles in the agreement of the company where ryan durkin is employed?,"arrangers, book runners, syndication agents",2,0,1
72,What are the roles in the agreement of the company where kay reedy is employed?,"book runners, lead arrangers",2,0,1
72,What are the roles in the agreement of the company where john summers is employed?,"arrangers, book runners",2,0,1
66,What are the roles in the agreement of the company where ronnie glenn is employed?,"agents, arrangers, bookrunners, issuing lender",2,0,1
66,What are the roles in the agreement of the company where james riley is employed?,"revolver, term loan a lender",2,0,1
66,What are the roles in the agreement of the company where kevin wood is employed?,"agents, arrangers, bookrunners, lender",2,0,1
66,What are the roles in the agreement of the company where tom priedeman is employed?,"agents, arrangers, bookrunners, lender",2,0,1
66,What are the roles in the agreement of the company where darin mullis is employed?,"agent, lender",2,0,1
99,What are the roles in the agreement of the company where scott c tocci is employed?,"agent, lender",2,0,1
99,What are the roles in the agreement of the company where henry spark is employed?,"agent, lender",2,0,1
99,What are the roles in the agreement of the company where christine howatt is employed?,"agent, lender",2,0,1
99,What are the roles in the agreement of the company where steven dixon is employed?,"agent, lender",2,0,1
99,What are the roles in the agreement of the company where stephen a leon is employed?,"administrative agent, bank, collateral agent, lender",2,0,1
167,What are the roles in the agreement of the company where shelley a mcgregor is employed?,"administrative agent, l c issuer, lender, swingline lender",2,0,1
166,What are the roles in the agreement of the company where carl roberts is employed?,"bookrunners, lead arrangers, lender",2,0,1
166,What are the roles in the agreement of the company where mark pope is employed?,"bookrunners, lender",2,0,1
166,What are the roles in the agreement of the company where sanjay jha is employed?,"bookrunners, lead arrangers, lender",2,0,1
166,What are the roles in the agreement of the company where chirag shah is employed?,"guarantor, mortgagor",2,0,1
166,What are the roles in the agreement of the company where r srinivasa sekaran is employed?,"bookrunners, lender",2,0,1
166,What are the roles in the agreement of the company where suguru hattori is employed?,"bookrunners, lender",2,0,1
166,What are the roles in the agreement of the company where sudip kumar ghatak is employed?,"bookrunners, lead arrangers, lender",2,0,1
