document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
102,In what organization does adam finerman work?,olshan frome wolosky llp,1,0,0
102,In what organization does katherine bell work?,paul hastings llp,1,0,0
102,In what organization does kathy r plisko work?,wells fargo bank national association,1,0,0
116,In what organization does nicholas jordan work?,cibc bank usa,1,0,0
116,In what organization does orit mizrachi work?,morgan stanley direct lending fund,1,0,0
116,In what organization does venu rathi work?,morgan stanley direct lending fund,1,0,0
116,In what organization does venugopal rathi work?,morgan stanley direct lending fund,1,0,0
117,In what organization does chris burns work?,hsbc bank usa national association,1,0,0
117,In what organization does dawn mace moore work?,wells fargo bank national association,1,0,0
117,In what organization does jim a swanson work?,columbia sportswear company,1,0,0
117,In what organization does kirsten jakobsen work?,royal bank of canada,1,0,0
117,In what organization does lynn braun work?,jpmorgan chase bank na,1,0,0
117,In what organization does michael snook work?,bank of america na,1,0,0
103,In what organization does gavin baiera work?,angelo gordonand co lp,1,0,0
103,In what organization does matthew trybula work?,cortland capital market services llc,1,0,0
103,In what organization does paul a barker work?,claires luxembourg sa rl,1,0,0
103,In what organization does stephen sernett work?,claires gibraltar holdings limited,1,0,0
14,In what organization does james harris work?,pacific drilling sa,1,0,0
129,In what organization does elizabeth a jordan work?,jpmorgan chase bank na,1,0,0
115,In what organization does adam rose work?,bank of america na,1,0,0
101,In what organization does deborah t purvin work?,texas capital bank national association,1,0,0
101,In what organization does spencer sockwell work?,legacytexas bank,1,0,0
101,In what organization does stanton m nelson work?,foundation healthcare inc,1,0,0
100,In what organization does alexis coyle work?,east west bank,1,0,0
100,In what organization does christopher m ames work?,hsbc bank usa,1,0,0
100,In what organization does dan johnston work?,omnicellinc,1,0,0
100,In what organization does darran wee work?,citizens bank national association,1,0,0
100,In what organization does lee merkle raymond work?,bank of the west,1,0,0
100,In what organization does mark strzynski work?,comerica bank,1,0,0
100,In what organization does marshall trenckmann work?,jpmorgan chase bank,1,0,0
100,In what organization does min park work?,suntrust bank,1,0,0
100,In what organization does peter kuipers work?,omnicellinc,1,0,0
100,In what organization does ray aguilar work?,wells fargo bank national association,1,0,0
100,In what organization does sony ben moshe work?,lathamand watkins llp,1,0,0
100,In what organization does teuta ghilaga work?,mufg union bank,1,0,0
100,In what organization does thomas avery work?,fifth third bank,1,0,0
100,In what organization does tyler j mei work?,bbva compass,1,0,0
114,In what organization does maurice amsellem work?,apollo capital management gp llc,1,0,0
128,In what organization does derek jensen work?,wells fargo bank national association,1,0,0
128,In what organization does frank pelzer work?,f5 networks inc,1,0,0
128,In what organization does gill skala work?,barclays bank plc,1,0,0
128,In what organization does leni preciado work?,bank of the west,1,0,0
128,In what organization does mario de luca work?,silicon valley bank,1,0,0
128,In what organization does nicholas heslip work?,royal bank of canada,1,0,0
128,In what organization does ryan zimmerman work?,jpmorgan chase bank na,1,0,0
128,In what organization does timothy g holsapple work?,bank of america na,1,0,0
29,In what organization does efrain rivera work?,paychex inc,1,0,0
15,In what organization does jared randall work?,ubs ag,1,0,0
15,In what organization does racquel ac small work?,ubs ag,1,0,0
15,In what organization does shawn matthews work?,2477 deerfield drive llc,1,0,0
39,In what organization does david b thayer work?,pnc bank national association,1,0,0
39,In what organization does james foley work?,bank of america na,1,0,0
11,In what organization does carolyn kee work?,citibank na,1,0,0
11,In what organization does craig malloy work?,barclays bank plc,1,0,0
11,In what organization does john j tus work?,honeywell international inc,1,0,0
11,In what organization does mukesh singh work?,bank of america na,1,0,0
11,In what organization does robert ehudin work?,goldman sachs bank usa,1,0,0
11,In what organization does virginia cosenza work?,deutsche bank ag new york branch,1,0,0
110,In what organization does alan dawson work?,the bank of nova scotia houston branch,1,0,0
110,In what organization does alia qaddumi work?,bank of america na,1,0,0
110,In what organization does annie dorval work?,the toronto dominion bank new york branch,1,0,0
110,In what organization does brendan heneghan work?,bnp paribas,1,0,0
110,In what organization does dave katz work?,jpmorgan chase bank na,1,0,0
110,In what organization does david l berger work?,bnp paribas,1,0,0
110,In what organization does donna demagistris work?,mizuho bank ltd,1,0,0
110,In what organization does houssem daly work?,ubs ag stamford branch,1,0,0
110,In what organization does jason s york work?,royal bank of canada,1,0,0
110,In what organization does john prigge work?,us bank national association,1,0,0
110,In what organization does josh rosenthal work?,goldman sachs bank usa,1,0,0
110,In what organization does kenneth chin work?,ubs ag stamford branch,1,0,0
110,In what organization does michael zeller work?,citibank na,1,0,0
110,In what organization does nathan starr work?,wells fargo bank national association,1,0,0
110,In what organization does peter gilgen work?,mplx gp llc,1,0,0
110,In what organization does stephen hoffman work?,the huntington national bank,1,0,0
110,In what organization does stephen monto work?,pnc bank national association,1,0,0
110,In what organization does sydney g dennis work?,barclays bank plc,1,0,0
110,In what organization does traci bankston work?,the bank of tokyo mitsubishi ufj ltd,1,0,0
110,In what organization does yann pirio work?,suntrust bank,1,0,0
104,In what organization does andre s valentine work?,convergys corporation,1,0,0
104,In what organization does david r wiedwald work?,convergys corporation,1,0,0
104,In what organization does diane emanuel work?,the bank of nova scotia,1,0,0
104,In what organization does jeffrey p fisher work?,pnc bank national association,1,0,0
104,In what organization does john di legge work?,the northern trust company,1,0,0
104,In what organization does kyle r holtz work?,wells fargo bank national association,1,0,0
104,In what organization does lillian kim work?,the bank of tokyo mitsubishi ufj ltd,1,0,0
104,In what organization does mark irey work?,us bank national association,1,0,0
104,In what organization does maurici lladó work?,banco de sabadell sa miami branch,1,0,0
104,In what organization does michael vondriska work?,citibank na,1,0,0
104,In what organization does robert kling work?,bank of america na,1,0,0
104,In what organization does ryan durkin work?,goldman sachs bank usa,1,0,0
104,In what organization does sherlyn nelson work?,the huntington national bank,1,0,0
104,In what organization does steven aloupis work?,standard chartered bank,1,0,0
104,In what organization does ted koerner work?,cobank acb,1,0,0
104,In what organization does william w carroll work?,associated bank na,1,0,0
138,In what organization does adeel khan work?,rexford industrial realty lp,1,0,0
138,In what organization does christopher harahan work?,us bank national association,1,0,0
138,In what organization does frederick h denecke work?,capital one national association,1,0,0
138,In what organization does nicolas zitelli work?,pnc bank national association,1,0,0
139,In what organization does arthur chen work?,land bank of taiwan new york branch,1,0,0
139,In what organization does bertram h tang work?,mizuho bank ltd,1,0,0
139,In what organization does bruce s borden work?,jpmorgan chase bank na,1,0,0
139,In what organization does christopher keenan work?,pnc bank national association,1,0,0
139,In what organization does cynthia w burton work?,suntrust bank,1,0,0
139,In what organization does david clark work?,citizens bank na,1,0,0
139,In what organization does david w kee work?,sumitomo mitsui banking corporation,1,0,0
139,In what organization does eric ridgway work?,bank of america na,1,0,0
139,In what organization does glen mastey work?,fifth third bank,1,0,0
139,In what organization does jay a brown work?,crown castle international corp,1,0,0
139,In what organization does kestrina budina work?,crédit agricole corporate and investment bank,1,0,0
139,In what organization does lennie blakeslee work?,cobank acb,1,0,0
139,In what organization does linda tam work?,societe generale,1,0,0
139,In what organization does michael vondriska work?,citibank na,1,0,0
139,In what organization does ola anderssen work?,the bank of tokyo mitsubishi ufj ltd,1,0,0
139,In what organization does peter c rogers work?,wells fargo bank na,1,0,0
139,In what organization does ronnie glenn work?,barclays bank plc,1,0,0
139,In what organization does savo bozic work?,toronto dominion new york llc,1,0,0
139,In what organization does sheldon pinto work?,royal bank of canada,1,0,0
139,In what organization does shivani agarwal work?,td bank na,1,0,0
139,In what organization does tanya crossley work?,crédit agricole corporate and investment bank,1,0,0
105,In what organization does gary s loffredo work?,cinedigm corp,1,0,0
105,In what organization does xu peixin work?,bison entertainment and media group,1,0,0
111,In what organization does bill seabrook work?,national australia bank limited,1,0,0
111,In what organization does clive paul thomas work?,enstar us asia pac holdings limited,1,0,0
111,In what organization does doug kennedy work?,suntrust bank,1,0,0
111,In what organization does duncan scott work?,kenmare holdings ltd,1,0,0
111,In what organization does eoin naughton work?,barclays bank plc,1,0,0
111,In what organization does guy bowker work?,enstar group limited,1,0,0
111,In what organization does hector j varona work?,jpmorgan chase bank na,1,0,0
111,In what organization does kevin chan work?,the bank of nova scotia,1,0,0
111,In what organization does louise twiss west work?,hsbc bank bermuda limited,1,0,0
111,In what organization does neville grant work?,hsbc bank bermuda limited,1,0,0
111,In what organization does william r goley work?,wells fargo bank national association,1,0,0
10,In what organization does alex figueroa work?,royal bank of canada,1,0,0
10,In what organization does kenise henry larmond work?,jpmorgan chase bank na,1,0,0
10,In what organization does michael king work?,morgan stanley senior fundinginc,1,0,0
10,In what organization does rodney beeks work?,bank of america na,1,0,0
10,In what organization does shane m leary work?,keybank national association,1,0,0
10,In what organization does susan khokher work?,royal bank of canada,1,0,0
10,In what organization does terence f sullivan work?,victory capital holdingsinc,1,0,0
38,In what organization does albert l richey work?,anadarko petroleum corporation,1,0,0
38,In what organization does ann rhoads work?,bnp paribas,1,0,0
38,In what organization does borden tennant work?,wells fargo bank national association,1,0,0
38,In what organization does dave katz work?,jpmorgan chase bank na,1,0,0
38,In what organization does david kee work?,sumitomo mitsui banking corporation,1,0,0
38,In what organization does dennis petito work?,credit agricole corporate and investment,1,0,0
38,In what organization does diego medina work?,societe generale,1,0,0
38,In what organization does donna demagistris work?,mizuho bank ltd,1,0,0
38,In what organization does houssem daly work?,ubs ag,1,0,0
38,In what organization does hussam s alsahlani work?,the bank of new york mellon,1,0,0
38,In what organization does j frazell work?,the bank of nova scotia,1,0,0
38,In what organization does jamie grubb work?,dnb capital llc,1,0,0
38,In what organization does joe hykle work?,dnb capital llc,1,0,0
38,In what organization does kenneth chin work?,ubs ag,1,0,0
38,In what organization does kenneth phelan work?,bank of america na,1,0,0
38,In what organization does maureen maroney work?,citibank na,1,0,0
38,In what organization does michael king work?,morgan stanley bank na,1,0,0
38,In what organization does michael willis work?,credit agricole corporate and investment,1,0,0
38,In what organization does ming k chu work?,deutsche bank ag,1,0,0
38,In what organization does nupur kumar work?,credit suisse ag,1,0,0
38,In what organization does pablo gonzalez spahr work?,the standard bank of south africa limited,1,0,0
38,In what organization does rebecca kratz work?,goldman sachs bank usa,1,0,0
38,In what organization does ross levitsky work?,deutsche bank ag,1,0,0
38,In what organization does sherwin brandford work?,the bank of tokyo mitsubishi ufj ltd,1,0,0
38,In what organization does sriram chandrasekaran work?,bnp paribas,1,0,0
