document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
84,What is the position held by Alexander Wu but not by Chwan-Ming Ho or Edward Chen?,SVP,1,3,0
84,What is the position held by Alexander Wu but not by Chwan-Ming Ho or Li Hua Huang?,SVP,1,3,0
84,What is the position held by Alexander Wu but not by Chwan-Ming Ho or Michael A. Crabtree?,SVP,1,3,0
84,What is the position held by Alexander Wu but not by Chwan-Ming Ho or Mr. George L. Chapman?,SVP,1,3,0
84,What is the position held by Alexander Wu but not by Edward Chen or Li Hua Huang?,SVP,1,3,0
84,What is the position held by Alexander Wu but not by Edward Chen or Michael A. Crabtree?,SVP,1,3,0
84,What is the position held by Alexander Wu but not by Edward Chen or Mr. George L. Chapman?,SVP,1,3,0
84,What is the position held by Alexander Wu but not by Li Hua Huang or Michael A. Crabtree?,SVP,1,3,0
84,What is the position held by Alexander Wu but not by Li Hua Huang or Mr. George L. Chapman?,SVP,1,3,0
121,What is the position held by Angela Chen but not by Jane Chang or Kefel Xu?,DGM,1,3,0
121,What is the position held by Angela Chen but not by Jane Chang or Paul Hultgren?,DGM,1,3,0
121,What is the position held by Angela Chen but not by Jane Chang or Peter C. Underwood?,DGM,1,3,0
121,What is the position held by Kefel Xu but not by Paul Hultgren or Peter C. Underwood?,Branch Manager,1,3,0
117,What is the position held by Chris Burns and Dawn Mace Moore but not by Michael Snook?,Senior Vice President,1,3,0
103,What is the position held by Scott Huckins and Stephen Sernett but not by Stuart Brown?,Director,1,3,0
100,What is the position held by Mark Strzynski and Min Park but not by Dan Johnston?,Vice President,1,3,0
128,What is the position held by Gill Skala and Leni Preciado but not by Mario De Luca?,Director,1,3,0
11,What is the position held by Carolyn Kee and John J. Tus but not by Virginia Cosenza?,Vice President,1,3,0
110,What is the position held by Alan Dawson and Alia Qaddumi but not by Brendan Heneghan?,Director,1,3,0
110,What is the position held by Alan Dawson and Alia Qaddumi but not by David L. Berger?,Director,1,3,0
110,What is the position held by Alan Dawson and Alia Qaddumi but not by Kenneth Chin?,Director,1,3,0
110,What is the position held by Alan Dawson and Alia Qaddumi but not by Sydney G. Dennis?,Director,1,3,0
110,What is the position held by Alan Dawson and Brendan Heneghan but not by David L. Berger?,Director,1,3,0
110,What is the position held by Alan Dawson and Brendan Heneghan but not by Kenneth Chin?,Director,1,3,0
110,What is the position held by Alan Dawson and Brendan Heneghan but not by Sydney G. Dennis?,Director,1,3,0
110,What is the position held by Alan Dawson and David L. Berger but not by Kenneth Chin?,Director,1,3,0
110,What is the position held by Alan Dawson and David L. Berger but not by Sydney G. Dennis?,Director,1,3,0
110,What is the position held by Alan Dawson and Kenneth Chin but not by Sydney G. Dennis?,Director,1,3,0
110,What is the position held by Alia Qaddumi and Brendan Heneghan but not by David L. Berger?,Director,1,3,0
110,What is the position held by Alia Qaddumi and Brendan Heneghan but not by Kenneth Chin?,Director,1,3,0
110,What is the position held by Alia Qaddumi and Brendan Heneghan but not by Sydney G. Dennis?,Director,1,3,0
110,What is the position held by Alia Qaddumi and David L. Berger but not by Kenneth Chin?,Director,1,3,0
110,What is the position held by Alia Qaddumi and David L. Berger but not by Sydney G. Dennis?,Director,1,3,0
110,What is the position held by Alia Qaddumi and Kenneth Chin but not by Sydney G. Dennis?,Director,1,3,0
110,What is the position held by Annie Dorval and Donna DeMagistris but not by Jason S. York?,Authorized Signatory,1,3,0
110,What is the position held by Annie Dorval and Donna DeMagistris but not by Josh Rosenthal?,Authorized Signatory,1,3,0
110,What is the position held by Annie Dorval and Jason S. York but not by Josh Rosenthal?,Authorized Signatory,1,3,0
110,What is the position held by Brendan Heneghan and David L. Berger but not by Kenneth Chin?,Director,1,3,0
110,What is the position held by Brendan Heneghan and David L. Berger but not by Sydney G. Dennis?,Director,1,3,0
110,What is the position held by Brendan Heneghan and Kenneth Chin but not by Sydney G. Dennis?,Director,1,3,0
110,What is the position held by David L. Berger and Kenneth Chin but not by Sydney G. Dennis?,Director,1,3,0
110,What is the position held by Donna DeMagistris and Jason S. York but not by Josh Rosenthal?,Authorized Signatory,1,3,0
110,What is the position held by Michael Zeller and Nathan Starr but not by Traci Bankston?,Vice President,1,3,0
104,What is the position held by Diane Emanuel and Steven Aloupis but not by Ted Koerner?,Managing Director,1,3,0
104,What is the position held by Jeffrey P. Fisher and John Di Legge but not by Mark Irey?,Vice President,1,3,0
104,What is the position held by Jeffrey P. Fisher and John Di Legge but not by Michael Vondriska?,Vice President,1,3,0
104,What is the position held by Jeffrey P. Fisher and John Di Legge but not by Robert Kling?,Vice President,1,3,0
104,What is the position held by Jeffrey P. Fisher and John Di Legge but not by Sherlyn Nelson?,Vice President,1,3,0
104,What is the position held by Jeffrey P. Fisher and Mark Irey but not by Michael Vondriska?,Vice President,1,3,0
104,What is the position held by Jeffrey P. Fisher and Mark Irey but not by Robert Kling?,Vice President,1,3,0
104,What is the position held by Jeffrey P. Fisher and Mark Irey but not by Sherlyn Nelson?,Vice President,1,3,0
104,What is the position held by Jeffrey P. Fisher and Michael Vondriska but not by Robert Kling?,Vice President,1,3,0
104,What is the position held by Jeffrey P. Fisher and Michael Vondriska but not by Sherlyn Nelson?,Vice President,1,3,0
104,What is the position held by Jeffrey P. Fisher and Robert Kling but not by Sherlyn Nelson?,Vice President,1,3,0
104,What is the position held by John Di Legge and Mark Irey but not by Michael Vondriska?,Vice President,1,3,0
104,What is the position held by John Di Legge and Mark Irey but not by Robert Kling?,Vice President,1,3,0
104,What is the position held by John Di Legge and Mark Irey but not by Sherlyn Nelson?,Vice President,1,3,0
104,What is the position held by John Di Legge and Michael Vondriska but not by Robert Kling?,Vice President,1,3,0
104,What is the position held by John Di Legge and Michael Vondriska but not by Sherlyn Nelson?,Vice President,1,3,0
104,What is the position held by John Di Legge and Robert Kling but not by Sherlyn Nelson?,Vice President,1,3,0
104,What is the position held by Mark Irey and Michael Vondriska but not by Robert Kling?,Vice President,1,3,0
104,What is the position held by Mark Irey and Michael Vondriska but not by Sherlyn Nelson?,Vice President,1,3,0
104,What is the position held by Mark Irey and Robert Kling but not by Sherlyn Nelson?,Vice President,1,3,0
104,What is the position held by Michael Vondriska and Robert Kling but not by Sherlyn Nelson?,Vice President,1,3,0
111,What is the position held by Bill Seabrook and Clive Paul Thomas but not by Doug Kennedy?,Director,1,3,0
111,What is the position held by Bill Seabrook and Clive Paul Thomas but not by Duncan Scott?,Director,1,3,0
111,What is the position held by Bill Seabrook and Clive Paul Thomas but not by Eoin Naughton?,Director,1,3,0
111,What is the position held by Bill Seabrook and Clive Paul Thomas but not by Kevin Chan?,Director,1,3,0
111,What is the position held by Bill Seabrook and Doug Kennedy but not by Duncan Scott?,Director,1,3,0
111,What is the position held by Bill Seabrook and Doug Kennedy but not by Eoin Naughton?,Director,1,3,0
111,What is the position held by Bill Seabrook and Doug Kennedy but not by Kevin Chan?,Director,1,3,0
111,What is the position held by Bill Seabrook and Duncan Scott but not by Eoin Naughton?,Director,1,3,0
111,What is the position held by Bill Seabrook and Duncan Scott but not by Kevin Chan?,Director,1,3,0
111,What is the position held by Bill Seabrook and Eoin Naughton but not by Kevin Chan?,Director,1,3,0
111,What is the position held by Clive Paul Thomas and Doug Kennedy but not by Duncan Scott?,Director,1,3,0
111,What is the position held by Clive Paul Thomas and Doug Kennedy but not by Eoin Naughton?,Director,1,3,0
111,What is the position held by Clive Paul Thomas and Doug Kennedy but not by Kevin Chan?,Director,1,3,0
111,What is the position held by Clive Paul Thomas and Duncan Scott but not by Eoin Naughton?,Director,1,3,0
111,What is the position held by Clive Paul Thomas and Duncan Scott but not by Kevin Chan?,Director,1,3,0
111,What is the position held by Clive Paul Thomas and Eoin Naughton but not by Kevin Chan?,Director,1,3,0
111,What is the position held by Doug Kennedy and Duncan Scott but not by Eoin Naughton?,Director,1,3,0
111,What is the position held by Doug Kennedy and Duncan Scott but not by Kevin Chan?,Director,1,3,0
111,What is the position held by Doug Kennedy and Eoin Naughton but not by Kevin Chan?,Director,1,3,0
111,What is the position held by Duncan Scott and Eoin Naughton but not by Kevin Chan?,Director,1,3,0
10,What is the position held by Kenise Henry Larmond and Michael King but not by Shane M. Leary?,Vice President,1,3,0
38,What is the position held by Dennis Petito and Ann Rhoads but not by David Kee?,Managing Director,1,3,0
38,What is the position held by Dennis Petito and Ann Rhoads but not by Michael Willis?,Managing Director,1,3,0
38,What is the position held by Dennis Petito and Ann Rhoads but not by Ross Levitsky?,Managing Director,1,3,0
38,What is the position held by Dennis Petito and David Kee but not by Michael Willis?,Managing Director,1,3,0
38,What is the position held by Dennis Petito and David Kee but not by Ross Levitsky?,Managing Director,1,3,0
