document_number,f1_score,edit_distance,cosine_similarity,llm_as_a_judge,num_questions
47,0.6666666666666666,0.25641025641025644,0.6666666666666669,3.6666666666666665,3
60,0.1859154929577465,0.7457552331533058,0.08941006785618895,3.2253521126760565,71
61,0.0,0.8220779220779221,0.0,1.0,5
83,0.4375,0.7655344655344656,0.41701211590953224,2.625,8
84,0.06666666666666667,0.7803418803418803,0.0,1.0,5
107,0.0,0.8948363095238095,0.0,1.0,6
121,0.1,0.8372581056714183,0.10000000000000002,1.4,10
135,0.0,0.8125,0.0,1.0,12
139,0.1,0.7532843137254902,0.06721938545525151,1.0,5
145,0.68,0.6106546854942233,0.6255783599637643,3.6,5
153,0.0,0.7894736842105263,0.0,1.0,1
166,0.0,0.8655994687573635,0.0,1.0,15
