Unnamed: 0,document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension,llm_response,f1_score,edit_distance,cosine_similarity
58,60,"what is the role and subrole that bank of montreal and fifth third bank, national association share in the agreement that is not held by jpmorgan chase bank, n.a.",documentation agent,1,3,0,"Documentation Agents, Senior Managing Agents",0.3333333333333333,0.4418604651162791,0.161713780662529
59,60,"what is the role and subrole that bank of montreal and fifth third bank, national association share in the agreement that is not held by mufg bank, ltd.",documentation agent,1,3,0,"Documentation Agents, Senior Managing Agents",0.3333333333333333,0.4418604651162791,0.161713780662529
60,60,"what is the role and subrole that bank of montreal and fifth third bank, national association share in the agreement that is not held by pnc capital markets llc",documentation agent,1,3,0,"Documentation Agents, Senior Managing Agents",0.3333333333333333,0.4418604651162791,0.161713780662529
61,60,"what is the role and subrole that bank of montreal and fifth third bank, national association share in the agreement that is not held by wells fargo securities llc",documentation agent,1,3,0,Documentation Agents,0.5,0.95,0.33609692727625756
62,60,"what is the role and subrole that bank of montreal and goldman sachs bank usa share in the agreement that is not held by jpmorgan chase bank, n.a.",documentation agent,1,3,0,"Documentation Agents, Senior Managing Agents",0.3333333333333333,0.4418604651162791,0.161713780662529
63,60,"what is the role and subrole that bank of montreal and goldman sachs bank usa share in the agreement that is not held by mufg bank, ltd.",documentation agent,1,3,0,"Documentation Agents, Senior Managing Agents",0.3333333333333333,0.4418604651162791,0.161713780662529
64,60,what is the role and subrole that bank of montreal and goldman sachs bank usa share in the agreement that is not held by pnc capital markets llc,documentation agent,1,3,0,"Documentation Agents, Senior Managing Agents",0.3333333333333333,0.4418604651162791,0.161713780662529
65,60,what is the role and subrole that bank of montreal and goldman sachs bank usa share in the agreement that is not held by wells fargo securities llc,documentation agent,1,3,0,Documentation Agents,0.5,0.95,0.33609692727625756
66,60,"what is the role and subrole that bank of montreal and pnc bank, national association share in the agreement that is not held by pnc capital markets llc",documentation agent,1,3,0,Senior Managing Agents,0.0,0.4545454545454546,0.0
67,60,"what is the role and subrole that bank of montreal and pnc bank, national association share in the agreement that is not held by wells fargo securities llc",documentation agent,1,3,0,Senior Managing Agents,0.0,0.4545454545454546,0.0
68,60,"what is the role and subrole that bank of montreal and td bank, n.a. share in the agreement that is not held by wells fargo securities llc",documentation agent,1,3,0,Senior Managing Agents,0.0,0.4545454545454546,0.0
69,60,what is the role and subrole that bank of montreal and u.s. bank national association share in the agreement that is not held by wells fargo securities llc,documentation agent,1,3,0,Documentation Agents,0.5,0.95,0.33609692727625756
70,60,"what is the role and subrole that bank of montreal and wells fargo bank, national association share in the agreement that is not held by wells fargo securities llc",documentation agent,1,3,0,Documentation Agents,0.5,0.95,0.33609692727625756
71,60,"what is the role and subrole that u.s. bank national association and wells fargo bank, national association share in the agreement that is not held by wells fargo securities llc",documentation agent,1,3,0,Documentation Agents,0.5,0.95,0.33609692727625756
76,60,"what company is the documentation agent in the agreement, shared by bank of montreal and u.s. bank national association but not held by wells fargo securities llc",bank of montreal,1,3,0,Documentation Agent,0.0,0.1578947368421053,0.0
80,60,"what is the role and subrole that bank of montreal holds in the agreement that is not held by bofa securities, inc. or citibank, n.a.",documentation agent,1,3,0,"Documentation Agent, Senior Managing Agent",0.6666666666666666,0.46341463414634143,0.709052873585664
81,60,"what is the role and subrole that bank of montreal holds in the agreement that is not held by bofa securities, inc. or jpmorgan chase bank, n.a.",documentation agent,1,3,0,"Documentation Agent, Senior Managing Agent",0.6666666666666666,0.46341463414634143,0.709052873585664
82,60,"what is the role and subrole that bank of montreal holds in the agreement that is not held by bofa securities, inc. or mufg bank, ltd.",documentation agent,1,3,0,"Documentation Agent, Senior Managing Agent",0.6666666666666666,0.46341463414634143,0.709052873585664
83,60,"what is the role and subrole that bank of montreal holds in the agreement that is not held by bofa securities, inc. or pnc capital markets llc",documentation agent,1,3,0,"Documentation Agent, Senior Managing Agent",0.6666666666666666,0.46341463414634143,0.709052873585664
84,60,"what is the role and subrole that bank of montreal holds in the agreement that is not held by bofa securities, inc. or wells fargo securities llc",documentation agent,1,3,0,Documentation Agent,1.0,1.0,1.0000000000000002
85,60,"what is the role and subrole that bank of montreal holds in the agreement that is not held by citibank, n.a. or jpmorgan chase bank, n.a.",documentation agent,1,3,0,"Documentation Agent, Senior Managing Agent",0.6666666666666666,0.46341463414634143,0.709052873585664
86,60,"what is the role and subrole that bank of montreal holds in the agreement that is not held by citibank, n.a. or mufg bank, ltd.",documentation agent,1,3,0,"Documentation Agent, Senior Managing Agent",0.6666666666666666,0.46341463414634143,0.709052873585664
87,60,"what is the role and subrole that bank of montreal holds in the agreement that is not held by citibank, n.a. or pnc capital markets llc",documentation agent,1,3,0,"Documentation Agent, Senior Managing Agent",0.6666666666666666,0.46341463414634143,0.709052873585664
