document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
116,"Who are the cfo, chief financial officer, and coo of the company which is the the company in the agreement?","orit mizrachi, venu rathi, venugopal rathi",3,0,1
100,"Who are the chief financial officer, chief legal and administrative officer, executive vice president, and vice president of the company which is the borrower in the agreement?","dan johnston, peter kuipers",3,0,1
10,Who are the authorized signatory and manager agency of the company which is the administrative agent in the agreement?,"alex figueroa, susan khokher",3,0,1
10,Who are the authorized signatory and manager agency of the company which is the lender issuing bank in the agreement?,"alex figueroa, susan khokher",3,0,1
12,"Who are the executive vice president, general counsel, global chief administrative officer, global treasurer, senior managerglobal treasury, senior vice president, and vice president global treasury of the company which is the borrower in the agreement?","aidan clare, gráinne kelly, marco pagni, sara la berg",3,0,1
106,Who are the authorized signatory and manager agency of the company which is the administrative agent in the agreement?,"ann hurley, thomas casey",3,0,1
106,Who are the authorized signatory and manager agency of the company which is the collateral trustee in the agreement?,"ann hurley, thomas casey",3,0,1
48,Who are the treasurer and vice president us law of the company which is the borrower in the agreement?,"chris kaitson, jonathan rose",3,0,1
61,Who are the managing director and vice president of the company which is the syndication agent in the agreement?,"gregory paul, liz cheng",3,0,1
166,"Who are the head crc, legal counsel, and manager crc of the company which is the collateral agent in the agreement?","james perkins, simon williams, valdeep singh",3,0,1
166,"Who are the head crc, legal counsel, and manager crc of the company which is the administrative agent in the agreement?","james perkins, simon williams, valdeep singh",3,0,1
165,Who are the director and vice president of the company which is the administrative agent in the agreement?,"bridgett j manduk mowry, j casey cosgrove",3,0,1
165,"Who are the corporate secretary, general counsel, investor relations officer, treasurer, and vice president of the company which is the company in the agreement?","colleen batcheler, johan nystedt",3,0,1
165,"Who are the corporate secretary, general counsel, investor relations officer, treasurer, and vice president of the company which is the lenders in the agreement?","colleen batcheler, johan nystedt",3,0,1
97,"Who are the authorized signatory, chief counsel hfs real estate, managing director, and vice president of the company which is the administrative agent in the agreement?","dague retzlaff, diana pennington, jeffrey m muchmore",3,0,1
97,"Who are the authorized signatory, chief counsel hfs real estate, managing director, and vice president of the company which is the lender in the agreement?","dague retzlaff, diana pennington, jeffrey m muchmore",3,0,1
142,"Who are the controller, corporate secretary, and principal financial officer of the company which is the borrower in the agreement?","jon a dobson, nathaniel a brown",3,0,1
142,"Who are the corporate secretary, treasurer, vice president finance, and vice president law of the company which is the guarantor in the agreement?","christine r johnston, joel e hunter",3,0,1
156,Who are the director and vice president of the company which is the bookrunners in the agreement?,"christopher cassidy, guelay mese",3,0,1
94,Who are the managing director and vice president of the company which is the agent in the agreement?,"edward t crook, j stéphane lautner",3,0,1
57,Who are the director and vice president of the company which is the swing line lender in the agreement?,"ming k chu, virginia cosenza",3,0,1
57,Who are the director and vice president of the company which is the issuer in the agreement?,"ming k chu, virginia cosenza",3,0,1
84,"Who are the manager, servicing officer, and vice president of the company which is the l c issuer in the agreement?","audrey pishnery, elsa obrien, laura conway",3,0,1
84,"Who are the manager, servicing officer, and vice president of the company which is the swingline lender in the agreement?","audrey pishnery, elsa obrien, laura conway",3,0,1
84,"Who are the manager, servicing officer, and vice president of the company which is the lc issuer in the agreement?","audrey pishnery, elsa obrien, laura conway",3,0,1
84,"Who are the manager, servicing officer, and vice president of the company which is the administrative agent in the agreement?","audrey pishnery, elsa obrien, laura conway",3,0,1
52,"Who are the executive vice president, treasurer, and vice president of tax of the company which is the borrower in the agreement?","charles r conradi, laura stein",3,0,1
44,Who are the senior vice president and vice president of the company which is the l c issuer in the agreement?,"john m hall, maria a mcclain",3,0,1
44,Who are the senior vice president and vice president of the company which is the administrative agent in the agreement?,"john m hall, maria a mcclain",3,0,1
44,Who are the senior vice president and vice president of the company which is the swing line lender lender in the agreement?,"john m hall, maria a mcclain",3,0,1
86,Who are the senior vice president and vice president of the company which is the administrative agent in the agreement?,"julie yamauchi, rosanne parsill",3,0,1
86,Who are the senior vice president and vice president of the company which is the l cissuer in the agreement?,"julie yamauchi, rosanne parsill",3,0,1
86,Who are the senior vice president and vice president of the company which is the swinglinelender in the agreement?,"julie yamauchi, rosanne parsill",3,0,1
3,Who are the avp and vice president of the company which is the administrative agent in the agreement?,"cindy jordan, kyle pearson",3,0,1
45,"Who are the client services representative, portfolio manager, and senior vice president of the company which is the counsel to lender lender in the agreement?","cynthia m olson, eric niedbalski, mark r cousineau",3,0,1
137,Who are the managing director and vice president of the company which is the administrative agent in the agreement?,"james rolison, murray mackinnon",3,0,1
35,Who are the chief financial officer and general counsel of the company which is the borrower in the agreement?,"john p rielly, timothy b goodell",3,0,1
135,Who are the director and vice president of the company which is the administrative agent in the agreement?,"adam h fey, rosanne parsill",3,0,1
34,"Who are the chief financial officer, executive vice president, general counsel, secretary, vice president, and vice president finance and treasurer of the company which is the borrower in the agreement?","cameron m bready, rejji p hayes, wendy a mcintyre",3,0,1
18,Who are the senior vice president and vice president of the company which is the administrative agent in the agreement?,"craig v koshkarian, kevin a stacker",3,0,1
130,Who are the authorized signatory and manager agency services of the company which is the term administrative agent in the agreement?,"john flores, yvonne brazier",3,0,1
31,Who are the authorized signatory and executive director of the company which is the joint book runners in the agreement?,"eoin roche, robert casey",3,0,1
31,Who are the authorized signatory and executive director of the company which is the documentation agents in the agreement?,"eoin roche, robert casey",3,0,1
31,Who are the director and vice president of the company which is the euro swing lender in the agreement?,"anthea del bianco, scott w reynolds",3,0,1
31,Who are the director and vice president of the company which is the administrative agent in the agreement?,"anthea del bianco, scott w reynolds",3,0,1
19,Who are the authorized signatory and manager agency of the company which is the administrative agent in the agreement?,"john flores, rodica dutka",3,0,1
19,Who are the authorized signatory and manager agency of the company which is the issuing bank in the agreement?,"john flores, rodica dutka",3,0,1
127,Who are the assistant vice president and director of the company which is the l c issuer in the agreement?,"darren merten, taelitha bonds harris",3,0,1
127,Who are the assistant vice president and director of the company which is the lenders in the agreement?,"darren merten, taelitha bonds harris",3,0,1
127,Who are the assistant vice president and director of the company which is the administrative agent in the agreement?,"darren merten, taelitha bonds harris",3,0,1
32,Who are the assistant vice president and vice president commercial banking of the company which is the bank in the agreement?,"douglas brandes, todd patchell",3,0,1
32,Who are the assistant vice president and vice president commercial banking of the company which is the joint lead arranger in the agreement?,"douglas brandes, todd patchell",3,0,1
32,Who are the director and director and counsel region americas legal of the company which is the agent in the agreement?,"barbara s wang, john stholl",3,0,1
32,Who are the director and director and counsel region americas legal of the company which is the co documentation agents in the agreement?,"barbara s wang, john stholl",3,0,1
32,Who are the director and director and counsel region americas legal of the company which is the joint lead arrangers in the agreement?,"barbara s wang, john stholl",3,0,1
26,Who are the corporate secretary and treasurer of the company which is the lenders in the agreement?,"jeffreygalik, katherinekelly",3,0,1
