document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
102,What are the positions of Jeffry R. Keyes?,"Chief Financial Officer, President",1,0,1
117,What are the positions of Jim A. Swanson?,"Chief Financial Officer, Executive Vice President",1,0,1
16,What are the positions of Christopher A. Arnold?,"Senior Managing Directo, Senior Managing Director",1,0,1
16,What are the positions of Ian W. Estus?,"Chief Executive Officer, President",1,0,1
28,What are the positions of Joseph Ciaffoni?,"Chief Executive Officer, President",1,0,1
28,What are the positions of Pedro Gonzalez de Cosio?,"CEO, Managing Member",1,0,1
129,What are the positions of Jeffrey Glajch?,"Chief Financial Officer, Secretary",1,0,1
115,What are the positions of Melanie Housey Hart?,"Assistant Secretary, Chief Accounting Officer, President, Secretary, Treasurer",1,0,1
115,What are the positions of Jennifer M. Neil?,"Chief Legal Officer, Secretary, Vice President",1,0,1
100,What are the positions of Dan Johnston?,"Chief Legal and Administrative Officer, Vice President",1,0,1
100,What are the positions of Peter Kuipers?,"Chief Financial Officer, Executive Vice President",1,0,1
100,What are the positions of Ray Aguilar?,"VP%2FRelationship Manager, Vice President%2FRelationship Manager",1,0,1
128,What are the positions of Leni Preciado?,"Director, Market Manager",1,0,1
39,What are the positions of Ross C. Wilkin?,"Chief%09 %09 %09%09 %09%09 %09Finance Officer, Treasurer, Vice President of Finance",1,0,1
11,What are the positions of John J. Tus?,"Treasurer, Vice President",1,0,1
138,What are the positions of Adeel Khan?,"Chief Financial Officer, Chief Financial Officer and Secretary, Secretary",1,0,1
139,What are the positions of Jay A. Brown?,"Chief Financial Officer, Senior Vice President, Treasurer",1,0,1
139,What are the positions of Michael King?,"Authorized Signatory, Vice President",1,0,1
10,What are the positions of Terence F. Sullivan?,"Chief Financial Officer, Treasuruer",1,0,1
38,What are the positions of Albert L. Richey?,"Senior Vice President, Finance, Treasurer",1,0,1
12,What are the positions of Aidan Clare?,"Global Treasurer, Senior Vice President",1,0,1
12,What are the positions of Marco Pagni%3B?,"Executive Vice President,, General Counsel, Global Chief Administrative Officer",1,0,1
107,What are the positions of Paul McFeeters?,"Assistant Treasurer, Chief Administrative Officer, Chief Executive Officer, Chief Financial Officer, Chief Financial Officer, President, Treasurer, Vice President",1,0,1
113,What are the positions of Sonja K. McClelland?,"Manager, Managing Director A and Authorized Representative, Secretary%2FTreasurer",1,0,1
106,What are the positions of Clint C. Freeland?,"Executive Vice President, Chief Financial Officer",1,0,1
106,What are the positions of Kirkwood Roland?,"Director, Vice President",1,0,1
13,What are the positions of Tracy D. Jackson?,"Chief Financial Officer, Executive Vice President",1,0,1
60,What are the positions of Marc H. Crown?,"Senior Vice President, Treasurer",1,0,1
48,What are the positions of Chris Kaitson?,"Corporate Secretary, Vice President %E2%80%93 Law %26 Assistant, Vice President %E2%80%93 US Law",1,0,1
149,What are the positions of Michelle Handy?,"Managing Director, Managing Director, Managing Director",1,0,1
149,What are the positions of Seth Burroughs?,"Executive Vice President, Secretary",1,0,1
160,What are the positions of Robert G. Shaw?,"Managing Director, Vice President",1,0,1
49,What are the positions of Michael Buckley?,"Chief Executive, Chief Executive Officer",1,0,1
49,What are the positions of Peter Kim?,"Chief Executive Officer, Chief Executive Officer",1,0,1
61,What are the positions of Brian L. Shytle?,"Treasurer, Vice President, Tax %26 Treasury",1,0,1
61,What are the positions of Jim Cahow?,"Director, Vice President",1,0,1
77,What are the positions of Blair W. Todt?,"Administrative Officer, Chief Legal, Secretary, Senior Vice President",1,0,1
88,What are the positions of R. Scott Turicchi?,"Chief Financial Officer, President",1,0,1
162,What are the positions of Mark D. Andrews?,"Corporate Secretary, President",1,0,1
162,What are the positions of Michael J. Niedermaier?,"President, Secretary",1,0,1
162,What are the positions of Michael Rasmuson?,"Chief Compliance Officer, General Counsel, Secretary, Senior Vice President",1,0,1
89,What are the positions of Charles P. Holden?,"Chief Financial Officer, Managing Director",1,0,1
89,What are the positions of Lee Neumann?,"General Counsel, SVP, Treasurer, VP Finance",1,0,1
62,What are the positions of Gretchen L. Holloway?,"Chief Financial Officer, Senior Vice President",1,0,1
76,What are the positions of John W. Hohener?,"Chief  Financial Officer, Executive Vice President, Secretary, Treasurer",1,0,1
72,What are the positions of Craig A. Douglas?,"Treasurer, Vice President",1,0,1
66,What are the positions of Ronnie Glenn?,"Director, SVP",1,0,1
66,What are the positions of Brian M. Bonnell?,"CFO, Treasurer",1,0,1
99,What are the positions of Doug Couvillion?,"President, Treasurer",1,0,1
99,What are the positions of Nick Flanagan?,"Chief Manager, President",1,0,1
167,What are the positions of Don R. Madison?,"Vice President, Vice President,, Secretary, Treasurer, Vice President, Vice President,",1,0,1
166,What are the positions of Chirag Shah?,"Attorney, Attorney-in-Fact, Attorney-in-Fact, Authorized Signatory, Authorized Signatory, Person Authorized by virtue of Power of Attorney",1,0,1
67,What are the positions of Pedro Gonzalez de Cosio?,"CEO, Managing Member",1,0,1
9,What are the positions of Mark E. Newman?,"Chief Financial Officer, Senior Vice President, Treasurer",1,0,1
71,What are the positions of Paul M. Todd?,"Chief Financial Officer, Senior Executive Vice President",1,0,1
170,What are the positions of Richard Lautch?,"treasurer, vice president",1,0,1
159,What are the positions of James Greenfield?,"Authorized Signatory, Authorized Signatory",1,0,1
165,What are the positions of Colleen Batcheler?,"Corporate Secretary, General Counsel",1,0,1
165,What are the positions of Johan Nystedt?,"Investor Relations Officer, Treasurer, Vice President",1,0,1
58,What are the positions of Dennis M. Lanfear?,"Chief Executive Officer, President",1,0,1
41,What are the positions of Martin H. Dodd?,"General Counsel, Senior Vice President",1,0,1
7,What are the positions of Terry Barr?,"CEO, President, Treasurer",1,0,1
55,What are the positions of J. Larry Sorsby?,"Chief, Executive Vice President",1,0,1
69,What are the positions of Michael Shustek?,"Chief Executive Officer, Chief Executive Officer, Chief Executive Officer, Manager",1,0,1
82,What are the positions of David C. Francisco?,"Treasurer, Vice President",1,0,1
82,What are the positions of John L. Healy?,"Attorney-in-Fact, Secretary, Vice President",1,0,1
168,What are the positions of Robert T. Paternostro?,"Treasurer, Vice President",1,0,1
140,What are the positions of Demetrios Tserpelis?,"Authorized Signatory, Director",1,0,1
155,What are the positions of Patrick Foley?,"Chief Financial Officer, Director, Statutory Director, directors",1,0,1
155,What are the positions of Michael Pope?,"Chief Executive Officer, directors",1,0,1
169,What are the positions of Joseph B. Johnson?,"Chief Accounting Officer, Controller, Treasurer, Vice President",1,0,1
97,What are the positions of Dague Retzlaff?,"Authorized Signatory, Vice President",1,0,1
83,What are the positions of Michael Ray?,"General Counsel, Secretary, Senior Vice President",1,0,1
6,What are the positions of Ying Chen?,"Deputy Branch Manager, Vice President",1,0,1
54,What are the positions of Jonathan Olsen?,"Managing Director, Senior Vice President",1,0,1
56,What are the positions of Paul M. Robinson?,"Executive Vice President, General Counsel, Secretary",1,0,1
42,What are the positions of Michael J. Bufano?,"Chief FinancialOfficer, Chief Financial Officer, Senior Vice President, Treasurer",1,0,1
143,What are the positions of Michael J. Skipworth?,"Chief Financial Officer, President",1,0,1
142,What are the positions of Christine R. Johnston?,"Corporate Secretary, Vice-President, Law",1,0,1
142,What are the positions of Joel E. Hunter?,"Treasurer, Vice-President, Finance",1,0,1
142,What are the positions of Nathaniel A. Brown?,"Controller, Principal Financial Officer",1,0,1
156,What are the positions of Henk Derksen?,"Chief Financial Officer, Vice President",1,0,1
156,What are the positions of Henk Derksen?,"Chief Financial Officer, Director, Executive Vice President and Chief Financial Officer",1,0,1
80,What are the positions of Charles M. Swoboda?,"Chairman, Chief Executive  Officer, President",1,0,1
80,What are the positions of Michael E. McDevitt?,"Chief Financial Officer, Executive Vice President",1,0,1
94,What are the positions of Adam C. Derbyshire?,"Assistant Secretary, Chief FinancialOfficer, Executive Vice President,Finance and Administration, Treasurer",1,0,1
57,What are the positions of Chuck B. Kyrish?,"Treasurer, Vice President",1,0,1
5,What are the positions of Roy E. Alexander?,"Senior Vice President, Vice President",1,0,1
1,What are the positions of Mark Constant?,"Treasurer, Vice President",1,0,1
53,What are the positions of Marie Perry?,"CAO, CFO, EVP, Secretary, Treasurer",1,0,1
146,What are the positions of Marisa J. Beeney?,"Chief Compliance Officer, Chief Legal Officer, Secretary",1,0,1
90,What are the positions of William C. Whitaker?,"Treasurer, Vice President",1,0,1
84,What are the positions of Alexander Wu?,"General Manager, SVP",1,0,1
84,What are the positions of Chwan-Ming Ho?,"General Manager, VP",1,0,1
84,What are the positions of Edward Chen?,"General Manager, VP",1,0,1
84,What are the positions of Li Hua Huang?,"General Manager, VP",1,0,1
84,What are the positions of Michael A. Crabtree?,"Senior Vice President, Treasurer",1,0,1
84,What are the positions of Mr. George L. Chapman?,"Chairman of the Board, Chief Executive Officer",1,0,1
85,What are the positions of Emil Hensel?,"Assistant Controller, Chief Financial Officer, Vice President, Vice President%09",1,0,1
91,What are the positions of Ray Singleton?,"Chief Executive Officer, President",1,0,1
147,What are the positions of B. Judd Hartman?,"Chief Administrative Officer, Executive Vice President, General Counsel, Secretary",1,0,1
46,What are the positions of James Pinto?,"Chief Executive Officer, Manager",1,0,1
52,What are the positions of Charles R. Conradi?,"Treasurer, Vice President of Tax",1,0,1
2,What are the positions of Navdeep Gupta?,"Chief Financial Officer, Executive Vice President",1,0,1
145,What are the positions of Christopher Stephen Guinta?,"Authorized Signatory, Chief Financial Officer",1,0,1
145,What are the positions of Joseph D. Glatt?,"Vice President, Vice President, Vice President, Vice President",1,0,1
145,What are the positions of Lana Guardino?,"Executive Assistant, Executive Assistant",1,0,1
145,What are the positions of Christopher Stephen Guinta?,"Chief Financial Officer, Chief Financial Officer, Director, Legal Representative, Manager",1,0,1
145,What are the positions of Joseph D. Glatt?,"Vice President, Director, Vice President",1,0,1
151,What are the positions of Anthony H. Smith?,"Treasurer, Vice President, Tax and Treasury",1,0,1
87,What are the positions of Douglas B. Bingham?,"Treasurer, Vice President",1,0,1
87,What are the positions of Ronald D. Ford?,"Chief Financial Officer, Senior Vice President",1,0,1
92,What are the positions of Cooper C. Collins?,"President, President and Chief Executive Officer, President and Chief Executive Officer,Pernix Therapeutics Holdings, Inc.,Sole Member and Sole Manager of Pernix Therapeutics, LLC, President and Chief Executive Officer",1,0,1
92,What are the positions of Michael Min?,"Director, Director",1,0,1
86,What are the positions of Chris Power?,"CFO, Executive Vice President",1,0,1
144,What are the positions of Maurice Amsellem?,"Authorized Signatory, Authorized Signatory",1,0,1
51,What are the positions of Zamir Rauf?,"Treasurer, Vice President, Finance",1,0,1
79,What are the positions of John C. Popeo?,"Assistant Secretary, Chief Financial Officer, Treasurer",1,0,1
22,What are the positions of Lloyd A. Hajdik?,"Chief FinancialOfficer, Executive Vice President, Treasurer",1,0,1
123,What are the positions of John B. Ellis?,"Treasurer, Vice President",1,0,1
37,What are the positions of Worthing F. Jackman?,"Chief Financial Officer, Executive Vice President",1,0,1
35,What are the positions of John P. Rielly?,"Chief Financial Officer, Senior Vice President",1,0,1
35,What are the positions of Timothy B. Goodell?,"General Counsel, Senior Vice President",1,0,1
21,What are the positions of Dawn M. Wilson?,"Secretary, Treasurer",1,0,1
108,What are the positions of Randall H. Brown?,"Executive Vice President, Secretary, Treasurer, Vice President",1,0,1
120,What are the positions of Adam Markman?,"Chief Financial Officer, Executive Vice President, Treasurer",1,0,1
120,What are the positions of Angela Chen?,"Deputy GM, VP",1,0,1
120,What are the positions of Chad Hale?,"Director, Executive Head",1,0,1
121,What are the positions of Angela Chen?,"DGM, VP",1,0,1
121,What are the positions of Jane Chang?,"General Manager, VP",1,0,1
121,What are the positions of Kefel Xu?,"Branch Manager, SVP",1,0,1
121,What are the positions of Paul Hultgren?,"Director, SVP",1,0,1
121,What are the positions of Peter C. Underwood?,"General Counsel, Secretary, Vice President",1,0,1
135,What are the positions of Anders Platou?,"Senior Vice President, Senior Vice President",1,0,1
135,What are the positions of Sharon S. Spurlin?,"Treasurer, Vice President",1,0,1
109,What are the positions of Christopher J. Spencer?,"CEO, Chief Executive Officer and Chairman of the Board",1,0,1
34,"What are the positions of Cameron M. Bready,?","Chief Financial Officer, Executive Vice President",1,0,1
34,What are the positions of Wendy A. McIntyre?,"General Counsel, Secretary, Vice President",1,0,1
18,What are the positions of Lainie Minnick?,"Chief Financial Officer, Managing Director, Treasurer",1,0,1
