document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
17,Which company is associated with 1100 north market street wilmington delaware 19890?,wilmington trust national association,1,0,0
17,Which company is associated with 1300 thames street 4th floor thames street wharf baltimore md 21231?,morgan stanley senior funding inc,1,0,0
17,Which company is associated with 1310 point street 12th floor baltimore md 21231?,exgen renewables iv llc,1,0,0
17,Which company is associated with 425 lexington avenue new york new york 10017?,simpson thacher and bartlett llp,1,0,0
17,Which company is associated with 701 ninth street nw 9th floor washington dc 20068?,exelon generation company llc,1,0,0
102,Which company is associated with 1048 industrial court suite e suwanee ga 30024?,digirad corporation,1,0,0
102,Which company is associated with 2450 colorado avenue suite 3000 west santa monica ca 90404?,wells fargo bank national association,1,0,0
102,Which company is associated with 65 east 55th street new york ny 10022?,olshan frome wolosky llp,1,0,0
102,Which company is associated with 695 town center drive 17th floor costa mesa ca 92626?,paul hastings llp,1,0,0
116,Which company is associated with 120 south lasalle street chicago illinois 60603?,cibc bank usa,1,0,0
116,Which company is associated with 70 w madison chicago illinois 60602?,cibc bank usa,1,0,0
117,Which company is associated with 14375 nw science park drive portland or 97229?,columbia sportswear company,1,0,0
103,Which company is associated with 225 w washington street 21st floor chicago il 60606?,cortland capital market services llc,1,0,0
103,Which company is associated with 245 park avenue 26th floor new york new york 10167?,botticelli llc c o angelo gordonand co lp,1,0,0
103,Which company is associated with 3 sw 129th avenue suite 400 pembroke pines fl 33027?,claires gibraltar holdings limited,1,0,0
16,Which company is associated with two international place 17th floor boston ma 02110?,crystal financial llc,1,0,0
28,Which company is associated with 100 technology center drive suite 300 stoughton ma 02072?,collegium pharmaceutical inc,1,0,0
28,Which company is associated with 110 east 59th street 3300 new york ny 10022?,pharmakon advisors lp,1,0,0
28,Which company is associated with 3000 two logan square philadelphia pa 19103?,pepper hamilton llp,1,0,0
28,Which company is associated with 51 new north road exeter ex4 4ep united kingdom?,biopharma credit plc,1,0,0
28,Which company is associated with cayman corporate centre 27 hospital road george town grand cayman ky1 9008?,biopharma credit investments v master lp,1,0,0
28,Which company is associated with one bryant park new york ny 10036 6745?,akin gump strauss hauer and feld llp,1,0,0
129,Which company is associated with 1600 bausch and lomb place rochester new york 14606?,harter secrest and emery llp,1,0,0
129,Which company is associated with 1 south clinton avenue floor 7 rochester ny 14604?,jpmorgan chase bank na,1,0,0
129,Which company is associated with 20 florence avenue batavia new york 14020?,graham corporation,1,0,0
129,Which company is associated with united states of america?,federal reserve system,1,0,0
100,Which company is associated with 12670 high bluff drive san diego california 92103?,lathamand watkins llp,1,0,0
100,Which company is associated with 400 hamilton ave suite110 palo alto ca 94301?,wells fargo bank national association,1,0,0
100,Which company is associated with 590 e middlefield road mountain view ca 94043 4008?,omnicellinc,1,0,0
114,Which company is associated with 7255 woodmont avenue suite 200 bethesda maryland 20814?,midcap financial services,1,0,0
114,Which company is associated with moduslink corporation 1601 trapelo road suite 170 waltham massachusetts 02451?,moduslink corporation,1,0,0
128,Which company is associated with 801 5th avenue seattle washington 98104?,f5 networks inc,1,0,0
128,Which company is associated with jpmorgan loan services 500 stanton christiana road ncc5 floor 1 newark de 19713?,jpmorgan chase bank na,1,0,0
