document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
117,what companies are the lender and the agent but not the bookrunner in the agreement,"n.a., bank of america, wells fargo bank, national association",1,3,1
117,what companies are the lender and the agent but not the arranger in the agreement,"n.a., bank of america, wells fargo bank, national association",1,3,1
117,what companies are the lender and the agent but not the administrative agent in the agreement,"n.a., bank of america, wells fargo bank, national association",1,3,1
117,who is the executive director of the company which is the lender but not the arranger in the agreement,lynn braun,3,2,0
117,who is the executive director of the company which is the lender but not the agent in the agreement,lynn braun,3,2,0
117,who is the executive director of the company which is the lender but not the administrative agent in the agreement,lynn braun,3,2,0
117,who is the executive director of the company which is the lender but not the bookrunner in the agreement,lynn braun,3,2,0
115,"who is the secretary but not assistant secretary, chief accounting officer, president, treasurer of the company which is the borrower in the agreement",melanie housey hart,3,2,0
115,"who is the secretary but not chief legal officer, vice president of the company which is the borrower in the agreement",jennifer m. neil,3,2,0
115,"who is the secretary but not chief legal officer, vice president of the company where melanie housey hart is employed",jennifer m. neil,3,2,0
115,"who is the secretary but not assistant secretary, chief accounting officer, president, treasurer of the company where jennifer m. neil is employed",melanie housey hart,3,2,0
128,who is the director but not market manager of the company where gill skala is employed,leni preciado,3,2,0
128,who is the director but not market manager of the company where mario de luca is employed,leni preciado,3,2,0
11,who is the vice president but not treasurer of the company where carolyn kee is employed,john j. tus,3,2,0
11,who is the vice president but not treasurer of the company where virginia cosenza is employed,john j. tus,3,2,0
110,what companies are the arrangers and the bookrunners but not the agent in the agreement,"llc, n.a., ltd., pierce, merrill lynch, jpmorgan chase bank, wells fargo securities, fenner smith incorporated, the bank of tokyo mitsubishi ufj",1,3,1
139,"who is the senior vice president but not chief financial officer, treasurer of the company where shivani agarwal is employed",jay a. brown,3,2,0
139,who is the vice president but not authorized signatory of the company where eric ridgway is employed,michael king,3,2,0
139,who is the vice president but not authorized signatory of the company where lennie blakeslee is employed,michael king,3,2,0
139,who is the vice president but not authorized signatory of the company where michael vondriska is employed,michael king,3,2,0
139,who is the vice president but not authorized signatory of the company where ronnie glenn is employed,michael king,3,2,0
111,what companies are the bookrunners and the arrangers but not the lender in the agreement,"llc, inc., wells fargo securities, suntrust robinson humphrey",1,3,1
111,who is the managing director of the company which is the lender but not the agent in the agreement,william r. goley,3,2,0
111,who is the managing director of the company which is the lender but not the administrative agent in the agreement,william r. goley,3,2,0
38,who is the executive director of the company which is the lender but not the agent in the agreement,dave katz,3,2,0
107,what are the roles and subroles that barclays bank plc and global markets inc. share in the agreement that are not held by wilmington trust fsb,"documentation agent, administrative agent, administrative borrower",1,3,1
107,what are the roles and subroles that barclays bank plc and global markets inc. share in the agreement that are not held by barclays bank plc,"collateral agent, collateral trustee, documentation agent, administrative agent, administrative borrower",1,3,1
107,"what are the roles and subroles that barclays bank plc and wells fargo foothill, inc share in the agreement that are not held by wilmington trust fsb","documentation agent, administrative agent, administrative borrower",1,3,1
107,"what are the roles and subroles that barclays bank plc and wells fargo foothill, inc share in the agreement that are not held by barclays bank plc","collateral agent, collateral trustee, documentation agent, administrative agent, administrative borrower",1,3,1
107,what are the roles and subroles that barclays bank plc and wilmington trust fsb share in the agreement that are not held by barclays bank plc,"collateral agent, collateral trustee",1,3,1
107,"what are the roles and subroles that global markets inc. and wells fargo foothill, inc share in the agreement that are not held by wilmington trust fsb","documentation agent, administrative agent, administrative borrower",1,3,1
107,what companies are the agent and the collateral trustee but not the agent in the agreement,"inc, wells fargo foothill",1,3,1
107,what companies are the agent and the administrative borrower but not the agent in the agreement,"inc, wells fargo foothill",1,3,1
107,what companies are the agent and the collateral agent but not the agent in the agreement,"inc, wells fargo foothill",1,3,1
107,what companies are the collateral trustee and the administrative borrower but not the agent in the agreement,"inc, wells fargo foothill",1,3,1
107,what companies are the collateral trustee and the collateral agent but not the agent in the agreement,"inc, wells fargo foothill, wilmington trust fsb",1,3,1
107,what companies are the collateral trustee and the collateral agent but not the trustee in the agreement,"inc, barclays bank plc, wells fargo foothill",1,3,1
107,what companies are the administrative borrower and the collateral agent but not the agent in the agreement,"inc, wells fargo foothill",1,3,1
107,who is the assistant treasurer of the company which is the guarantor but not the grantor in the agreement,paul mcfeeters,3,2,0
107,who is the chief administrative officer of the company which is the guarantor but not the grantor in the agreement,paul mcfeeters,3,2,0
107,who is the chief executive officer of the company which is the guarantor but not the grantor in the agreement,paul mcfeeters,3,2,0
107,who is the chief financial officer of the company which is the guarantor but not the grantor in the agreement,paul mcfeeters,3,2,0
107,who is the president of the company which is the guarantor but not the grantor in the agreement,paul mcfeeters,3,2,0
107,who is the treasurer of the company which is the guarantor but not the grantor in the agreement,paul mcfeeters,3,2,0
107,who is the vice president of the company which is the guarantor but not the grantor in the agreement,paul mcfeeters,3,2,0
112,who is the authorized officer of the company which is the lender but not the administrative agent in the agreement,amy u. lessner,3,2,0
106,who is the vice president but not director of the company where michael getz is employed,kirkwood roland,3,2,0
106,who is the vice president but not director of the company where vanessa a. kurbatskiy is employed,kirkwood roland,3,2,0
60,"what are the roles and subroles that bank of montreal and bofa securities, inc. share in the agreement that are not held by fifth third bank, national association","bookrunner, book manager, lead arranger",1,3,1
60,"what are the roles and subroles that bank of montreal and bofa securities, inc. share in the agreement that are not held by goldman sachs bank usa","bookrunner, book manager, lead arranger",1,3,1
60,"what are the roles and subroles that bank of montreal and bofa securities, inc. share in the agreement that are not held by pnc bank, national association","bookrunner, book manager, lead arranger",1,3,1
60,"what are the roles and subroles that bank of montreal and bofa securities, inc. share in the agreement that are not held by pnc capital markets llc","lead arranger, lead bookrunner",1,3,1
60,"what are the roles and subroles that bank of montreal and bofa securities, inc. share in the agreement that are not held by td bank, n.a.","bookrunner, book manager, lead arranger",1,3,1
60,"what are the roles and subroles that bank of montreal and bofa securities, inc. share in the agreement that are not held by wells fargo bank, national association","bookrunner, book manager, lead arranger",1,3,1
60,"what are the roles and subroles that bank of montreal and bofa securities, inc. share in the agreement that are not held by jpmorgan chase bank, n.a","bookrunner, book manager, lead arranger",1,3,1
60,"what are the roles and subroles that bank of montreal and bofa securities, inc. share in the agreement that are not held by regions bank","bookrunner, book manager, lead arranger",1,3,1
60,"what are the roles and subroles that bank of montreal and bofa securities, inc. share in the agreement that are not held by mizuho bank, ltd.","bookrunner, book manager, lead arranger",1,3,1
60,"what are the roles and subroles that bank of montreal and citibank, n.a. share in the agreement that are not held by fifth third bank, national association","bookrunner, book manager, lead arranger",1,3,1
60,"what are the roles and subroles that bank of montreal and citibank, n.a. share in the agreement that are not held by goldman sachs bank usa","bookrunner, book manager, lead arranger",1,3,1
60,"what are the roles and subroles that bank of montreal and citibank, n.a. share in the agreement that are not held by pnc bank, national association","bookrunner, book manager, lead arranger",1,3,1
60,"what are the roles and subroles that bank of montreal and citibank, n.a. share in the agreement that are not held by pnc capital markets llc","lead arranger, lead bookrunner",1,3,1
60,"what are the roles and subroles that bank of montreal and citibank, n.a. share in the agreement that are not held by td bank, n.a.","bookrunner, book manager, lead arranger",1,3,1
60,"what are the roles and subroles that bank of montreal and citibank, n.a. share in the agreement that are not held by wells fargo bank, national association","bookrunner, book manager, lead arranger",1,3,1
60,"what are the roles and subroles that bank of montreal and citibank, n.a. share in the agreement that are not held by jpmorgan chase bank, n.a","bookrunner, book manager, lead arranger",1,3,1
60,"what are the roles and subroles that bank of montreal and citibank, n.a. share in the agreement that are not held by regions bank","bookrunner, book manager, lead arranger",1,3,1
60,"what are the roles and subroles that bank of montreal and citibank, n.a. share in the agreement that are not held by mizuho bank, ltd.","bookrunner, book manager, lead arranger",1,3,1
60,"what are the roles and subroles that bank of montreal and fifth third bank, national association share in the agreement that are not held by jpmorgan chase bank, n.a.","managing agent, documentation agent",1,3,1
60,"what are the roles and subroles that bank of montreal and fifth third bank, national association share in the agreement that are not held by mufg bank, ltd.","managing agent, documentation agent",1,3,1
60,"what are the roles and subroles that bank of montreal and fifth third bank, national association share in the agreement that are not held by pnc capital markets llc","managing agent, documentation agent",1,3,1
60,"what are the roles and subroles that bank of montreal and fifth third bank, national association share in the agreement that are not held by wells fargo securities llc","managing agent, documentation agent",1,3,1
60,"what are the roles and subroles that bank of montreal and goldman sachs bank usa share in the agreement that are not held by jpmorgan chase bank, n.a.","managing agent, documentation agent",1,3,1
60,"what are the roles and subroles that bank of montreal and goldman sachs bank usa share in the agreement that are not held by mufg bank, ltd.","managing agent, documentation agent",1,3,1
60,what are the roles and subroles that bank of montreal and goldman sachs bank usa share in the agreement that are not held by pnc capital markets llc,"managing agent, documentation agent",1,3,1
60,what are the roles and subroles that bank of montreal and goldman sachs bank usa share in the agreement that are not held by wells fargo securities llc,"managing agent, documentation agent",1,3,1
60,"what are the roles and subroles that bank of montreal and jpmorgan chase bank, n.a. share in the agreement that are not held by pnc bank, national association","bookrunner, book manager, lead arranger",1,3,1
60,"what are the roles and subroles that bank of montreal and jpmorgan chase bank, n.a. share in the agreement that are not held by pnc capital markets llc","lead arranger, lead bookrunner",1,3,1
60,"what are the roles and subroles that bank of montreal and jpmorgan chase bank, n.a. share in the agreement that are not held by td bank, n.a.","bookrunner, book manager, lead arranger",1,3,1
60,"what are the roles and subroles that bank of montreal and jpmorgan chase bank, n.a. share in the agreement that are not held by wells fargo bank, national association","bookrunner, book manager, lead arranger",1,3,1
60,"what are the roles and subroles that bank of montreal and jpmorgan chase bank, n.a. share in the agreement that are not held by jpmorgan chase bank, n.a","bookrunner, book manager, lead arranger",1,3,1
60,"what are the roles and subroles that bank of montreal and jpmorgan chase bank, n.a. share in the agreement that are not held by regions bank","bookrunner, book manager, lead arranger",1,3,1
60,"what are the roles and subroles that bank of montreal and jpmorgan chase bank, n.a. share in the agreement that are not held by mizuho bank, ltd.","bookrunner, book manager, lead arranger",1,3,1
60,"what are the roles and subroles that bank of montreal and mufg bank, ltd. share in the agreement that are not held by pnc bank, national association","bookrunner, book manager, lead arranger",1,3,1
60,"what are the roles and subroles that bank of montreal and mufg bank, ltd. share in the agreement that are not held by pnc capital markets llc","lead arranger, lead bookrunner",1,3,1
60,"what are the roles and subroles that bank of montreal and mufg bank, ltd. share in the agreement that are not held by td bank, n.a.","bookrunner, book manager, lead arranger",1,3,1
60,"what are the roles and subroles that bank of montreal and mufg bank, ltd. share in the agreement that are not held by wells fargo bank, national association","bookrunner, book manager, lead arranger",1,3,1
60,"what are the roles and subroles that bank of montreal and mufg bank, ltd. share in the agreement that are not held by jpmorgan chase bank, n.a","bookrunner, book manager, lead arranger",1,3,1
60,"what are the roles and subroles that bank of montreal and mufg bank, ltd. share in the agreement that are not held by regions bank","bookrunner, book manager, lead arranger",1,3,1
60,"what are the roles and subroles that bank of montreal and mufg bank, ltd. share in the agreement that are not held by mizuho bank, ltd.","bookrunner, book manager, lead arranger",1,3,1
60,"what are the roles and subroles that bank of montreal and pnc bank, national association share in the agreement that are not held by pnc capital markets llc","managing agent, documentation agent",1,3,1
60,"what are the roles and subroles that bank of montreal and pnc bank, national association share in the agreement that are not held by wells fargo securities llc","managing agent, documentation agent",1,3,1
60,"what are the roles and subroles that bank of montreal and pnc capital markets llc share in the agreement that are not held by td bank, n.a.","bookrunner, book manager, lead arranger",1,3,1
60,"what are the roles and subroles that bank of montreal and pnc capital markets llc share in the agreement that are not held by wells fargo bank, national association","bookrunner, book manager, lead arranger",1,3,1
60,"what are the roles and subroles that bank of montreal and pnc capital markets llc share in the agreement that are not held by jpmorgan chase bank, n.a","bookrunner, book manager, lead arranger",1,3,1
60,what are the roles and subroles that bank of montreal and pnc capital markets llc share in the agreement that are not held by regions bank,"bookrunner, book manager, lead arranger",1,3,1
60,"what are the roles and subroles that bank of montreal and pnc capital markets llc share in the agreement that are not held by mizuho bank, ltd.","bookrunner, book manager, lead arranger",1,3,1
60,"what are the roles and subroles that bank of montreal and td bank, n.a. share in the agreement that are not held by wells fargo securities llc","managing agent, documentation agent",1,3,1
60,"what are the roles and subroles that bank of montreal and u.s. bank national association share in the agreement that are not held by wells fargo bank, national association","bookrunner, book manager, lead arranger",1,3,1
60,what are the roles and subroles that bank of montreal and u.s. bank national association share in the agreement that are not held by wells fargo securities llc,"managing agent, documentation agent",1,3,1
60,"what are the roles and subroles that bank of montreal and u.s. bank national association share in the agreement that are not held by jpmorgan chase bank, n.a","bookrunner, book manager, lead arranger",1,3,1
60,what are the roles and subroles that bank of montreal and u.s. bank national association share in the agreement that are not held by regions bank,"bookrunner, book manager, lead arranger",1,3,1
60,"what are the roles and subroles that bank of montreal and u.s. bank national association share in the agreement that are not held by mizuho bank, ltd.","bookrunner, book manager, lead arranger",1,3,1
60,"what are the roles and subroles that bank of montreal and wells fargo bank, national association share in the agreement that are not held by wells fargo securities llc","managing agent, documentation agent",1,3,1
60,"what are the roles and subroles that bank of montreal and wells fargo securities llc share in the agreement that are not held by jpmorgan chase bank, n.a","bookrunner, book manager, lead arranger",1,3,1
60,what are the roles and subroles that bank of montreal and wells fargo securities llc share in the agreement that are not held by regions bank,"bookrunner, book manager, lead arranger",1,3,1
60,"what are the roles and subroles that bank of montreal and wells fargo securities llc share in the agreement that are not held by mizuho bank, ltd.","bookrunner, book manager, lead arranger",1,3,1
60,"what are the roles and subroles that bofa securities, inc. and citibank, n.a. share in the agreement that are not held by pnc capital markets llc","lead arranger, lead bookrunner",1,3,1
60,"what are the roles and subroles that bofa securities, inc. and citibank, n.a. share in the agreement that are not held by mizuho bank, ltd.","bookrunner, book manager, lead arranger",1,3,1
60,"what are the roles and subroles that bofa securities, inc. and jpmorgan chase bank, n.a. share in the agreement that are not held by pnc capital markets llc","lead arranger, lead bookrunner",1,3,1
60,"what are the roles and subroles that bofa securities, inc. and jpmorgan chase bank, n.a. share in the agreement that are not held by mizuho bank, ltd.","bookrunner, book manager, lead arranger",1,3,1
60,"what are the roles and subroles that bofa securities, inc. and mufg bank, ltd. share in the agreement that are not held by pnc capital markets llc","lead arranger, lead bookrunner",1,3,1
60,"what are the roles and subroles that bofa securities, inc. and mufg bank, ltd. share in the agreement that are not held by mizuho bank, ltd.","bookrunner, book manager, lead arranger",1,3,1
60,"what are the roles and subroles that bofa securities, inc. and pnc capital markets llc share in the agreement that are not held by mizuho bank, ltd.","bookrunner, book manager, lead arranger",1,3,1
60,"what are the roles and subroles that bofa securities, inc. and u.s. bank national association share in the agreement that are not held by mizuho bank, ltd.","bookrunner, book manager, lead arranger",1,3,1
60,"what are the roles and subroles that bofa securities, inc. and wells fargo securities llc share in the agreement that are not held by mizuho bank, ltd.","bookrunner, book manager, lead arranger",1,3,1
60,"what are the roles and subroles that citibank, n.a. and jpmorgan chase bank, n.a. share in the agreement that are not held by pnc capital markets llc","lead arranger, lead bookrunner",1,3,1
60,"what are the roles and subroles that citibank, n.a. and jpmorgan chase bank, n.a. share in the agreement that are not held by mizuho bank, ltd.","bookrunner, book manager, lead arranger",1,3,1
60,"what are the roles and subroles that citibank, n.a. and mufg bank, ltd. share in the agreement that are not held by pnc capital markets llc","lead arranger, lead bookrunner",1,3,1
60,"what are the roles and subroles that citibank, n.a. and mufg bank, ltd. share in the agreement that are not held by mizuho bank, ltd.","bookrunner, book manager, lead arranger",1,3,1
60,"what are the roles and subroles that citibank, n.a. and pnc capital markets llc share in the agreement that are not held by mizuho bank, ltd.","bookrunner, book manager, lead arranger",1,3,1
60,"what are the roles and subroles that citibank, n.a. and u.s. bank national association share in the agreement that are not held by mizuho bank, ltd.","bookrunner, book manager, lead arranger",1,3,1
60,"what are the roles and subroles that citibank, n.a. and wells fargo securities llc share in the agreement that are not held by mizuho bank, ltd.","bookrunner, book manager, lead arranger",1,3,1
60,"what are the roles and subroles that jpmorgan chase bank, n.a. and mufg bank, ltd. share in the agreement that are not held by pnc capital markets llc","lead arranger, lead bookrunner",1,3,1
60,"what are the roles and subroles that jpmorgan chase bank, n.a. and mufg bank, ltd. share in the agreement that are not held by mizuho bank, ltd.","bookrunner, book manager, lead arranger",1,3,1
60,"what are the roles and subroles that jpmorgan chase bank, n.a. and pnc capital markets llc share in the agreement that are not held by mizuho bank, ltd.","bookrunner, book manager, lead arranger",1,3,1
60,"what are the roles and subroles that jpmorgan chase bank, n.a. and u.s. bank national association share in the agreement that are not held by mizuho bank, ltd.","bookrunner, book manager, lead arranger",1,3,1
60,"what are the roles and subroles that jpmorgan chase bank, n.a. and wells fargo securities llc share in the agreement that are not held by mizuho bank, ltd.","bookrunner, book manager, lead arranger",1,3,1
60,"what are the roles and subroles that mufg bank, ltd. and pnc capital markets llc share in the agreement that are not held by mizuho bank, ltd.","bookrunner, book manager, lead arranger",1,3,1
60,"what are the roles and subroles that mufg bank, ltd. and u.s. bank national association share in the agreement that are not held by mizuho bank, ltd.","bookrunner, book manager, lead arranger",1,3,1
60,"what are the roles and subroles that mufg bank, ltd. and wells fargo securities llc share in the agreement that are not held by mizuho bank, ltd.","bookrunner, book manager, lead arranger",1,3,1
60,"what are the roles and subroles that u.s. bank national association and wells fargo bank, national association share in the agreement that are not held by wells fargo securities llc","managing agent, documentation agent",1,3,1
60,"what are the roles and subroles that u.s. bank national association and wells fargo securities llc share in the agreement that are not held by jpmorgan chase bank, n.a","bookrunner, book manager, lead arranger",1,3,1
60,what are the roles and subroles that u.s. bank national association and wells fargo securities llc share in the agreement that are not held by regions bank,"bookrunner, book manager, lead arranger",1,3,1
60,"what are the roles and subroles that u.s. bank national association and wells fargo securities llc share in the agreement that are not held by mizuho bank, ltd.","bookrunner, book manager, lead arranger",1,3,1
60,"what are the roles and subroles that bank of montreal holds in the agreement that are not held by bofa securities, inc. or citibank, n.a.",documentation agent and managing agent,1,3,1
60,"what are the roles and subroles that bank of montreal holds in the agreement that are not held by bofa securities, inc. or jpmorgan chase bank, n.a.",documentation agent and managing agent,1,3,1
60,"what are the roles and subroles that bank of montreal holds in the agreement that are not held by bofa securities, inc. or mufg bank, ltd.",documentation agent and managing agent,1,3,1
60,"what are the roles and subroles that bank of montreal holds in the agreement that are not held by bofa securities, inc. or pnc capital markets llc",documentation agent and managing agent,1,3,1
60,"what are the roles and subroles that bank of montreal holds in the agreement that are not held by bofa securities, inc. or wells fargo securities llc",documentation agent and managing agent,1,3,1
60,"what are the roles and subroles that bank of montreal holds in the agreement that are not held by citibank, n.a. or jpmorgan chase bank, n.a.",documentation agent and managing agent,1,3,1
60,"what are the roles and subroles that bank of montreal holds in the agreement that are not held by citibank, n.a. or mufg bank, ltd.",documentation agent and managing agent,1,3,1
60,"what are the roles and subroles that bank of montreal holds in the agreement that are not held by citibank, n.a. or pnc capital markets llc",documentation agent and managing agent,1,3,1
60,"what are the roles and subroles that bank of montreal holds in the agreement that are not held by citibank, n.a. or wells fargo securities llc",documentation agent and managing agent,1,3,1
60,"what are the roles and subroles that bank of montreal holds in the agreement that are not held by fifth third bank, national association or goldman sachs bank usa","bookrunner, book manager, lead arranger",1,3,1
60,"what are the roles and subroles that bank of montreal holds in the agreement that are not held by fifth third bank, national association or pnc bank, national association","bookrunner, book manager, lead arranger",1,3,1
60,"what are the roles and subroles that bank of montreal holds in the agreement that are not held by fifth third bank, national association or pnc capital markets llc",lead arranger and lead bookrunner,1,3,1
60,"what are the roles and subroles that bank of montreal holds in the agreement that are not held by fifth third bank, national association or td bank, n.a.","bookrunner, book manager, lead arranger",1,3,1
60,"what are the roles and subroles that bank of montreal holds in the agreement that are not held by fifth third bank, national association or wells fargo bank, national association","bookrunner, book manager, lead arranger",1,3,1
