document_number,question,answer,num_hops,num_set_operations,multiple_answers,llm_response
138,"who is the chief financial officer and chief financial officer and secretary of rexford industrial realty, l.p.",adeel khan,2,1,0,Adeel Khan
138,"who is the chief financial officer and secretary of rexford industrial realty, l.p.",adeel khan,2,1,0,Adeel Khan
138,"who is the chief financial officer and secretary and secretary of rexford industrial realty, l.p.",adeel khan,2,1,0,Adeel Khan
138,who is the vice president of the company which is the lender in the agreement,christopher harahan,3,0,0,Christopher Harahan
138,what company is the administrative agent but not the lender in the agreement,"u.s. bank, national association",2,1,0,Not found
138,what company is the syndication agent but not the lender in the agreement,"u.s. bank, national association",2,1,0,Not found
139,who is the chief financial officer and senior vice president of crown castle international corp.,jay a. brown,2,1,0,Jay A. Brown
139,who is the chief financial officer and treasurer of crown castle international corp.,jay a. brown,2,1,0,Jay A. Brown
139,who is the senior vice president and treasurer of crown castle international corp.,jay a. brown,2,1,0,Jay A. Brown
139,"who is the authorized signatory and vice president of morgan stanley senior funding, inc.",michael king,2,1,0,Michael King
139,who is the chief financial officer of the company where shivani agarwal is employed,jay a. brown,3,0,0,Not found
139,who is the treasurer of the company where shivani agarwal is employed,jay a. brown,3,0,0,Not found
139,who is the authorized signatory of the company where ronnie glenn is employed,michael king,3,0,0,Not found
139,who is the authorized signatory of the company where michael vondriska is employed,michael king,3,0,0,Not found
139,who is the authorized signatory of the company where eric ridgway is employed,michael king,3,0,0,Not found
139,who is the authorized signatory of the company where lennie blakeslee is employed,michael king,3,0,0,Not found
139,who is the managing director tmt of the company which is the administrative agent lender in the agreement,glen mastey,3,0,0,Not found
139,who is the managing director tmt of the company which is the issuing bank lender in the agreement,glen mastey,3,0,0,Not found
139,who is the executive director of the company which is the administrative agent in the agreement,bruce s. borden,3,0,0,Bruce S. Borden
139,who is the executive director of the company which is the syndication agent in the agreement,bruce s. borden,3,0,0,Not found
139,who is the general manager of the company which is the administrative agent lender in the agreement,arthur chen,3,0,0,Not found
139,who is the general manager of the company which is the issuing bank lender in the agreement,arthur chen,3,0,0,Not found
139,who is the assistant vice president of the company which is the administrative agent lender in the agreement,christopher keenan,3,0,0,Not found
139,who is the assistant vice president of the company which is the issuing bank lender in the agreement,christopher keenan,3,0,0,Not found
139,who is the chief financial officer of the company which is the borrower in the agreement,jay a. brown,3,0,0,Jay A. Brown
139,who is the treasurer of the company which is the borrower in the agreement,jay a. brown,3,0,0,Jay A. Brown
149,"who is the executive vice president and secretary of xcel brands, inc.",seth burroughs,2,1,0,Seth Burroughs
149,who is the managing director of the company which is the administrative agent in the agreement,michelle handy,3,0,0,Michelle Handy
149,who is the managing director of the company which is the collateral agent in the agreement,michelle handy,3,0,0,Michelle Handy
149,who is the managing director of the company which is the lead arranger in the agreement,michelle handy,3,0,0,Michelle Handy
149,who is the executive vice president of the company which is the borrower in the agreement,seth burroughs,3,0,0,Seth Burroughs
149,who is the secretary of the company which is the borrower in the agreement,seth burroughs,3,0,0,Seth Burroughs
161,who is the chief financial officer of the company which is the borrower in the agreement,raymond j. pacini,3,0,0,Raymond J. Pacini
161,who is the corporate banker of the company which is the lender in the agreement,zachary braun,3,0,0,Zachary Braun
161,what role does bmo capital markets have in the agreement which is not the role of truist bank,lead arrangers,2,1,0,"Joint‑Lead Arranger, Arranger"
161,what role does the huntington national bank have in the agreement which is not the role of truist bank,lead arrangers,2,1,0,"Joint‑Lead Arranger, Arranger"
161,what company is the co syndication agents but not the lead arrangers in the agreement,truist bank,2,1,0,Truist Bank
161,what company is the co syndication agents but not the lender in the agreement,bmo capital markets,2,1,0,BMO Capital Markets
160,who is the authorized officer of the company which is the issuing bank in the agreement,helen d. davis,3,0,0,Martin Corrigan
160,who is the authorized officer of the company which is the lead arrangers in the agreement,helen d. davis,3,0,0,Not found
160,who is the authorized signatory of the company which is the issuing bank in the agreement,michael king,3,0,0,Michael King
160,"what role does bofa securities, inc have in the agreement which is not the role of jpmorgan chase bank, n.a.",bookrunners,2,1,0,Not found
160,"what role does morgan stanley senior funding, inc have in the agreement which is not the role of jpmorgan chase bank, n.a.",bookrunners,2,1,0,Not found
160,what company is the bookrunners but not the lead arrangers in the agreement,jpmorgan chase bank n.a.,2,1,0,Not found
148,who is the chief financial officer of the company which is the borrowers in the agreement,kevin berryman,3,0,0,Kevin Berryman
148,who is the executive director of the company which is the lender in the agreement,peter s. preoun,3,0,0,Not found
148,who is the authorized signatory of the company which is the lender in the agreement,michael king,3,0,0,Michael King
148,what role does bnp paribas have in the agreement which is not the role of national westminster bank plc,co syndication agents,2,1,0,Joint Lead Arranger and Joint Bookrunner
148,what role does bnp paribas have in the agreement which is not the role of the bank of nova scotia,co syndication agents,2,1,0,Joint Lead Arranger and Joint Bookrunner
148,what role does bnp paribas have in the agreement which is not the role of u.s. bank national association,co syndication agents,2,1,0,Joint Lead Arranger and Joint Bookrunner
148,what role does bnp paribas have in the agreement which is not the role of bank of america,co syndication agents,2,1,0,Joint Lead Arranger and Joint Bookrunner
148,what role does national westminster bank plc have in the agreement which is not the role of td bank,documentation agents,2,1,0,Documentation Agent
148,what role does national westminster bank plc have in the agreement which is not the role of bank of america,documentation agents,2,1,0,Documentation Agent
148,what role does the bank of nova scotia have in the agreement which is not the role of td bank,documentation agents,2,1,0,Documentation Agent
148,what role does the bank of nova scotia have in the agreement which is not the role of bank of america,documentation agents,2,1,0,Documentation Agent
148,what role does u.s. bank national association have in the agreement which is not the role of td bank,documentation agents,2,1,0,Documentation Agent
148,what role does u.s. bank national association have in the agreement which is not the role of bank of america,documentation agents,2,1,0,Documentation Agent
148,what role does td bank have in the agreement which is not the role of bank of america,co syndication agents,2,1,0,Co‑Syndication Agent
148,what company is the lead arrangers but not the bookrunners in the agreement,bnp paribas securities corp,2,1,0,Not found
162,what is the position held by mark d. andrews but not by michael j. niedermaier,corporate secretary,1,2,0,Corporate Secretary
162,what is the position held by michael j. niedermaier but not by michael rasmuson,president,1,2,0,President
162,"who is the corporate secretary and president of nabors industries ltd.,",mark d. andrews,2,1,0,Corporate Secretary: Mark D. Andrews; President: Not found
162,"who is the president and secretary of nabors alaska drilling, inc.",michael j. niedermaier,2,1,0,President: Not found; Secretary: Michael Rasmuson
162,"who is the chief compliance officer and general counsel of nabors alaska drilling, inc.",michael rasmuson,2,1,0,Michael Rasmuson
162,"who is the chief compliance officer and secretary of nabors alaska drilling, inc.",michael rasmuson,2,1,0,Michael Rasmuson
162,"who is the chief compliance officer and senior vice president of nabors alaska drilling, inc.",michael rasmuson,2,1,0,Michael Rasmuson
162,"who is the general counsel and secretary of nabors alaska drilling, inc.",michael rasmuson,2,1,0,Michael Rasmuson
162,"who is the general counsel and senior vice president of nabors alaska drilling, inc.",michael rasmuson,2,1,0,Michael Rasmuson
162,"who is the secretary and senior vice president of nabors alaska drilling, inc.",michael rasmuson,2,1,0,Michael Rasmuson
162,who is the president of the company where michael rasmuson is employed,michael j. niedermaier,3,0,0,Not found
162,who is the chief compliance officer of the company where michael j. niedermaier is employed,michael rasmuson,3,0,0,Not found
162,who is the general counsel of the company where michael j. niedermaier is employed,michael rasmuson,3,0,0,Not found
162,who is the senior vice president of the company where michael j. niedermaier is employed,michael rasmuson,3,0,0,Not found
162,who is the class a manager of the company which is the guarantor in the agreement,henricus reindert petrus pollmann,3,0,0,Henricus Reindert Petrus Pollmann
162,who is the director of the company which is the lender in the agreement,corbin m. womac,3,0,0,Corbin M. Womac
162,who is the authorized signatory of the company which is the lender in the agreement,thomas manning,3,0,0,Thomas Manning
162,who is the senior vice president of the company which is the lender in the agreement,jay fort,3,0,0,Jay Fort
162,who is the corporate secretary of the company which is the guarantor in the agreement,mark d. andrews,3,0,0,Mark D. Andrews
162,who is the chief compliance officer of the company which is the guarantor in the agreement,michael rasmuson,3,0,0,Michael Rasmuson
162,who is the general counsel of the company which is the guarantor in the agreement,michael rasmuson,3,0,0,Michael Rasmuson
162,who is the senior vice president of the company which is the guarantor in the agreement,michael rasmuson,3,0,0,Michael Rasmuson
162,"what role does citibank, n.a have in the agreement which is not the role of wells fargo securities, llc",administrative agent,2,1,0,"Administrative Agent, Joint Lead Arranger, and Joint Bookrunner (roles not held by Wells Fargo Securities, LLC)"
163,who is the chief financial officer of the company which is the borrower in the agreement,brian m. carolan,3,0,0,Brian M. Carolan
163,who is the vice president of the company which is the administrative agent in the agreement,david tepper,3,0,0,David Tepper
163,who is the vice president of the company which is the issuing bank in the agreement,david tepper,3,0,0,David Tepper
163,who is the vice president of the company which is the lender in the agreement,david tepper,3,0,0,David Tepper
163,who is the vice president of the company which is the swingline lender in the agreement,david tepper,3,0,0,David Tepper
