question,answer
What medication treats retinitis but not peliosis nhepatis?,azithromycin
What medication treats retinitis but not trench fever?,azithromycin
What medication treats retinitis but not endocarditis?,azithromycin
What medication treats retinitis but not cdi?,azithromycin
What medication treats retinitis but not salmonellosis?,azithromycin
What medication treats retinitis but not peliosis hepatis?,azithromycin
What medication treats retinitis but not cat scratch disease?,azithromycin
What medication treats retinitis but not osteomyelitis?,azithromycin
What medication treats retinitis but not bacillary angiomatosis?,azithromycin
What medication treats trench fever but not shigellosis?,clarithromycin
What medication treats trench fever but not peliosis nhepatis?,clarithromycin
What medication treats trench fever but not retinitis?,clarithromycin
What medication treats trench fever but not gastroenteritis?,clarithromycin
What medication treats trench fever but not endocarditis?,clarithromycin
What medication treats trench fever but not cdi?,clarithromycin
What medication treats trench fever but not salmonellosis?,clarithromycin
What medication treats trench fever but not diarrheal disease?,clarithromycin
What medication treats trench fever but not campylobacteriosis?,clarithromycin
What medication treats trench fever but not bacteremia?,clarithromycin
What medication treats trench fever but not peliosis hepatis?,clarithromycin
What medication treats trench fever but not cat scratch disease?,clarithromycin
What medication treats trench fever but not osteomyelitis?,clarithromycin
What medication treats trench fever but not bacillary angiomatosis?,clarithromycin
What medication treats gastroenteritis but not shigellosis?,moxifloxacin
What medication treats salmonellosis but not peliosis nhepatis?,ceftriaxone
What medication treats salmonellosis but not retinitis?,ceftriaxone
What medication treats salmonellosis but not trench fever?,ceftriaxone
What medication treats salmonellosis but not endocarditis?,ceftriaxone
What medication treats salmonellosis but not cdi?,ceftriaxone
What medication treats salmonellosis but not campylobacteriosis?,ceftriaxone
What medication treats salmonellosis but not peliosis hepatis?,ceftriaxone
What medication treats salmonellosis but not cat scratch disease?,ceftriaxone
What medication treats salmonellosis but not osteomyelitis?,ceftriaxone
What medication treats salmonellosis but not bacillary angiomatosis?,ceftriaxone
What medication treats diarrheal disease but not campylobacteriosis?,ceftriaxone
What medication treats campylobacteriosis but not diarrheal disease?,levofloxacin
What medication treats campylobacteriosis but not bacteremia?,levofloxacin
What medication treats peliosis hepatis but not endocarditis?,erythromycin
What medication treats cat scratch disease but not endocarditis?,erythromycin
What medication treats osteomyelitis but not endocarditis?,erythromycin
What medication treats bacillary angiomatosis but not endocarditis?,erythromycin
